370-0000 群馬県 高崎市 
370-0131 群馬県 伊勢崎市 境米岡
370-0132 群馬県 伊勢崎市 境平塚
370-0133 群馬県 伊勢崎市 境中島
370-0134 群馬県 伊勢崎市 境島村
370-0135 群馬県 伊勢崎市 境小此木
370-0193 群馬県 伊勢崎市 境東新井
370-0301 群馬県 太田市 新田天良町
370-0302 群馬県 太田市 新田小金町
370-0303 群馬県 太田市 新田小金井町
370-0304 群馬県 太田市 新田市町
370-0305 群馬県 太田市 新田多村新田町
370-0306 群馬県 太田市 新田市野倉町
370-0311 群馬県 太田市 新田瑞木町
370-0312 群馬県 太田市 新田村田町
370-0313 群馬県 太田市 新田反町町
370-0314 群馬県 太田市 新田市野井町
370-0321 群馬県 太田市 新田木崎町
370-0331 群馬県 太田市 新田赤堀町
370-0332 群馬県 太田市 新田中江田町
370-0333 群馬県 太田市 新田下江田町
370-0334 群馬県 太田市 新田高尾町
370-0341 群馬県 太田市 新田金井町
370-0342 群馬県 太田市 新田上江田町
370-0343 群馬県 太田市 新田下田中町
370-0344 群馬県 太田市 新田早川町
370-0345 群馬県 太田市 新田花香塚町
370-0346 群馬県 太田市 新田上田中町
370-0347 群馬県 太田市 新田大根町
370-0351 群馬県 太田市 新田大町
370-0352 群馬県 太田市 新田嘉祢町
370-0353 群馬県 太田市 新田上中町
370-0354 群馬県 太田市 新田溜池町
370-0355 群馬県 太田市 新田権右衛門町
370-0356 群馬県 太田市 新田萩町
370-0401 群馬県 太田市 尾島町
370-0402 群馬県 太田市 阿久津町
370-0403 群馬県 太田市 岩松町
370-0404 群馬県 太田市 備前島町
370-0405 群馬県 太田市 押切町
370-0406 群馬県 太田市 前小屋町
370-0411 群馬県 太田市 亀岡町
370-0412 群馬県 太田市 太子町
370-0413 群馬県 太田市 すずかけ町
370-0414 群馬県 太田市 堀口町
370-0415 群馬県 太田市 南ケ丘町
370-0416 群馬県 太田市 前島町
370-0417 群馬県 太田市 二ツ小屋町
370-0418 群馬県 太田市 武蔵島町
370-0421 群馬県 太田市 粕川町
370-0422 群馬県 太田市 安養寺町
370-0423 群馬県 太田市 大舘町
370-0424 群馬県 太田市 出塚町
370-0425 群馬県 太田市 徳川町
370-0426 群馬県 太田市 世良田町
370-0427 群馬県 太田市 小角田町
370-0492 群馬県 太田市 岩松町
370-0495 群馬県 太田市 粕川町
370-0500 群馬県 邑楽郡千代田町 
370-0500 群馬県 邑楽郡大泉町 
370-0501 群馬県 邑楽郡千代田町 福島
370-0502 群馬県 邑楽郡千代田町 鍋谷
370-0503 群馬県 邑楽郡千代田町 赤岩
370-0504 群馬県 邑楽郡千代田町 舞木
370-0505 群馬県 邑楽郡千代田町 新福寺
370-0511 群馬県 邑楽郡大泉町 北小泉
370-0512 群馬県 邑楽郡大泉町 上小泉
370-0513 群馬県 邑楽郡大泉町 東小泉
370-0514 群馬県 邑楽郡大泉町 朝日
370-0515 群馬県 邑楽郡大泉町 下小泉
370-0516 群馬県 邑楽郡大泉町 中央
370-0517 群馬県 邑楽郡大泉町 西小泉
370-0518 群馬県 邑楽郡大泉町 城之内
370-0521 群馬県 邑楽郡大泉町 住吉
370-0522 群馬県 邑楽郡大泉町 富士
370-0523 群馬県 邑楽郡大泉町 吉田
370-0524 群馬県 邑楽郡大泉町 古海
370-0525 群馬県 邑楽郡大泉町 日の出
370-0531 群馬県 邑楽郡大泉町 いずみ
370-0532 群馬県 邑楽郡大泉町 坂田
370-0533 群馬県 邑楽郡大泉町 仙石
370-0534 群馬県 邑楽郡大泉町 丘山
370-0535 群馬県 邑楽郡大泉町 寄木戸
370-0536 群馬県 邑楽郡大泉町 古氷
370-0595 群馬県 邑楽郡大泉町 日の出
370-0596 群馬県 邑楽郡大泉町 坂田
370-0598 群馬県 邑楽郡千代田町 赤岩
370-0600 群馬県 邑楽郡邑楽町 
370-0601 群馬県 邑楽郡邑楽町 鶉
370-0602 群馬県 邑楽郡邑楽町 明野
370-0603 群馬県 邑楽郡邑楽町 中野
370-0604 群馬県 邑楽郡邑楽町 石打
370-0605 群馬県 邑楽郡邑楽町 藤川
370-0606 群馬県 邑楽郡邑楽町 秋妻
370-0611 群馬県 邑楽郡邑楽町 鶉新田
370-0612 群馬県 邑楽郡邑楽町 新中野
370-0613 群馬県 邑楽郡邑楽町 狸塚
370-0614 群馬県 邑楽郡邑楽町 赤堀
370-0615 群馬県 邑楽郡邑楽町 篠塚
370-0616 群馬県 邑楽郡邑楽町 光善寺
370-0692 群馬県 邑楽郡邑楽町 中野
370-0700 群馬県 邑楽郡明和町 
370-0701 群馬県 邑楽郡明和町 南大島
370-0702 群馬県 邑楽郡明和町 上江黒
370-0703 群馬県 邑楽郡明和町 下江黒
370-0704 群馬県 邑楽郡明和町 斗合田
370-0705 群馬県 邑楽郡明和町 千津井
370-0706 群馬県 邑楽郡明和町 江口
370-0707 群馬県 邑楽郡明和町 田島
370-0708 群馬県 邑楽郡明和町 新里
370-0711 群馬県 邑楽郡明和町 入ケ谷
370-0712 群馬県 邑楽郡明和町 矢島
370-0713 群馬県 邑楽郡明和町 中谷
370-0714 群馬県 邑楽郡明和町 梅原
370-0715 群馬県 邑楽郡明和町 大佐貫
370-0716 群馬県 邑楽郡明和町 川俣
370-0717 群馬県 邑楽郡明和町 須賀
370-0718 群馬県 邑楽郡明和町 大輪
370-0721 群馬県 邑楽郡千代田町 木崎
370-0722 群馬県 邑楽郡千代田町 萱野
370-0723 群馬県 邑楽郡千代田町 昭和
370-0724 群馬県 邑楽郡千代田町 下中森
370-0725 群馬県 邑楽郡千代田町 上中森
370-0726 群馬県 邑楽郡千代田町 上五箇
370-0727 群馬県 邑楽郡千代田町 瀬戸井
370-0795 群馬県 邑楽郡明和町 新里
370-0801 群馬県 高崎市 上並榎町
370-0802 群馬県 高崎市 並榎町
370-0803 群馬県 高崎市 大橋町
370-0804 群馬県 高崎市 住吉町
370-0805 群馬県 高崎市 台町
370-0806 群馬県 高崎市 上和田町
370-0807 群馬県 高崎市 歌川町
370-0811 群馬県 高崎市 相生町
370-0812 群馬県 高崎市 成田町
370-0813 群馬県 高崎市 本町
370-0814 群馬県 高崎市 嘉多町
370-0815 群馬県 高崎市 柳川町
370-0816 群馬県 高崎市 常盤町
370-0817 群馬県 高崎市 堰代町
370-0818 群馬県 高崎市 赤坂町
370-0819 群馬県 高崎市 四ツ屋町
370-0821 群馬県 高崎市 新紺屋町
370-0822 群馬県 高崎市 寄合町
370-0823 群馬県 高崎市 中紺屋町
370-0824 群馬県 高崎市 田町
370-0825 群馬県 高崎市 白銀町
370-0826 群馬県 高崎市 連雀町
370-0827 群馬県 高崎市 鞘町
370-0828 群馬県 高崎市 宮元町
370-0829 群馬県 高崎市 高松町
370-0831 群馬県 高崎市 あら町
370-0832 群馬県 高崎市 砂賀町
370-0833 群馬県 高崎市 新田町
370-0834 群馬県 高崎市 南町
370-0835 群馬県 高崎市 竜見町
370-0836 群馬県 高崎市 若松町
370-0837 群馬県 高崎市 下横町
370-0838 群馬県 高崎市 鍛冶町
370-0839 群馬県 高崎市 檜物町
370-0841 群馬県 高崎市 栄町
370-0842 群馬県 高崎市 北双葉町
370-0843 群馬県 高崎市 双葉町
370-0844 群馬県 高崎市 和田多中町
370-0845 群馬県 高崎市 新後閑町
370-0846 群馬県 高崎市 下和田町
370-0847 群馬県 高崎市 和田町
370-0848 群馬県 高崎市 鶴見町
370-0849 群馬県 高崎市 八島町
370-0851 群馬県 高崎市 上中居町
370-0852 群馬県 高崎市 中居町
370-0853 群馬県 高崎市 下中居町
370-0854 群馬県 高崎市 下之城町
370-0855 群馬県 高崎市 下佐野町
370-0856 群馬県 高崎市 佐野窪町
370-0857 群馬県 高崎市 上佐野町
370-0861 群馬県 高崎市 八千代町
370-0862 群馬県 高崎市 片岡町
370-0863 群馬県 高崎市 聖石町
370-0864 群馬県 高崎市 石原町
370-0865 群馬県 高崎市 寺尾町
370-0866 群馬県 高崎市 城山町
370-0867 群馬県 高崎市 乗附町
370-0868 群馬県 高崎市 鼻高町
370-0871 群馬県 高崎市 上豊岡町
370-0872 群馬県 高崎市 北久保町
370-0873 群馬県 高崎市 下豊岡町
370-0874 群馬県 高崎市 中豊岡町
370-0875 群馬県 高崎市 藤塚町
370-0881 群馬県 高崎市 町屋町
370-0882 群馬県 高崎市 金井淵町
370-0883 群馬県 高崎市 剣崎町
370-0884 群馬県 高崎市 八幡町
370-0885 群馬県 高崎市 若田町
370-0886 群馬県 高崎市 下大島町
370-1100 群馬県 佐波郡玉村町 
370-1101 群馬県 佐波郡玉村町 藤川
370-1102 群馬県 佐波郡玉村町 飯塚
370-1103 群馬県 佐波郡玉村町 樋越
370-1104 群馬県 佐波郡玉村町 上福島
370-1105 群馬県 佐波郡玉村町 福島
370-1111 群馬県 佐波郡玉村町 南玉
370-1112 群馬県 佐波郡玉村町 下之宮
370-1113 群馬県 佐波郡玉村町 箱石
370-1114 群馬県 佐波郡玉村町 小泉
370-1115 群馬県 佐波郡玉村町 五料
370-1116 群馬県 佐波郡玉村町 飯倉
370-1117 群馬県 佐波郡玉村町 川井
370-1121 群馬県 佐波郡玉村町 上飯島
370-1122 群馬県 佐波郡玉村町 上茂木
370-1123 群馬県 佐波郡玉村町 下茂木
370-1124 群馬県 佐波郡玉村町 角渕
370-1125 群馬県 佐波郡玉村町 八幡原
370-1126 群馬県 佐波郡玉村町 宇貫
370-1127 群馬県 佐波郡玉村町 上之手
370-1128 群馬県 佐波郡玉村町 後箇
370-1131 群馬県 佐波郡玉村町 斎田
370-1132 群馬県 佐波郡玉村町 下新田
370-1133 群馬県 佐波郡玉村町 上新田
370-1134 群馬県 佐波郡玉村町 与六分
370-1135 群馬県 佐波郡玉村町 板井
370-1192 群馬県 佐波郡玉村町 下新田
370-1193 群馬県 佐波郡玉村町 上之手
370-1195 群馬県 佐波郡玉村町 川井
370-1196 群馬県 佐波郡玉村町 川井
370-1201 群馬県 高崎市 倉賀野町
370-1202 群馬県 高崎市 宮原町
370-1203 群馬県 高崎市 矢中町
370-1204 群馬県 高崎市 東中里町
370-1205 群馬県 高崎市 栗崎町
370-1206 群馬県 高崎市 台新田町
370-1207 群馬県 高崎市 綿貫町
370-1208 群馬県 高崎市 岩鼻町
370-1211 群馬県 高崎市 阿久津町
370-1212 群馬県 高崎市 木部町
370-1213 群馬県 高崎市 山名町
370-1214 群馬県 高崎市 根小屋町
370-1292 群馬県 高崎市 綿貫町
370-1293 群馬県 高崎市 綿貫町
370-1295 群馬県 高崎市 宮原町
370-1301 群馬県 高崎市 新町
370-1392 群馬県 高崎市 新町
370-1393 群馬県 高崎市 新町
370-1394 群馬県 高崎市 新町
370-1395 群馬県 高崎市 新町
370-1396 群馬県 高崎市 新町
370-1401 群馬県 藤岡市 鬼石
370-1402 群馬県 藤岡市 譲原
370-1403 群馬県 藤岡市 保美濃山
370-1404 群馬県 藤岡市 坂原
370-1405 群馬県 藤岡市 三波川
370-1406 群馬県 藤岡市 浄法寺
370-1501 群馬県 多野郡神流町 柏木
370-1502 群馬県 多野郡神流町 麻生
370-1503 群馬県 多野郡神流町 生利
370-1504 群馬県 多野郡神流町 万場
370-1505 群馬県 多野郡神流町 森戸
370-1506 群馬県 多野郡神流町 黒田
370-1511 群馬県 多野郡神流町 相原
370-1512 群馬県 多野郡神流町 青梨
370-1513 群馬県 多野郡神流町 小平
370-1514 群馬県 多野郡神流町 塩沢
370-1515 群馬県 多野郡神流町 船子
370-1592 群馬県 多野郡神流町 万場
370-1600 群馬県 多野郡上野村 
370-1600 群馬県 多野郡神流町 
370-1601 群馬県 多野郡神流町 魚尾
370-1602 群馬県 多野郡神流町 神ケ原
370-1603 群馬県 多野郡神流町 平原
370-1604 群馬県 多野郡神流町 尾附
370-1611 群馬県 多野郡上野村 新羽
370-1612 群馬県 多野郡上野村 野栗沢
370-1613 群馬県 多野郡上野村 勝山
370-1614 群馬県 多野郡上野村 川和
370-1615 群馬県 多野郡上野村 乙母
370-1616 群馬県 多野郡上野村 乙父
370-1617 群馬県 多野郡上野村 楢原
370-2101 群馬県 高崎市 吉井町南陽台
370-2102 群馬県 高崎市 吉井町小暮
370-2103 群馬県 高崎市 吉井町岩井
370-2104 群馬県 高崎市 吉井町馬庭
370-2105 群馬県 高崎市 吉井町中島
370-2106 群馬県 高崎市 吉井町矢田
370-2107 群馬県 高崎市 吉井町池
370-2111 群馬県 高崎市 吉井町小串
370-2112 群馬県 高崎市 吉井町黒熊
370-2113 群馬県 高崎市 吉井町深沢
370-2114 群馬県 高崎市 吉井町石神
370-2115 群馬県 高崎市 吉井町多比良
370-2116 群馬県 高崎市 吉井町多胡
370-2121 群馬県 高崎市 吉井町下長根
370-2122 群馬県 高崎市 吉井町高
370-2123 群馬県 高崎市 吉井町神保
370-2124 群馬県 高崎市 吉井町塩
370-2125 群馬県 高崎市 吉井町大沢
370-2126 群馬県 高崎市 吉井町東谷
370-2127 群馬県 高崎市 吉井町長根
370-2128 群馬県 高崎市 吉井町本郷
370-2131 群馬県 高崎市 吉井町岩崎
370-2132 群馬県 高崎市 吉井町吉井
370-2133 群馬県 高崎市 吉井町吉井川
370-2134 群馬県 高崎市 吉井町塩川
370-2135 群馬県 高崎市 吉井町片山
370-2136 群馬県 高崎市 吉井町小棚
370-2137 群馬県 高崎市 吉井町坂口
370-2138 群馬県 高崎市 吉井町下奥平
370-2139 群馬県 高崎市 吉井町上奥平
370-2192 群馬県 高崎市 吉井町吉井川
370-2200 群馬県 甘楽郡甘楽町 
370-2201 群馬県 甘楽郡甘楽町 上野
370-2202 群馬県 甘楽郡甘楽町 小幡
370-2203 群馬県 甘楽郡甘楽町 轟
370-2204 群馬県 甘楽郡甘楽町 秋畑
370-2205 群馬県 甘楽郡甘楽町 国峰
370-2206 群馬県 甘楽郡甘楽町 善慶寺
370-2211 群馬県 甘楽郡甘楽町 小川
370-2212 群馬県 甘楽郡甘楽町 福島
370-2213 群馬県 甘楽郡甘楽町 白倉
370-2214 群馬県 甘楽郡甘楽町 庭谷
370-2215 群馬県 甘楽郡甘楽町 造石
370-2216 群馬県 甘楽郡甘楽町 金井
370-2217 群馬県 甘楽郡甘楽町 天引
370-2292 群馬県 甘楽郡甘楽町 小幡
370-2300 群馬県 富岡市 
370-2301 群馬県 富岡市 桑原
370-2302 群馬県 富岡市 小桑原
370-2303 群馬県 富岡市 蕨
370-2304 群馬県 富岡市 後賀
370-2305 群馬県 富岡市 白岩
370-2306 群馬県 富岡市 相野田
370-2307 群馬県 富岡市 藤木
370-2311 群馬県 富岡市 下高尾
370-2312 群馬県 富岡市 星田
370-2313 群馬県 富岡市 君川
370-2314 群馬県 富岡市 田篠
370-2315 群馬県 富岡市 曾木
370-2316 群馬県 富岡市 富岡
370-2317 群馬県 富岡市 上高尾
370-2321 群馬県 富岡市 岡本
370-2322 群馬県 富岡市 岩染
370-2323 群馬県 富岡市 野上
370-2324 群馬県 富岡市 南後箇
370-2331 群馬県 富岡市 内匠
370-2332 群馬県 富岡市 下高瀬
370-2333 群馬県 富岡市 中高瀬
370-2334 群馬県 富岡市 上高瀬
370-2335 群馬県 富岡市 大島
370-2341 群馬県 富岡市 下黒岩
370-2342 群馬県 富岡市 別保
370-2343 群馬県 富岡市 七日市
370-2344 群馬県 富岡市 黒川
370-2345 群馬県 富岡市 上黒岩
370-2392 群馬県 富岡市 富岡
370-2393 群馬県 富岡市 富岡
370-2395 群馬県 富岡市 富岡
370-2396 群馬県 富岡市 富岡
370-2398 群馬県 富岡市 藤木
370-2411 群馬県 富岡市 妙義町上高田
370-2412 群馬県 富岡市 妙義町下高田
370-2413 群馬県 富岡市 妙義町八木連
370-2451 群馬県 富岡市 宇田
370-2452 群馬県 富岡市 一ノ宮
370-2453 群馬県 富岡市 宮崎
370-2454 群馬県 富岡市 田島
370-2455 群馬県 富岡市 神農原
370-2456 群馬県 富岡市 上小林
370-2461 群馬県 富岡市 上丹生
370-2462 群馬県 富岡市 下丹生
370-2463 群馬県 富岡市 神成
370-2464 群馬県 富岡市 南蛇井
370-2465 群馬県 富岡市 中沢
370-2466 群馬県 富岡市 蚊沼
370-2467 群馬県 富岡市 原
370-2495 群馬県 富岡市 神農原
370-2498 群馬県 富岡市 上小林
370-2498 群馬県 富岡市 上小林
370-2600 群馬県 甘楽郡下仁田町 
370-2601 群馬県 甘楽郡下仁田町 下仁田
370-2602 群馬県 甘楽郡下仁田町 白山
370-2603 群馬県 甘楽郡下仁田町 馬山
370-2604 群馬県 甘楽郡下仁田町 吉崎
370-2605 群馬県 甘楽郡下仁田町 栗山
370-2606 群馬県 甘楽郡下仁田町 川井
370-2611 群馬県 甘楽郡下仁田町 青倉
370-2612 群馬県 甘楽郡下仁田町 平原
370-2613 群馬県 甘楽郡下仁田町 大桑原
370-2614 群馬県 甘楽郡下仁田町 風口
370-2615 群馬県 甘楽郡下仁田町 宮室
370-2616 群馬県 甘楽郡下仁田町 下郷
370-2621 群馬県 甘楽郡下仁田町 上小坂
370-2622 群馬県 甘楽郡下仁田町 中小坂
370-2623 群馬県 甘楽郡下仁田町 下小坂
370-2624 群馬県 甘楽郡下仁田町 東野牧
370-2625 群馬県 甘楽郡下仁田町 本宿
370-2626 群馬県 甘楽郡下仁田町 南野牧
370-2627 群馬県 甘楽郡下仁田町 西野牧
370-2800 群馬県 甘楽郡南牧村 
370-2801 群馬県 甘楽郡南牧村 大塩沢
370-2802 群馬県 甘楽郡南牧村 小沢
370-2803 群馬県 甘楽郡南牧村 千原
370-2804 群馬県 甘楽郡南牧村 磐戸
370-2805 群馬県 甘楽郡南牧村 檜沢
370-2806 群馬県 甘楽郡南牧村 大日向
370-2811 群馬県 甘楽郡南牧村 六車
370-2812 群馬県 甘楽郡南牧村 大仁田
370-2813 群馬県 甘楽郡南牧村 砥沢
370-2814 群馬県 甘楽郡南牧村 羽沢
370-2815 群馬県 甘楽郡南牧村 熊倉
370-2816 群馬県 甘楽郡南牧村 星尾
370-3101 群馬県 高崎市 箕郷町柏木沢
370-3102 群馬県 高崎市 箕郷町生原
370-3103 群馬県 高崎市 箕郷町下芝
370-3104 群馬県 高崎市 箕郷町上芝
370-3105 群馬県 高崎市 箕郷町西明屋
370-3106 群馬県 高崎市 箕郷町東明屋
370-3107 群馬県 高崎市 箕郷町矢原
370-3111 群馬県 高崎市 箕郷町中野
370-3112 群馬県 高崎市 箕郷町善地
370-3113 群馬県 高崎市 箕郷町松之沢
370-3114 群馬県 高崎市 箕郷町金敷平
370-3115 群馬県 高崎市 箕郷町富岡
370-3116 群馬県 高崎市 箕郷町和田山
370-3117 群馬県 高崎市 箕郷町白川
370-3192 群馬県 高崎市 箕郷町西明屋
370-3311 群馬県 吾妻郡東吾妻町 岡崎
370-3321 群馬県 吾妻郡東吾妻町 泉沢
370-3321 群馬県 吾妻郡東吾妻町 泉沢
370-3322 群馬県 吾妻郡東吾妻町 川戸
370-3331 群馬県 高崎市 十文字町
370-3332 群馬県 高崎市 白岩町
370-3333 群馬県 高崎市 高浜町
370-3334 群馬県 高崎市 本郷町
370-3335 群馬県 高崎市 上大島町
370-3336 群馬県 高崎市 神戸町
370-3337 群馬県 高崎市 三ツ子沢町
370-3338 群馬県 高崎市 宮沢町
370-3341 群馬県 高崎市 榛名山町
370-3342 群馬県 高崎市 下室田町
370-3343 群馬県 高崎市 下里見町
370-3344 群馬県 高崎市 中里見町
370-3345 群馬県 高崎市 上里見町
370-3346 群馬県 高崎市 上室田町
370-3347 群馬県 高崎市 中室田町
370-3348 群馬県 高崎市 榛名湖町
370-3392 群馬県 高崎市 下室田町
370-3393 群馬県 高崎市 中室田町
370-3401 群馬県 高崎市 倉渕町権田
370-3402 群馬県 高崎市 倉渕町三ノ倉
370-3403 群馬県 高崎市 倉渕町水沼
370-3404 群馬県 高崎市 倉渕町岩氷
370-3405 群馬県 高崎市 倉渕町川浦
370-3492 群馬県 高崎市 倉渕町三ノ倉
370-3500 群馬県 北群馬郡榛東村 
370-3501 群馬県 北群馬郡榛東村 長岡
370-3502 群馬県 北群馬郡榛東村 山子田
370-3503 群馬県 北群馬郡榛東村 新井
370-3504 群馬県 北群馬郡榛東村 広馬場
370-3505 群馬県 北群馬郡榛東村 上野原
370-3511 群馬県 高崎市 金古町
370-3512 群馬県 高崎市 西国分町
370-3513 群馬県 高崎市 北原町
370-3514 群馬県 高崎市 東国分町
370-3515 群馬県 高崎市 塚田町
370-3516 群馬県 高崎市 稲荷台町
370-3517 群馬県 高崎市 引間町
370-3518 群馬県 高崎市 後疋間町
370-3519 群馬県 高崎市 冷水町
370-3521 群馬県 高崎市 棟高町
370-3522 群馬県 高崎市 菅谷町
370-3523 群馬県 高崎市 福島町
370-3524 群馬県 高崎市 中泉町
370-3525 群馬県 高崎市 三ツ寺町
370-3531 群馬県 高崎市 足門町
370-3532 群馬県 高崎市 中里町
370-3533 群馬県 高崎市 保渡田町
370-3534 群馬県 高崎市 井出町
370-3571 群馬県 前橋市 池端町
370-3572 群馬県 前橋市 上青梨子町
370-3573 群馬県 前橋市 青梨子町
370-3574 群馬県 前橋市 清野町
370-3592 群馬県 高崎市 足門町
370-3593 群馬県 北群馬郡榛東村 新井
370-3594 群馬県 北群馬郡榛東村 新井
370-3600 群馬県 北群馬郡吉岡町 
370-3601 群馬県 北群馬郡吉岡町 漆原
370-3602 群馬県 北群馬郡吉岡町 大久保
370-3603 群馬県 北群馬郡吉岡町 陣場
370-3604 群馬県 北群馬郡吉岡町 南下
370-3605 群馬県 北群馬郡吉岡町 北下
370-3606 群馬県 北群馬郡吉岡町 上野田
370-3607 群馬県 北群馬郡吉岡町 小倉
370-3608 群馬県 北群馬郡吉岡町 下野田
370-3692 群馬県 北群馬郡吉岡町 下野田
370-8501 群馬県 高崎市 高松町
370-8511 群馬県 高崎市 問屋町
370-8522 群馬県 高崎市 栄町
370-8531 群馬県 高崎市 高松町
370-8537 群馬県 高崎市 高松町
370-8543 群馬県 高崎市 栄町
370-8550 群馬県 高崎市 東町
370-8555 群馬県 高崎市 宮元町
370-8565 群馬県 高崎市 旭町
370-8585 群馬県 高崎市 双葉町
370-8588 群馬県 高崎市 和田町
370-8601 群馬県 高崎市 八島町
370-8611 群馬県 高崎市 東町
370-8622 群馬県 高崎市 問屋町
370-8666 群馬県 高崎市 高松町
370-8668 群馬県 高崎市 飯塚町
370-8686 東京都 多摩市 落合
371-0000 群馬県 前橋市 
371-0001 群馬県 前橋市 荻窪町
371-0002 群馬県 前橋市 江木町
371-0003 群馬県 前橋市 堤町
371-0004 群馬県 前橋市 亀泉町
371-0005 群馬県 前橋市 堀之下町
371-0006 群馬県 前橋市 石関町
371-0007 群馬県 前橋市 上泉町
371-0011 群馬県 前橋市 下沖町
371-0012 群馬県 前橋市 東片貝町
371-0013 群馬県 前橋市 西片貝町
371-0014 群馬県 前橋市 朝日町
371-0015 群馬県 前橋市 三河町
371-0016 群馬県 前橋市 城東町
371-0017 群馬県 前橋市 日吉町
371-0018 群馬県 前橋市 三俣町
371-0021 群馬県 前橋市 住吉町
371-0022 群馬県 前橋市 千代田町
371-0023 群馬県 前橋市 本町
371-0024 群馬県 前橋市 表町
371-0025 群馬県 前橋市 紅雲町
371-0026 群馬県 前橋市 大手町
371-0027 群馬県 前橋市 平和町
371-0031 群馬県 前橋市 下小出町
371-0032 群馬県 前橋市 若宮町
371-0033 群馬県 前橋市 国領町
371-0034 群馬県 前橋市 昭和町
371-0035 群馬県 前橋市 岩神町
371-0036 群馬県 前橋市 敷島町
371-0037 群馬県 前橋市 上小出町
371-0041 群馬県 前橋市 川端町
371-0042 群馬県 前橋市 日輪寺町
371-0043 群馬県 前橋市 南橘町
371-0044 群馬県 前橋市 荒牧町
371-0045 群馬県 前橋市 緑が丘町
371-0046 群馬県 前橋市 川原町
371-0047 群馬県 前橋市 関根町
371-0048 群馬県 前橋市 田口町
371-0051 群馬県 前橋市 上細井町
371-0052 群馬県 前橋市 上沖町
371-0053 群馬県 前橋市 幸塚町
