240-0000 神奈川県 横浜市保土ケ谷区 
241-0836 神奈川県 横浜市旭区 万騎が原
241-8501 神奈川県 横浜市旭区 上川井町
241-8502 神奈川県 横浜市旭区 中沢
241-8515 神奈川県 横浜市旭区 中尾
241-8606 神奈川県 横浜市旭区 川島町
242-0000 神奈川県 大和市 
242-0001 神奈川県 大和市 下鶴間
242-0002 神奈川県 大和市 つきみ野
242-0003 神奈川県 大和市 林間
242-0004 神奈川県 大和市 鶴間
242-0005 神奈川県 大和市 西鶴間
242-0006 神奈川県 大和市 南林間
242-0007 神奈川県 大和市 中央林間
242-0008 神奈川県 大和市 中央林間西
242-0011 神奈川県 大和市 深見
242-0012 神奈川県 大和市 深見東
242-0013 神奈川県 大和市 深見台
242-0014 神奈川県 大和市 上和田
242-0015 神奈川県 大和市 下和田
242-0016 神奈川県 大和市 大和南
242-0017 神奈川県 大和市 大和東
242-0018 神奈川県 大和市 深見西
242-0021 神奈川県 大和市 中央
242-0022 神奈川県 大和市 柳橋
242-0023 神奈川県 大和市 渋谷
242-0024 神奈川県 大和市 福田
242-0025 神奈川県 大和市 代官
242-0026 神奈川県 大和市 草柳
242-0027 神奈川県 大和市 下草柳
242-0028 神奈川県 大和市 桜森
242-0029 神奈川県 大和市 上草柳
242-8507 神奈川県 大和市 大和南
242-8555 神奈川県 大和市 中央林間西
242-8577 神奈川県 大和市 深見台
242-8585 神奈川県 大和市 深見東
242-8601 神奈川県 大和市 下鶴間
242-8610 神奈川県 大和市 
243-0000 神奈川県 厚木市 
243-0001 神奈川県 厚木市 東町
243-0002 神奈川県 厚木市 元町
243-0003 神奈川県 厚木市 寿町
243-0004 神奈川県 厚木市 水引
243-0005 神奈川県 厚木市 松枝
243-0006 神奈川県 厚木市 吾妻町
243-0007 神奈川県 厚木市 厚木
243-0011 神奈川県 厚木市 厚木町
243-0012 神奈川県 厚木市 幸町
243-0013 神奈川県 厚木市 泉町
243-0014 神奈川県 厚木市 旭町
243-0015 神奈川県 厚木市 南町
243-0016 神奈川県 厚木市 田村町
243-0017 神奈川県 厚木市 栄町
243-0018 神奈川県 厚木市 中町
243-0021 神奈川県 厚木市 岡田
243-0022 神奈川県 厚木市 酒井
243-0023 神奈川県 厚木市 戸田
243-0024 神奈川県 厚木市 長沼
243-0025 神奈川県 厚木市 上落合
243-0026 神奈川県 厚木市 下津古久
243-0027 神奈川県 厚木市 愛甲東
243-0028 神奈川県 厚木市 愛甲西
243-0031 神奈川県 厚木市 戸室
243-0032 神奈川県 厚木市 恩名
243-0033 神奈川県 厚木市 温水
243-0034 神奈川県 厚木市 船子
243-0035 神奈川県 厚木市 愛甲
243-0036 神奈川県 厚木市 長谷
243-0037 神奈川県 厚木市 毛利台
243-0038 神奈川県 厚木市 愛名
243-0039 神奈川県 厚木市 温水西
243-0041 神奈川県 厚木市 緑ケ丘
243-0100 神奈川県 愛甲郡清川村 
243-0111 神奈川県 愛甲郡清川村 宮ケ瀬
243-0112 神奈川県 愛甲郡清川村 煤ケ谷
243-0121 神奈川県 厚木市 七沢
243-0122 神奈川県 厚木市 森の里
243-0123 神奈川県 厚木市 森の里青山
243-0124 神奈川県 厚木市 森の里若宮
243-0125 神奈川県 厚木市 小野
243-0126 神奈川県 厚木市 岡津古久
243-0192 神奈川県 厚木市 岡津古久
243-0193 神奈川県 厚木市 森の里若宮
243-0195 神奈川県 愛甲郡清川村 煤ケ谷
243-0197 神奈川県 厚木市 森の里若宮
243-0198 神奈川県 厚木市 森の里若宮
243-0201 神奈川県 厚木市 上荻野
243-0202 神奈川県 厚木市 中荻野
243-0203 神奈川県 厚木市 下荻野
243-0204 神奈川県 厚木市 鳶尾
243-0205 神奈川県 厚木市 棚沢
243-0206 神奈川県 厚木市 下川入
243-0207 神奈川県 厚木市 まつかげ台
243-0208 神奈川県 厚木市 みはる野
243-0211 神奈川県 厚木市 三田
243-0212 神奈川県 厚木市 及川
243-0213 神奈川県 厚木市 飯山
243-0214 神奈川県 厚木市 下古沢
243-0215 神奈川県 厚木市 上古沢
243-0216 神奈川県 厚木市 宮の里
243-0217 神奈川県 厚木市 三田南
243-0292 神奈川県 厚木市 下荻野
243-0297 神奈川県 厚木市 飯山
243-0298 神奈川県 厚木市 下荻野
243-0300 神奈川県 愛甲郡愛川町 
243-0301 神奈川県 愛甲郡愛川町 角田
243-0302 神奈川県 愛甲郡愛川町 春日台
243-0303 神奈川県 愛甲郡愛川町 中津
243-0304 神奈川県 愛甲郡愛川町 棚沢
243-0305 神奈川県 愛甲郡愛川町 八菅山
243-0306 神奈川県 愛甲郡愛川町 田代
243-0307 神奈川県 愛甲郡愛川町 半原
243-0308 神奈川県 愛甲郡愛川町 三増
243-0392 神奈川県 愛甲郡愛川町 角田
243-0400 神奈川県 海老名市 
243-0401 神奈川県 海老名市 東柏ケ谷
243-0402 神奈川県 海老名市 柏ケ谷
243-0403 神奈川県 海老名市 望地
243-0404 神奈川県 海老名市 勝瀬
243-0405 神奈川県 海老名市 国分南
243-0406 神奈川県 海老名市 国分北
243-0410 神奈川県 海老名市 杉久保北
243-0411 神奈川県 海老名市 大谷
243-0412 神奈川県 海老名市 浜田町
243-0413 神奈川県 海老名市 国分寺台
243-0414 神奈川県 海老名市 杉久保
243-0415 神奈川県 海老名市 上河内
243-0416 神奈川県 海老名市 中河内
243-0417 神奈川県 海老名市 本郷
243-0418 神奈川県 海老名市 大谷南
243-0419 神奈川県 海老名市 大谷北
243-0421 神奈川県 海老名市 さつき町
243-0422 神奈川県 海老名市 中新田
243-0423 神奈川県 海老名市 今里
243-0424 神奈川県 海老名市 社家
243-0425 神奈川県 海老名市 中野
243-0426 神奈川県 海老名市 門沢橋
243-0427 神奈川県 海老名市 杉久保南
243-0431 神奈川県 海老名市 上今泉
243-0432 神奈川県 海老名市 中央
243-0433 神奈川県 海老名市 河原口
243-0434 神奈川県 海老名市 上郷
243-0435 神奈川県 海老名市 下今泉
243-0460 神奈川県 海老名市 下今泉
243-0483 神奈川県 海老名市 中央
243-0484 神奈川県 海老名市 中央
243-0485 神奈川県 海老名市 中央
243-0486 神奈川県 海老名市 中央
243-0488 神奈川県 海老名市 上今泉
243-0489 神奈川県 海老名市 中央
243-0492 神奈川県 海老名市 勝瀬
243-0493 神奈川県 海老名市 大谷北
243-0494 神奈川県 海老名市 本郷
243-0495 神奈川県 海老名市 上河内
243-0496 神奈川県 海老名市 中新田
243-0497 神奈川県 海老名市 本郷
243-0498 神奈川県 海老名市 下今泉
243-0801 神奈川県 厚木市 上依知
243-0802 神奈川県 厚木市 猿ケ島
243-0803 神奈川県 厚木市 山際
243-0804 神奈川県 厚木市 関口
243-0805 神奈川県 厚木市 中依知
243-0806 神奈川県 厚木市 下依知
243-0807 神奈川県 厚木市 金田
243-0811 神奈川県 厚木市 妻田
243-0812 神奈川県 厚木市 妻田北
243-0813 神奈川県 厚木市 妻田東
243-0814 神奈川県 厚木市 妻田南
243-0815 神奈川県 厚木市 妻田西
243-0816 神奈川県 厚木市 林
243-0817 神奈川県 厚木市 王子
243-8501 神奈川県 厚木市 温水
243-8505 神奈川県 厚木市 酒井
243-8510 神奈川県 厚木市 恩名
243-8511 神奈川県 厚木市 中町
243-8521 神奈川県 厚木市 関口
243-8533 神奈川県 厚木市 酒井
243-8550 神奈川県 厚木市 温水
243-8551 神奈川県 厚木市 温水
243-8555 神奈川県 厚木市 恩名
243-8571 神奈川県 厚木市 船子
243-8577 神奈川県 厚木市 水引
243-8588 神奈川県 厚木市 水引
243-8601 神奈川県 厚木市 中町
243-8604 神奈川県 厚木市 中町
244-0000 神奈川県 横浜市戸塚区 
244-0001 神奈川県 横浜市戸塚区 鳥が丘
244-0002 神奈川県 横浜市戸塚区 矢部町
244-0003 神奈川県 横浜市戸塚区 戸塚町
244-0004 神奈川県 横浜市戸塚区 小雀町
244-0801 神奈川県 横浜市戸塚区 品濃町
244-0802 神奈川県 横浜市戸塚区 平戸
244-0803 神奈川県 横浜市戸塚区 平戸町
244-0804 神奈川県 横浜市戸塚区 前田町
244-0805 神奈川県 横浜市戸塚区 川上町
244-0806 神奈川県 横浜市戸塚区 上品濃
244-0811 神奈川県 横浜市戸塚区 上柏尾町
244-0812 神奈川県 横浜市戸塚区 柏尾町
244-0813 神奈川県 横浜市戸塚区 舞岡町
244-0814 神奈川県 横浜市戸塚区 南舞岡
244-0815 神奈川県 横浜市戸塚区 下倉田町
244-0816 神奈川県 横浜市戸塚区 上倉田町
244-0817 神奈川県 横浜市戸塚区 吉田町
244-0841 神奈川県 横浜市栄区 長沼町
244-0842 神奈川県 横浜市栄区 飯島町
244-0843 神奈川県 横浜市栄区 長尾台町
244-0844 神奈川県 横浜市栄区 田谷町
244-0845 神奈川県 横浜市栄区 金井町
244-8501 神奈川県 横浜市栄区 飯島町
244-8502 神奈川県 横浜市戸塚区 戸塚町
244-8503 神奈川県 横浜市戸塚区 品濃町
244-8510 神奈川県 横浜市戸塚区 柏尾町
244-8522 神奈川県 横浜市戸塚区 舞岡町
244-8528 神奈川県 横浜市戸塚区 品濃町
244-8530 神奈川県 横浜市戸塚区 品濃町
244-8533 神奈川県 横浜市栄区 長尾台町
244-8539 神奈川県 横浜市戸塚区 上倉田町
244-8550 神奈川県 横浜市戸塚区 吉田町
244-8555 神奈川県 横浜市戸塚区 戸塚町
244-8558 神奈川県 横浜市戸塚区 戸塚町
244-8566 神奈川県 横浜市戸塚区 戸塚町
244-8569 神奈川県 横浜市戸塚区 前田町
244-8571 神奈川県 横浜市戸塚区 前田町
244-8577 神奈川県 横浜市栄区 飯島町
244-8585 神奈川県 横浜市戸塚区 品濃町
244-8588 神奈川県 横浜市栄区 田谷町
244-8589 神奈川県 横浜市栄区 田谷町
244-8601 神奈川県 横浜市戸塚区 戸塚町
245-0000 神奈川県 横浜市泉区 
245-0001 神奈川県 横浜市泉区 池の谷
245-0002 神奈川県 横浜市泉区 緑園
245-0003 神奈川県 横浜市泉区 岡津町
245-0004 神奈川県 横浜市泉区 領家
245-0005 神奈川県 横浜市泉区 白百合
245-0006 神奈川県 横浜市泉区 西が岡
245-0007 神奈川県 横浜市泉区 桂坂
245-0008 神奈川県 横浜市泉区 弥生台
245-0009 神奈川県 横浜市泉区 新橋町
245-0011 神奈川県 横浜市泉区 中田町
245-0012 神奈川県 横浜市泉区 中田北
245-0013 神奈川県 横浜市泉区 中田東
245-0014 神奈川県 横浜市泉区 中田南
245-0015 神奈川県 横浜市泉区 中田西
245-0016 神奈川県 横浜市泉区 和泉町
245-0017 神奈川県 横浜市泉区 下飯田町
245-0018 神奈川県 横浜市泉区 上飯田町
245-0021 神奈川県 横浜市泉区 下和泉
245-0051 神奈川県 横浜市戸塚区 名瀬町
245-0052 神奈川県 横浜市戸塚区 秋葉町
245-0053 神奈川県 横浜市戸塚区 上矢部町
245-0061 神奈川県 横浜市戸塚区 汲沢
245-0062 神奈川県 横浜市戸塚区 汲沢町
245-0063 神奈川県 横浜市戸塚区 原宿
245-0064 神奈川県 横浜市戸塚区 影取町
245-0065 神奈川県 横浜市戸塚区 東俣野町
245-0066 神奈川県 横浜市戸塚区 俣野町
245-0067 神奈川県 横浜市戸塚区 深谷町
245-8501 神奈川県 横浜市泉区 和泉町
245-8510 神奈川県 横浜市戸塚区 東俣野町
245-8542 神奈川県 横浜市戸塚区 上矢部町
245-8550 神奈川県 横浜市戸塚区 上矢部町
245-8553 神奈川県 横浜市泉区 和泉町
245-8555 神奈川県 横浜市泉区 和泉町
245-8558 神奈川県 横浜市戸塚区 上矢部町
245-8560 神奈川県 横浜市戸塚区 汲沢町
245-8575 神奈川県 横浜市戸塚区 原宿
245-8577 神奈川県 横浜市戸塚区 上矢部町
245-8589 神奈川県 横浜市戸塚区 俣野町
246-0000 神奈川県 横浜市瀬谷区 
246-0001 神奈川県 横浜市瀬谷区 卸本町
246-0002 神奈川県 横浜市瀬谷区 北町
246-0003 神奈川県 横浜市瀬谷区 瀬谷町
246-0004 神奈川県 横浜市瀬谷区 中屋敷
246-0005 神奈川県 横浜市瀬谷区 竹村町
246-0006 神奈川県 横浜市瀬谷区 上瀬谷町
246-0007 神奈川県 横浜市瀬谷区 目黒町
246-0008 神奈川県 横浜市瀬谷区 五貫目町
246-0011 神奈川県 横浜市瀬谷区 東野台
246-0012 神奈川県 横浜市瀬谷区 東野
246-0013 神奈川県 横浜市瀬谷区 相沢
246-0014 神奈川県 横浜市瀬谷区 中央
246-0015 神奈川県 横浜市瀬谷区 本郷
246-0021 神奈川県 横浜市瀬谷区 二ツ橋町
246-0022 神奈川県 横浜市瀬谷区 三ツ境
246-0023 神奈川県 横浜市瀬谷区 阿久和東
246-0025 神奈川県 横浜市瀬谷区 阿久和西
246-0026 神奈川県 横浜市瀬谷区 阿久和南
246-0031 神奈川県 横浜市瀬谷区 瀬谷
246-0032 神奈川県 横浜市瀬谷区 南台
246-0034 神奈川県 横浜市瀬谷区 南瀬谷
246-0035 神奈川県 横浜市瀬谷区 下瀬谷
246-0036 神奈川県 横浜市瀬谷区 北新
246-0037 神奈川県 横浜市瀬谷区 橋戸
246-0038 神奈川県 横浜市瀬谷区 宮沢
246-8520 神奈川県 横浜市瀬谷区 橋戸
246-8550 神奈川県 横浜市瀬谷区 北町
246-8556 神奈川県 横浜市瀬谷区 卸本町
247-0000 神奈川県 横浜市栄区 
247-0001 神奈川県 横浜市栄区 小菅ケ谷町
247-0002 神奈川県 横浜市栄区 小山台
247-0003 神奈川県 横浜市栄区 鍛冶ケ谷町
247-0004 神奈川県 横浜市栄区 柏陽
247-0005 神奈川県 横浜市栄区 桂町
247-0006 神奈川県 横浜市栄区 笠間
247-0007 神奈川県 横浜市栄区 小菅ケ谷
247-0008 神奈川県 横浜市栄区 本郷台
247-0009 神奈川県 横浜市栄区 鍛冶ケ谷
247-0011 神奈川県 横浜市栄区 元大橋
247-0012 神奈川県 横浜市栄区 若竹町
247-0013 神奈川県 横浜市栄区 上郷町
247-0014 神奈川県 横浜市栄区 公田町
247-0015 神奈川県 横浜市栄区 中野町
247-0021 神奈川県 横浜市栄区 東上郷町
247-0022 神奈川県 横浜市栄区 庄戸
247-0023 神奈川県 横浜市栄区 長倉町
247-0024 神奈川県 横浜市栄区 野七里
247-0025 神奈川県 横浜市栄区 上之町
247-0026 神奈川県 横浜市栄区 犬山町
247-0027 神奈川県 横浜市栄区 尾月
247-0028 神奈川県 横浜市栄区 亀井町
247-0031 神奈川県 横浜市栄区 桂台北
247-0032 神奈川県 横浜市栄区 桂台東
247-0033 神奈川県 横浜市栄区 桂台南
247-0034 神奈川県 横浜市栄区 桂台中
247-0035 神奈川県 横浜市栄区 桂台西
247-0051 神奈川県 鎌倉市 岩瀬
247-0052 神奈川県 鎌倉市 今泉
247-0053 神奈川県 鎌倉市 今泉台
247-0054 神奈川県 鎌倉市 高野
247-0055 神奈川県 鎌倉市 小袋谷
247-0056 神奈川県 鎌倉市 大船
247-0061 神奈川県 鎌倉市 台
247-0062 神奈川県 鎌倉市 山ノ内
247-0063 神奈川県 鎌倉市 梶原
247-0064 神奈川県 鎌倉市 寺分
247-0065 神奈川県 鎌倉市 上町屋
247-0066 神奈川県 鎌倉市 山崎
247-0071 神奈川県 鎌倉市 玉縄
247-0072 神奈川県 鎌倉市 岡本
247-0073 神奈川県 鎌倉市 植木
247-0074 神奈川県 鎌倉市 城廻
247-0075 神奈川県 鎌倉市 関谷
247-8510 神奈川県 鎌倉市 台
247-8530 神奈川県 鎌倉市 梶原
247-8550 神奈川県 鎌倉市 台
247-8577 神奈川県 横浜市栄区 飯島町
247-8588 神奈川県 横浜市栄区 飯島町
247-8630 神奈川県 横浜市栄区 飯島町
247-8686 神奈川県 鎌倉市 大船
247-8730 神奈川県 横浜市栄区 飯島町
248-0000 神奈川県 鎌倉市 
248-0001 神奈川県 鎌倉市 十二所
248-0002 神奈川県 鎌倉市 二階堂
248-0003 神奈川県 鎌倉市 浄明寺
248-0004 神奈川県 鎌倉市 西御門
248-0005 神奈川県 鎌倉市 雪ノ下
248-0006 神奈川県 鎌倉市 小町
248-0007 神奈川県 鎌倉市 大町
248-0011 神奈川県 鎌倉市 扇ガ谷
248-0012 神奈川県 鎌倉市 御成町
248-0013 神奈川県 鎌倉市 材木座
248-0014 神奈川県 鎌倉市 由比ガ浜
248-0015 神奈川県 鎌倉市 笹目町
248-0016 神奈川県 鎌倉市 長谷
248-0017 神奈川県 鎌倉市 佐助
248-0021 神奈川県 鎌倉市 坂ノ下
248-0022 神奈川県 鎌倉市 常盤
248-0023 神奈川県 鎌倉市 極楽寺
248-0024 神奈川県 鎌倉市 稲村ガ崎
248-0025 神奈川県 鎌倉市 七里ガ浜東
248-0026 神奈川県 鎌倉市 七里ガ浜
248-0027 神奈川県 鎌倉市 笛田
248-0031 神奈川県 鎌倉市 鎌倉山
248-0032 神奈川県 鎌倉市 津
248-0033 神奈川県 鎌倉市 腰越
248-0034 神奈川県 鎌倉市 津西
248-0035 神奈川県 鎌倉市 西鎌倉
248-0036 神奈川県 鎌倉市 手広
248-8555 神奈川県 鎌倉市 手広
248-8558 神奈川県 鎌倉市 御成町
248-8686 神奈川県 鎌倉市 御成町
249-0000 神奈川県 逗子市 
249-0001 神奈川県 逗子市 久木
249-0002 神奈川県 逗子市 山の根
249-0003 神奈川県 逗子市 池子
249-0004 神奈川県 逗子市 沼間
249-0005 神奈川県 逗子市 桜山
249-0006 神奈川県 逗子市 逗子
249-0007 神奈川県 逗子市 新宿
249-0008 神奈川県 逗子市 小坪
249-8510 神奈川県 逗子市 新宿
249-8686 神奈川県 逗子市 逗子
