510-0000 三重県 四日市市 
510-0000 三重県 三重郡朝日町 
510-0000 三重県 三重郡川越町 
510-0217 三重県 鈴鹿市 野町東
510-0218 三重県 鈴鹿市 野町西
510-0219 三重県 鈴鹿市 野町南
510-0221 三重県 鈴鹿市 北若松町
510-0222 三重県 鈴鹿市 若松西
510-0223 三重県 鈴鹿市 若松北
510-0224 三重県 鈴鹿市 若松中
510-0225 三重県 鈴鹿市 若松東
510-0226 三重県 鈴鹿市 岸岡町
510-0227 三重県 鈴鹿市 南若松町
510-0231 三重県 鈴鹿市 江島台
510-0232 三重県 鈴鹿市 北江島町
510-0233 三重県 鈴鹿市 東江島町
510-0234 三重県 鈴鹿市 江島本町
510-0235 三重県 鈴鹿市 南江島町
510-0236 三重県 鈴鹿市 中江島町
510-0237 三重県 鈴鹿市 江島町
510-0241 三重県 鈴鹿市 白子駅前
510-0242 三重県 鈴鹿市 白子本町
510-0243 三重県 鈴鹿市 白子
510-0244 三重県 鈴鹿市 白子町
510-0251 三重県 鈴鹿市 徳田町
510-0252 三重県 鈴鹿市 五祝町
510-0253 三重県 鈴鹿市 寺家町
510-0254 三重県 鈴鹿市 寺家
510-0255 三重県 鈴鹿市 磯山町
510-0256 三重県 鈴鹿市 磯山
510-0257 三重県 鈴鹿市 東磯山
510-0258 三重県 鈴鹿市 秋永町
510-0259 三重県 鈴鹿市 中瀬古町
510-0261 三重県 鈴鹿市 御薗町
510-0262 三重県 鈴鹿市 越知町
510-0263 三重県 鈴鹿市 郡山町
510-0264 三重県 鈴鹿市 徳居町
510-0265 三重県 鈴鹿市 三宅町
510-0266 三重県 鈴鹿市 長法寺町
510-0292 三重県 鈴鹿市 岸岡町
510-0293 三重県 鈴鹿市 岸岡町
510-0294 三重県 鈴鹿市 白子町
510-0295 三重県 鈴鹿市 稲生町
510-0298 三重県 鈴鹿市 郡山町
510-0301 三重県 津市 河芸町西千里
510-0302 三重県 津市 河芸町千里ケ丘
510-0303 三重県 津市 河芸町東千里
510-0304 三重県 津市 河芸町上野
510-0305 三重県 津市 河芸町中別保
510-0306 三重県 津市 河芸町一色
510-0307 三重県 津市 河芸町影重
510-0308 三重県 津市 河芸町中瀬
510-0311 三重県 津市 河芸町三行
510-0312 三重県 津市 河芸町久知野
510-0313 三重県 津市 河芸町赤部
510-0314 三重県 津市 河芸町浜田
510-0315 三重県 津市 河芸町高佐
510-0316 三重県 津市 河芸町南黒田
510-0317 三重県 津市 河芸町北黒田
510-0318 三重県 津市 河芸町杜の街
510-0392 三重県 津市 河芸町浜田
510-0801 三重県 四日市市 三ツ谷東町
510-0802 三重県 四日市市 三ツ谷町
510-0803 三重県 四日市市 阿倉川町
510-0804 三重県 四日市市 万古町
510-0805 三重県 四日市市 東阿倉川
510-0806 三重県 四日市市 本郷町
510-0807 三重県 四日市市 末永町
510-0810 三重県 四日市市 阿倉川新町
510-0811 三重県 四日市市 みゆきケ丘
510-0812 三重県 四日市市 西阿倉川
510-0813 三重県 四日市市 末永
510-0814 三重県 四日市市 清水町
510-0815 三重県 四日市市 野田
510-0821 三重県 四日市市 久保田
510-0822 三重県 四日市市 芝田
510-0823 三重県 四日市市 城北町
510-0824 三重県 四日市市 城東町
510-0825 三重県 四日市市 赤堀新町
510-0826 三重県 四日市市 赤堀
510-0827 三重県 四日市市 赤堀南町
510-0828 三重県 四日市市 石塚町
510-0829 三重県 四日市市 城西町
510-0831 三重県 四日市市 西伊倉町
510-0832 三重県 四日市市 伊倉
510-0833 三重県 四日市市 中川原
510-0834 三重県 四日市市 ときわ
510-0835 三重県 四日市市 大井手
510-0836 三重県 四日市市 松本
510-0837 三重県 四日市市 西松本町
510-0838 三重県 四日市市 南松本町
510-0839 三重県 四日市市 青葉町
510-0841 三重県 四日市市 三田町
510-0842 三重県 四日市市 石原町
510-0843 三重県 四日市市 宮東町
510-0844 三重県 四日市市 宝町
510-0845 三重県 四日市市 海山道町
510-0846 三重県 四日市市 大井の川町
510-0847 三重県 四日市市 大浜町
510-0848 三重県 四日市市 東邦町
510-0851 三重県 四日市市 塩浜町
510-0852 三重県 四日市市 浜旭町
510-0853 三重県 四日市市 川合町
510-0854 三重県 四日市市 塩浜本町
510-0855 三重県 四日市市 馳出町
510-0856 三重県 四日市市 七つ屋町
510-0857 三重県 四日市市 高旭町
510-0861 三重県 四日市市 柳町
510-0862 三重県 四日市市 御薗町
510-0863 三重県 四日市市 磯津
510-0863 三重県 四日市市 大里町
510-0863 三重県 四日市市 塩浜
510-0863 三重県 四日市市 塩浜栄町
510-0864 三重県 四日市市 中里町
510-0865 三重県 四日市市 小浜町
510-0866 三重県 四日市市 大池町
510-0867 三重県 四日市市 松泉町
510-0868 三重県 四日市市 馳出
510-0871 三重県 四日市市 川尻町
510-0872 三重県 四日市市 内堀町
510-0873 三重県 四日市市 貝塚町
510-0874 三重県 四日市市 河原田町
510-0875 三重県 四日市市 大治田
510-0881 三重県 四日市市 六呂見
510-0882 三重県 四日市市 追分
510-0883 三重県 四日市市 泊小柳町
510-0884 三重県 四日市市 泊町
510-0885 三重県 四日市市 日永
510-0886 三重県 四日市市 日永東
510-0891 三重県 四日市市 日永西
510-0892 三重県 四日市市 泊山崎町
510-0893 三重県 四日市市 前田町
510-0894 三重県 四日市市 泊村
510-0941 三重県 四日市市 東日野
510-0942 三重県 四日市市 東日野町
510-0943 三重県 四日市市 西日野町
510-0944 三重県 四日市市 笹川
510-0945 三重県 四日市市 高花平
510-0946 三重県 四日市市 小林町
510-0947 三重県 四日市市 八王子町
510-0948 三重県 四日市市 室山町
510-0951 三重県 四日市市 小古曽東
510-0952 三重県 四日市市 小古曽町
510-0953 三重県 四日市市 釆女が丘
510-0954 三重県 四日市市 釆女町
510-0955 三重県 四日市市 北小松町
510-0956 三重県 四日市市 貝家町
510-0957 三重県 四日市市 森カ山町
510-0958 三重県 四日市市 小古曽
510-0961 三重県 四日市市 波木町
510-0962 三重県 四日市市 波木が丘町
510-0963 三重県 四日市市 波木南台
510-0971 三重県 四日市市 南小松町
510-1200 三重県 三重郡菰野町 
510-1221 三重県 三重郡菰野町 池底
510-1222 三重県 三重郡菰野町 大強原
510-1223 三重県 三重郡菰野町 諏訪
510-1224 三重県 三重郡菰野町 川北
510-1225 三重県 三重郡菰野町 下村
510-1226 三重県 三重郡菰野町 吉沢
510-1231 三重県 三重郡菰野町 神森
510-1232 三重県 三重郡菰野町 宿野
510-1233 三重県 三重郡菰野町 菰野
510-1234 三重県 三重郡菰野町 福村
510-1235 三重県 三重郡菰野町 宝永台
510-1236 三重県 三重郡菰野町 初若の郷
510-1241 三重県 三重郡菰野町 大羽根園新林町
510-1242 三重県 三重郡菰野町 大羽根園柴垣町
510-1243 三重県 三重郡菰野町 大羽根園呉竹町
510-1244 三重県 三重郡菰野町 大羽根園並木通
510-1245 三重県 三重郡菰野町 大羽根園松ケ枝町
510-1246 三重県 三重郡菰野町 大羽根園青葉町
510-1251 三重県 三重郡菰野町 千草
510-1252 三重県 三重郡菰野町 音羽
510-1253 三重県 三重郡菰野町 潤田
510-1292 三重県 三重郡菰野町 菰野
510-1311 三重県 三重郡菰野町 永井
510-1312 三重県 三重郡菰野町 竹成
510-1321 三重県 三重郡菰野町 田口
510-1322 三重県 三重郡菰野町 田口新田
510-1323 三重県 三重郡菰野町 小島
510-1324 三重県 三重郡菰野町 田光
510-1325 三重県 三重郡菰野町 榊
510-1326 三重県 三重郡菰野町 杉谷
510-1327 三重県 三重郡菰野町 根の平
510-1328 三重県 三重郡菰野町 切畑
510-8001 三重県 四日市市 天カ須賀
510-8002 三重県 四日市市 天カ須賀新町
510-8003 三重県 四日市市 住吉町
510-8004 三重県 四日市市 富田一色町
510-8005 三重県 四日市市 富双
510-8006 三重県 四日市市 東富田町
510-8007 三重県 四日市市 富田浜元町
510-8008 三重県 四日市市 富田浜町
510-8009 三重県 四日市市 浜園町
510-8011 三重県 四日市市 東茂福町
510-8012 三重県 四日市市 茂福町
510-8013 三重県 四日市市 南富田町
510-8014 三重県 四日市市 富田
510-8015 三重県 四日市市 松原町
510-8016 三重県 四日市市 富州原町
510-8017 三重県 四日市市 平町
510-8021 三重県 四日市市 松寺
510-8022 三重県 四日市市 蒔田
510-8023 三重県 四日市市 西富田
510-8024 三重県 四日市市 西富田町
510-8025 三重県 四日市市 富田栄町
510-8026 三重県 四日市市 十志町
510-8027 三重県 四日市市 茂福
510-8028 三重県 四日市市 下之宮町
510-8031 三重県 四日市市 川北
510-8032 三重県 四日市市 川北町
510-8033 三重県 四日市市 下さざらい町
510-8034 三重県 四日市市 大矢知町
510-8035 三重県 四日市市 東垂坂町
510-8036 三重県 四日市市 南垂坂町
510-8037 三重県 四日市市 垂坂町
510-8038 三重県 四日市市 垂坂新町
510-8039 三重県 四日市市 大矢知新町
510-8101 三重県 三重郡朝日町 縄生
510-8102 三重県 三重郡朝日町 小向
510-8103 三重県 三重郡朝日町 柿
510-8104 三重県 三重郡朝日町 埋縄
510-8105 三重県 三重郡朝日町 向陽台
510-8106 三重県 三重郡朝日町 白梅の丘東
510-8107 三重県 三重郡朝日町 白梅の丘西
510-8111 三重県 三重郡川越町 当新田
510-8112 三重県 三重郡川越町 亀須新田
510-8113 三重県 三重郡川越町 亀尾新田
510-8114 三重県 三重郡川越町 亀崎新田
510-8121 三重県 三重郡川越町 高松
510-8122 三重県 三重郡川越町 豊田
510-8123 三重県 三重郡川越町 豊田一色
510-8124 三重県 三重郡川越町 南福崎
510-8125 三重県 三重郡川越町 北福崎
510-8503 三重県 四日市市 西末広町
510-8504 三重県 四日市市 諏訪栄町
510-8505 三重県 四日市市 中納屋町
510-8506 三重県 四日市市 本町
510-8510 三重県 四日市市 富田
510-8511 三重県 四日市市 新正
510-8512 三重県 四日市市 日永西
510-8515 三重県 四日市市 鵜の森
510-8520 三重県 四日市市 新町
510-8522 三重県 三重郡朝日町 小向
510-8525 三重県 四日市市 北浜町
510-8530 三重県 四日市市 東邦町
510-8540 三重県 四日市市 霞
510-8550 三重県 四日市市 新正
510-8552 三重県 四日市市 川尻町
510-8555 三重県 四日市市 北浜田町
510-8557 三重県 四日市市 西浦
510-8560 三重県 四日市市 
510-8561 三重県 四日市市 日永
510-8562 三重県 四日市市 日永
510-8567 三重県 四日市市 芝田
510-8575 三重県 四日市市 日永
510-8577 三重県 四日市市 安島
510-8580 三重県 四日市市 赤堀新町
510-8585 三重県 四日市市 諏訪栄町
510-8588 三重県 三重郡川越町 豊田一色
510-8601 三重県 四日市市 諏訪町
510-8604 三重県 四日市市 諏訪栄町
510-8605 三重県 四日市市 尾上町
510-8615 三重県 四日市市 沖の島町
510-8616 三重県 四日市市 沖の島町
510-8621 三重県 四日市市 西新地
510-8631 三重県 四日市市 富士町
510-8642 三重県 四日市市 諏訪栄町
510-8651 三重県 四日市市 千歳町
510-8655 三重県 四日市市 安島
510-8666 三重県 四日市市 安島
510-8670 三重県 四日市市 西新地
511-0000 三重県 桑名市 
511-0001 三重県 桑名市 上之輪新田
511-0002 三重県 桑名市 福島
511-0003 三重県 桑名市 東太一丸
511-0004 三重県 桑名市 住吉町
511-0005 三重県 桑名市 太一丸
511-0006 三重県 桑名市 今北町
511-0007 三重県 桑名市 参宮通
511-0008 三重県 桑名市 蓮見町
511-0009 三重県 桑名市 桑名
511-0011 三重県 桑名市 船馬町
511-0012 三重県 桑名市 春日町
511-0013 三重県 桑名市 宝殿町
511-0014 三重県 桑名市 三崎通
511-0015 三重県 桑名市 殿町
511-0016 三重県 桑名市 相生町
511-0017 三重県 桑名市 今片町
511-0018 三重県 桑名市 今中町
511-0019 三重県 桑名市 清水町
511-0021 三重県 桑名市 川口町
511-0022 三重県 桑名市 江戸町
511-0023 三重県 桑名市 本町
511-0024 三重県 桑名市 北魚町
511-0025 三重県 桑名市 風呂町
511-0026 三重県 桑名市 宮町
511-0027 三重県 桑名市 福島新町
511-0031 三重県 桑名市 三之丸
511-0032 三重県 桑名市 吉之丸
511-0033 三重県 桑名市 赤須賀
511-0034 三重県 桑名市 地蔵
511-0035 三重県 桑名市 東野
511-0036 三重県 桑名市 伊賀町
511-0037 三重県 桑名市 元赤須賀
511-0038 三重県 桑名市 内堀
511-0039 三重県 桑名市 京町
511-0041 三重県 桑名市 外堀
511-0042 三重県 桑名市 柳原
511-0043 三重県 桑名市 新屋敷
511-0044 三重県 桑名市 萱町
511-0045 三重県 桑名市 伝馬町
511-0046 三重県 桑名市 一色町
511-0047 三重県 桑名市 鍛冶町
511-0048 三重県 桑名市 新町
511-0049 三重県 桑名市 八幡町
511-0051 三重県 桑名市 矢田磧
511-0052 三重県 桑名市 相川町
511-0053 三重県 桑名市 東鍋屋町
511-0054 三重県 桑名市 西鍋屋町
511-0055 三重県 桑名市 東矢田町
511-0056 三重県 桑名市 西矢田町
511-0057 三重県 桑名市 三ツ矢橋
511-0058 三重県 桑名市 千代田町
511-0061 三重県 桑名市 寿町
511-0062 三重県 桑名市 常盤町
511-0063 三重県 桑名市 京橋町
511-0064 三重県 桑名市 新築町
511-0065 三重県 桑名市 大央町
511-0066 三重県 桑名市 北鍋屋町
511-0067 三重県 桑名市 掛樋
511-0068 三重県 桑名市 中央町
511-0069 三重県 桑名市 新矢田
511-0071 三重県 桑名市 駅元町
511-0072 三重県 桑名市 堤原
511-0073 三重県 桑名市 北寺町
511-0074 三重県 桑名市 南寺町
511-0075 三重県 桑名市 三栄町
511-0076 三重県 桑名市 八間通
511-0077 三重県 桑名市 末広町
511-0078 三重県 桑名市 桑栄町
511-0079 三重県 桑名市 有楽町
511-0081 三重県 桑名市 片町
511-0082 三重県 桑名市 宮通
511-0083 三重県 桑名市 職人町
511-0084 三重県 桑名市 油町
511-0085 三重県 桑名市 紺屋町
511-0086 三重県 桑名市 入江葭町
511-0087 三重県 桑名市 吉津屋町
511-0088 三重県 桑名市 南魚町
511-0089 三重県 桑名市 田町
511-0101 三重県 桑名市 多度町柚井
511-0102 三重県 桑名市 多度町香取
511-0103 三重県 桑名市 多度町戸津
511-0104 三重県 桑名市 多度町肱江
511-0105 三重県 桑名市 多度町小山
511-0106 三重県 桑名市 多度町多度
511-0111 三重県 桑名市 多度町平古
511-0112 三重県 桑名市 多度町福永
511-0113 三重県 桑名市 多度町上之郷
511-0114 三重県 桑名市 多度町中須
511-0115 三重県 桑名市 多度町南之郷
511-0116 三重県 桑名市 多度町大鳥居
511-0117 三重県 桑名市 多度町下野代
511-0118 三重県 桑名市 多度町御衣野
511-0121 三重県 桑名市 多度町美鹿
511-0122 三重県 桑名市 多度町古野
511-0123 三重県 桑名市 多度町北猪飼
511-0124 三重県 桑名市 多度町猪飼
511-0125 三重県 桑名市 多度町力尾
511-0192 三重県 桑名市 多度町御衣野
511-0198 三重県 桑名市 多度町多度
511-0200 三重県 いなべ市 
511-0200 三重県 員弁郡東員町 
511-0201 三重県 いなべ市 員弁町市之原
511-0202 三重県 いなべ市 員弁町楚原
511-0203 三重県 いなべ市 員弁町畑新田
511-0204 三重県 いなべ市 員弁町石仏
511-0205 三重県 いなべ市 員弁町笠田新田
511-0206 三重県 いなべ市 員弁町宇野
511-0207 三重県 いなべ市 員弁町上笠田
511-0208 三重県 いなべ市 員弁町坂東新田
511-0211 三重県 いなべ市 員弁町松名新田
511-0212 三重県 いなべ市 員弁町平古
511-0213 三重県 いなべ市 員弁町暮明
511-0214 三重県 いなべ市 員弁町岡丁田
511-0215 三重県 いなべ市 員弁町東一色
511-0216 三重県 いなべ市 員弁町松之木
511-0217 三重県 いなべ市 員弁町大泉新田
511-0221 三重県 いなべ市 員弁町下笠田
511-0222 三重県 いなべ市 員弁町御薗
511-0223 三重県 いなべ市 員弁町北金井
511-0224 三重県 いなべ市 員弁町大泉
511-0225 三重県 いなべ市 員弁町西方
511-0231 三重県 員弁郡東員町 笹尾西
511-0232 三重県 員弁郡東員町 笹尾東
511-0233 三重県 員弁郡東員町 城山
511-0241 三重県 員弁郡東員町 鳥取
511-0242 三重県 員弁郡東員町 六把野新田
511-0243 三重県 員弁郡東員町 穴太
511-0244 三重県 員弁郡東員町 大木
511-0245 三重県 員弁郡東員町 八幡新田
511-0251 三重県 員弁郡東員町 北山田
511-0251 三重県 員弁郡東員町 山田
511-0252 三重県 員弁郡東員町 瀬古泉
511-0253 三重県 員弁郡東員町 筑紫
511-0254 三重県 員弁郡東員町 中上
511-0255 三重県 員弁郡東員町 長深
511-0256 三重県 員弁郡東員町 南大社
511-0257 三重県 員弁郡東員町 北大社
511-0261 三重県 いなべ市 大安町丹生川上
511-0262 三重県 いなべ市 大安町丹生川中
511-0263 三重県 いなべ市 大安町丹生川久下
511-0264 三重県 いなべ市 大安町石榑東
511-0265 三重県 いなべ市 大安町石榑北
511-0266 三重県 いなべ市 大安町石榑南
511-0267 三重県 いなべ市 大安町石榑北山
511-0271 三重県 いなべ市 大安町片樋
511-0272 三重県 いなべ市 大安町高柳
511-0273 三重県 いなべ市 大安町平塚
511-0274 三重県 いなべ市 大安町大井田
511-0275 三重県 いなべ市 大安町鍋坂
511-0276 三重県 いなべ市 大安町石榑下
511-0281 三重県 いなべ市 大安町門前
511-0282 三重県 いなべ市 大安町大泉
511-0283 三重県 いなべ市 大安町南金井
511-0284 三重県 いなべ市 大安町梅戸
511-0285 三重県 いなべ市 大安町宇賀新田
511-0286 三重県 いなべ市 大安町宇賀
511-0287 三重県 いなべ市 大安町中央ケ丘
511-0292 三重県 いなべ市 大安町大井田
511-0293 三重県 いなべ市 員弁町笠田新田
511-0294 三重県 員弁郡東員町 中上
511-0295 三重県 員弁郡東員町 山田
511-0296 三重県 いなべ市 大安町門前
511-0401 三重県 いなべ市 北勢町川原
511-0402 三重県 いなべ市 北勢町千司久連新田
511-0403 三重県 いなべ市 北勢町二之瀬
511-0404 三重県 いなべ市 北勢町小原一色
511-0405 三重県 いなべ市 北勢町田辺
511-0406 三重県 いなべ市 北勢町塩崎
511-0411 三重県 いなべ市 北勢町京ケ野新田
511-0412 三重県 いなべ市 北勢町向平
511-0413 三重県 いなべ市 北勢町畑毛
511-0414 三重県 いなべ市 北勢町西貝野
511-0415 三重県 いなべ市 北勢町東貝野
511-0416 三重県 いなべ市 北勢町飯倉
511-0417 三重県 いなべ市 北勢町瀬木
511-0418 三重県 いなべ市 北勢町下平
511-0421 三重県 いなべ市 北勢町皷
511-0422 三重県 いなべ市 北勢町北中津原
511-0423 三重県 いなべ市 北勢町平野新田
511-0424 三重県 いなべ市 北勢町南中津原
511-0425 三重県 いなべ市 北勢町大辻新田
511-0426 三重県 いなべ市 北勢町其原
511-0427 三重県 いなべ市 北勢町麻生田
511-0428 三重県 いなべ市 北勢町阿下喜
511-0431 三重県 いなべ市 北勢町別名
511-0432 三重県 いなべ市 北勢町東村
511-0433 三重県 いなべ市 北勢町中山
511-0434 三重県 いなべ市 北勢町麓村
511-0435 三重県 いなべ市 北勢町奥村
511-0436 三重県 いなべ市 北勢町新町
511-0437 三重県 いなべ市 北勢町垣内
511-0438 三重県 いなべ市 北勢町治田外面
511-0492 三重県 いなべ市 北勢町阿下喜
511-0501 三重県 いなべ市 藤原町鼎
511-0502 三重県 いなべ市 藤原町上相場
511-0503 三重県 いなべ市 藤原町下相場
511-0504 三重県 いなべ市 藤原町川合
511-0505 三重県 いなべ市 藤原町日内
511-0506 三重県 いなべ市 藤原町長尾
511-0507 三重県 いなべ市 藤原町上之山田
511-0508 三重県 いなべ市 藤原町藤ケ丘
511-0511 三重県 いなべ市 藤原町市場
511-0512 三重県 いなべ市 藤原町志礼石新田
511-0513 三重県 いなべ市 藤原町下野尻
511-0514 三重県 いなべ市 藤原町石川
511-0515 三重県 いなべ市 藤原町東禅寺
511-0516 三重県 いなべ市 藤原町西野尻
511-0517 三重県 いなべ市 藤原町大貝戸
511-0518 三重県 いなべ市 藤原町坂本
511-0519 三重県 いなべ市 藤原町別名
511-0521 三重県 いなべ市 藤原町古田
511-0522 三重県 いなべ市 藤原町篠立
511-0523 三重県 いなべ市 藤原町本郷
511-0524 三重県 いなべ市 藤原町山口
511-0592 三重県 いなべ市 藤原町市場
511-0593 三重県 いなべ市 藤原町東禅寺
511-0801 三重県 桑名市 今島
511-0802 三重県 桑名市 川崎町
511-0803 三重県 桑名市 枇杷島台
511-0804 三重県 桑名市 北川原台
511-0805 三重県 桑名市 深谷町
511-0806 三重県 桑名市 東汰上
511-0807 三重県 桑名市 西汰上
511-0808 三重県 桑名市 下深谷部
511-0809 三重県 桑名市 上深谷部
511-0810 三重県 桑名市 清竹の丘
511-0811 三重県 桑名市 東方
511-0812 三重県 桑名市 尾野山
511-0813 三重県 桑名市 桜通
511-0814 三重県 桑名市 松並町
511-0815 三重県 桑名市 梅園通
511-0816 三重県 桑名市 汐見町
511-0817 三重県 桑名市 青葉町
511-0818 三重県 桑名市 高塚町
511-0819 三重県 桑名市 北別所
511-0821 三重県 桑名市 矢田
511-0822 三重県 桑名市 馬道
511-0823 三重県 桑名市 明正町
511-0824 三重県 桑名市 繁松新田
511-0825 三重県 桑名市 上野
511-0826 三重県 桑名市 太夫
511-0827 三重県 桑名市 霞町
511-0828 三重県 桑名市 立花町
511-0829 三重県 桑名市 神楽町
511-0831 三重県 桑名市 益生町
511-0832 三重県 桑名市 新地
511-0833 三重県 桑名市 福江町
511-0834 三重県 桑名市 大福
511-0835 三重県 桑名市 本願寺
511-0836 三重県 桑名市 江場
511-0837 三重県 桑名市 小泉
511-0838 三重県 桑名市 和泉
511-0839 三重県 桑名市 安永
511-0841 三重県 桑名市 小貝須
511-0842 三重県 桑名市 立田町
511-0843 三重県 桑名市 太平町
511-0844 三重県 桑名市 福岡町
511-0845 三重県 桑名市 福地
511-0846 三重県 桑名市 城南萱町
511-0847 三重県 桑名市 福江
511-0848 三重県 桑名市 大貝須
511-0851 三重県 桑名市 希望ケ丘
511-0851 三重県 桑名市 西別所
511-0852 三重県 桑名市 稗田
511-0853 三重県 桑名市 増田
511-0854 三重県 桑名市 蓮花寺
511-0855 三重県 桑名市 新倉持
511-0861 三重県 桑名市 蠣塚新田
511-0862 三重県 桑名市 播磨
511-0863 三重県 桑名市 新西方
511-0864 三重県 桑名市 西方
511-0865 三重県 桑名市 藤が丘
511-0866 三重県 桑名市 神成町
511-0867 三重県 桑名市 陽だまりの丘
511-0901 三重県 桑名市 筒尾
511-0902 三重県 桑名市 松ノ木
511-0903 三重県 桑名市 大山田
511-0904 三重県 桑名市 野田
511-0911 三重県 桑名市 額田
511-0912 三重県 桑名市 星川
511-0912 三重県 桑名市 星見ケ丘
511-0913 三重県 桑名市 里町
511-0914 三重県 桑名市 中山町
511-0921 三重県 桑名市 東金井
511-0922 三重県 桑名市 西金井
511-0923 三重県 桑名市 桑部
511-0931 三重県 桑名市 能部
511-0932 三重県 桑名市 東正和台
511-0933 三重県 桑名市 西正和台
511-0934 三重県 桑名市 赤尾
511-0935 三重県 桑名市 赤尾台
511-0936 三重県 桑名市 島田
511-0937 三重県 桑名市 志知
511-0938 三重県 桑名市 友村
511-0939 三重県 桑名市 坂井
511-0941 三重県 桑名市 嘉例川
511-0942 三重県 桑名市 広見ケ丘
511-0943 三重県 桑名市 森忠
511-0944 三重県 桑名市 芳ケ崎
511-0945 三重県 桑名市 筑紫
511-0946 三重県 桑名市 五反田
511-0947 三重県 桑名市 大仲新田
511-1101 三重県 桑名市 長島町新所
511-1102 三重県 桑名市 長島町西川
511-1103 三重県 桑名市 長島町中川
511-1104 三重県 桑名市 長島町高座
511-1105 三重県 桑名市 長島町千倉
511-1106 三重県 桑名市 長島町下坂手
511-1107 三重県 桑名市 長島町上坂手
511-1108 三重県 桑名市 長島町杉江
511-1109 三重県 桑名市 長島町松之木
511-1111 三重県 桑名市 長島町小島
511-1112 三重県 桑名市 長島町大倉
511-1113 三重県 桑名市 長島町押付
511-1114 三重県 桑名市 長島町長島下町
511-1115 三重県 桑名市 長島町長島中町
