070-0000 北海道 旭川市 
070-0032 北海道 旭川市 ２条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0033 北海道 旭川市 ３条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0034 北海道 旭川市 ４条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0035 北海道 旭川市 ５条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0036 北海道 旭川市 ６条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0037 北海道 旭川市 ７条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0038 北海道 旭川市 ８条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0039 北海道 旭川市 ９条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0040 北海道 旭川市 １０条通
070-0041 北海道 旭川市 上常盤町
070-0042 北海道 旭川市 中常盤町
070-0043 北海道 旭川市 常盤通
070-0044 北海道 旭川市 常磐公園
070-0052 北海道 旭川市 ２条西
070-0053 北海道 旭川市 ３条西
070-0054 北海道 旭川市 ４条西
070-0055 北海道 旭川市 ５条西
070-0056 北海道 旭川市 ６条西
070-0057 北海道 旭川市 ７条西
070-0058 北海道 旭川市 ８条西
070-0059 北海道 旭川市 ９条西
070-0061 北海道 旭川市 曙１条
070-0062 北海道 旭川市 曙２条
070-0063 北海道 旭川市 曙３条
070-0072 北海道 旭川市 曙北２条
070-0073 北海道 旭川市 曙北３条
070-0081 北海道 旭川市 亀吉１条
070-0082 北海道 旭川市 亀吉２条
070-0083 北海道 旭川市 亀吉３条
070-0810 北海道 旭川市 本町
070-0811 北海道 旭川市 川端町１条
070-0812 北海道 旭川市 川端町２条
070-0813 北海道 旭川市 川端町３条
070-0814 北海道 旭川市 川端町４条
070-0815 北海道 旭川市 川端町５条
070-0816 北海道 旭川市 川端町６条
070-0817 北海道 旭川市 川端町７条
070-0821 北海道 旭川市 近文町
070-0822 北海道 旭川市 旭岡
070-0823 北海道 旭川市 緑町
070-0824 北海道 旭川市 錦町
070-0825 北海道 旭川市 北門町
070-0831 北海道 旭川市 旭町１条
070-0832 北海道 旭川市 旭町２条
070-0841 北海道 旭川市 大町１条
070-0842 北海道 旭川市 大町２条
070-0843 北海道 旭川市 大町３条
070-0864 北海道 旭川市 住吉４条
070-0865 北海道 旭川市 住吉５条
070-0866 北海道 旭川市 住吉６条
070-0867 北海道 旭川市 住吉７条
070-0871 北海道 旭川市 春光１条
070-0872 北海道 旭川市 春光２条
070-0873 北海道 旭川市 春光３条
070-0874 北海道 旭川市 春光４条
070-0875 北海道 旭川市 春光５条
070-0876 北海道 旭川市 春光６条
070-0877 北海道 旭川市 春光７条
070-0901 北海道 旭川市 花咲町
070-0902 北海道 旭川市 春光町
070-0971 北海道 旭川市 ４区１条
070-0972 北海道 旭川市 ４区２条
070-0973 北海道 旭川市 ４区３条
070-8001 北海道 旭川市 神楽１条
070-8002 北海道 旭川市 神楽２条
070-8003 北海道 旭川市 神楽３条
070-8004 北海道 旭川市 神楽４条
070-8005 北海道 旭川市 神楽５条
070-8006 北海道 旭川市 神楽６条
070-8007 北海道 旭川市 神楽７条
070-8011 北海道 旭川市 神居１条
070-8012 北海道 旭川市 神居２条
070-8013 北海道 旭川市 神居３条
070-8014 北海道 旭川市 神居４条
070-8015 北海道 旭川市 神居５条
070-8016 北海道 旭川市 神居６条
070-8017 北海道 旭川市 神居７条
070-8018 北海道 旭川市 神居８条
070-8019 北海道 旭川市 神居９条
070-8021 北海道 旭川市 神居町忠和
070-8022 北海道 旭川市 神居町台場
070-8023 北海道 旭川市 神居町春志内
070-8024 北海道 旭川市 神居町富沢
070-8025 北海道 旭川市 神居町富岡
070-8026 北海道 旭川市 神居町神岡
070-8027 北海道 旭川市 台場東
070-8028 北海道 旭川市 南が丘
070-8031 北海道 旭川市 神居町神華
070-8032 北海道 旭川市 神居町共栄
070-8033 北海道 旭川市 神居町雨紛
070-8034 北海道 旭川市 神居町上雨紛
070-8041 北海道 旭川市 忠和１条
070-8042 北海道 旭川市 忠和２条
070-8043 北海道 旭川市 忠和３条
070-8044 北海道 旭川市 忠和４条
070-8045 北海道 旭川市 忠和５条
070-8046 北海道 旭川市 忠和６条
070-8047 北海道 旭川市 忠和７条
070-8048 北海道 旭川市 忠和８条
070-8049 北海道 旭川市 忠和９条
070-8051 北海道 旭川市 江丹別町嵐山
070-8052 北海道 旭川市 江丹別町春日
070-8053 北海道 旭川市 江丹別町共和
070-8061 北海道 旭川市 高砂台
070-8071 北海道 旭川市 台場１条
070-8072 北海道 旭川市 台場２条
070-8073 北海道 旭川市 台場３条
070-8074 北海道 旭川市 台場４条
070-8502 北海道 旭川市 宮下通
070-8503 北海道 旭川市 
070-8505 北海道 旭川市 宮下通
070-8507 北海道 旭川市 
070-8510 北海道 旭川市 
070-8511 北海道 旭川市 
070-8515 北海道 旭川市 
070-8520 北海道 旭川市 
070-8521 北海道 旭川市 
070-8525 北海道 旭川市 
070-8530 北海道 旭川市 
070-8540 北海道 旭川市 常盤通
070-8541 北海道 旭川市 上常盤町
070-8550 北海道 旭川市 
070-8560 北海道 旭川市 
070-8567 北海道 旭川市 南が丘
070-8601 北海道 旭川市 神居町忠和
070-8610 北海道 旭川市 金星町
070-8611 北海道 旭川市 パルプ町
070-8612 北海道 旭川市 
070-8616 北海道 旭川市 
070-8621 北海道 旭川市 北門町
070-8630 北海道 旭川市 春光町
070-8636 北海道 旭川市 花咲町
070-8639 北海道 旭川市 春光町
070-8640 北海道 旭川市 花咲町
070-8641 北海道 旭川市 花咲町
070-8642 北海道 旭川市 花咲町
070-8644 北海道 旭川市 花咲町
070-8650 北海道 旭川市 
070-8651 北海道 旭川市 
070-8653 北海道 旭川市 宮下通
070-8655 北海道 旭川市 
070-8660 北海道 旭川市 
070-8666 北海道 旭川市 
070-8670 北海道 旭川市 
070-8676 北海道 旭川市 
070-8677 北海道 旭川市 宮下通
070-8678 北海道 旭川市 
070-8680 北海道 旭川市 
070-8686 北海道 旭川市 
070-8688 北海道 旭川市 
070-8701 北海道 旭川市 
070-8710 北海道 旭川市 
070-8711 北海道 旭川市 
070-8720 北海道 旭川市 
070-8722 北海道 旭川市 
071-0171 北海道 旭川市 西神楽南１条
071-0172 北海道 旭川市 西神楽南２条
071-0173 北海道 旭川市 西神楽北１条
071-0174 北海道 旭川市 西神楽北２条
071-0184 北海道 旭川市 西神楽４線
071-0185 北海道 旭川市 西神楽５線
071-0186 北海道 旭川市 西神楽南
071-0192 北海道 旭川市 西神楽南
071-0198 北海道 旭川市 
071-0200 北海道 上川郡美瑛町 
071-0201 北海道 上川郡美瑛町 丸山
071-0202 北海道 上川郡美瑛町 南町
071-0203 北海道 上川郡美瑛町 西町
071-0204 北海道 上川郡美瑛町 大町
071-0205 北海道 上川郡美瑛町 栄町
071-0206 北海道 上川郡美瑛町 北町
071-0207 北海道 上川郡美瑛町 中町
071-0208 北海道 上川郡美瑛町 本町
071-0209 北海道 上川郡美瑛町 寿町
071-0211 北海道 上川郡美瑛町 錦町
071-0212 北海道 上川郡美瑛町 旭町
071-0213 北海道 上川郡美瑛町 東町
071-0214 北海道 上川郡美瑛町 幸町
071-0215 北海道 上川郡美瑛町 扇町
071-0216 北海道 上川郡美瑛町 大村
071-0217 北海道 上川郡美瑛町 大村
071-0218 北海道 上川郡美瑛町 大村
071-0219 北海道 上川郡美瑛町 大村
071-0221 北海道 上川郡美瑛町 美田
071-0222 北海道 上川郡美瑛町 美田
071-0223 北海道 上川郡美瑛町 五稜
071-0224 北海道 上川郡美瑛町 北瑛
071-0225 北海道 上川郡美瑛町 明治
071-0226 北海道 上川郡美瑛町 下宇莫別
071-0227 北海道 上川郡美瑛町 中宇莫別
071-0228 北海道 上川郡美瑛町 中宇莫別
071-0229 北海道 上川郡美瑛町 上宇莫別
071-0231 北海道 上川郡美瑛町 明治
071-0232 北海道 上川郡美瑛町 明治
071-0233 北海道 上川郡美瑛町 新区画
071-0234 北海道 上川郡美瑛町 置杵牛
071-0235 北海道 上川郡美瑛町 白金
071-0236 北海道 上川郡美瑛町 美沢
071-0237 北海道 上川郡美瑛町 福富
071-0238 北海道 上川郡美瑛町 藤野
071-0239 北海道 上川郡美瑛町 美瑛原野
071-0240 北海道 上川郡美瑛町 三愛
071-0241 北海道 上川郡美瑛町 水沢
071-0242 北海道 上川郡美瑛町 水沢
071-0243 北海道 上川郡美瑛町 福富
071-0244 北海道 上川郡美瑛町 福富
071-0245 北海道 上川郡美瑛町 福富
071-0246 北海道 上川郡美瑛町 福富
071-0247 北海道 上川郡美瑛町 三愛
071-0248 北海道 上川郡美瑛町 花園
071-0249 北海道 上川郡美瑛町 憩町
071-0251 北海道 上川郡美瑛町 憩が丘
071-0261 北海道 上川郡美瑛町 旭
071-0292 北海道 上川郡美瑛町 本町
071-0298 北海道 上川郡美瑛町 中町
071-0351 北海道 上川郡美瑛町 横牛
071-0352 北海道 上川郡美瑛町 朗根内
071-0353 北海道 上川郡美瑛町 俵真布
071-0355 北海道 上川郡美瑛町 天人峡
071-0461 北海道 上川郡美瑛町 美馬牛北
071-0462 北海道 上川郡美瑛町 美馬牛南
071-0471 北海道 上川郡美瑛町 美馬牛
071-0472 北海道 上川郡美瑛町 美馬牛市街地
071-0473 北海道 上川郡美瑛町 新星
071-0474 北海道 上川郡美瑛町 拓進
071-0475 北海道 上川郡美瑛町 常盤
071-0476 北海道 上川郡美瑛町 御牧
071-0477 北海道 上川郡美瑛町 二股
071-0478 北海道 上川郡美瑛町 瑠辺蘂
071-0479 北海道 上川郡美瑛町 美園
071-0500 北海道 空知郡上富良野町 
071-0501 北海道 空知郡上富良野町 西１線北
071-0502 北海道 空知郡上富良野町 西２線北
071-0503 北海道 空知郡上富良野町 西３線北
071-0504 北海道 空知郡上富良野町 西４線北
071-0505 北海道 空知郡上富良野町 西５線北
071-0506 北海道 空知郡上富良野町 西６線北
071-0507 北海道 空知郡上富良野町 西７線北
071-0508 北海道 空知郡上富良野町 西８線北
071-0509 北海道 空知郡上富良野町 西９線北
071-0510 北海道 空知郡上富良野町 西１０線北
071-0511 北海道 空知郡上富良野町 西１１線北
071-0512 北海道 空知郡上富良野町 西１２線北
071-0513 北海道 空知郡上富良野町 西１３線北
071-0514 北海道 空知郡上富良野町 西１４線北
071-0515 北海道 空知郡上富良野町 西１５線北
071-0516 北海道 空知郡上富良野町 西１６線北
071-0517 北海道 空知郡上富良野町 沼崎農場
071-0520 北海道 空知郡上富良野町 基線北
071-0521 北海道 空知郡上富良野町 東１線北
071-0522 北海道 空知郡上富良野町 東２線北
071-0523 北海道 空知郡上富良野町 東３線北
071-0524 北海道 空知郡上富良野町 東４線北
071-0525 北海道 空知郡上富良野町 東５線北
071-0526 北海道 空知郡上富良野町 東６線北
071-0527 北海道 空知郡上富良野町 東７線北
071-0528 北海道 空知郡上富良野町 東８線北
071-0529 北海道 空知郡上富良野町 東９線北
071-0530 北海道 空知郡上富良野町 東１０線北
071-0531 北海道 空知郡上富良野町 東１１線北
071-0532 北海道 空知郡上富良野町 東１２線北
071-0533 北海道 空知郡上富良野町 倍本農場
071-0534 北海道 空知郡上富良野町 西谷牧場
071-0541 北海道 空知郡上富良野町 富町
071-0542 北海道 空知郡上富良野町 錦町
071-0543 北海道 空知郡上富良野町 中町
071-0544 北海道 空知郡上富良野町 栄町
071-0545 北海道 空知郡上富良野町 光町
071-0546 北海道 空知郡上富良野町 西町
071-0547 北海道 空知郡上富良野町 泉町
071-0548 北海道 空知郡上富良野町 扇町
071-0549 北海道 空知郡上富良野町 北町
071-0551 北海道 空知郡上富良野町 本町
071-0552 北海道 空知郡上富良野町 宮町
071-0553 北海道 空知郡上富良野町 旭町
071-0554 北海道 空知郡上富良野町 新町
071-0555 北海道 空知郡上富良野町 東町
071-0561 北海道 空知郡上富良野町 大町
071-0562 北海道 空知郡上富良野町 南町
071-0563 北海道 空知郡上富良野町 緑町
071-0564 北海道 空知郡上富良野町 桜町
071-0565 北海道 空知郡上富良野町 丘町
071-0566 北海道 空知郡上富良野町 向町
071-0571 北海道 空知郡上富良野町 新井牧場
071-0572 北海道 空知郡上富良野町 細野農場
071-0573 北海道 空知郡上富良野町 松井牧場
071-0574 北海道 空知郡上富良野町 第１安井牧場
071-0575 北海道 空知郡上富良野町 第２安井牧場
071-0576 北海道 空知郡上富良野町 十人牧場
071-0577 北海道 空知郡上富良野町 中の沢
071-0578 北海道 空知郡上富良野町 山加農場
071-0579 北海道 空知郡上富良野町 吹上
071-0583 北海道 空知郡上富良野町 津郷農場
071-0596 北海道 空知郡上富良野町 大町
071-0597 北海道 空知郡上富良野町 栄町
071-0700 北海道 空知郡中富良野町 
071-0704 北海道 空知郡中富良野町 基線北
071-0705 北海道 空知郡中富良野町 西１線北
071-0706 北海道 空知郡中富良野町 西２線北
071-0707 北海道 空知郡中富良野町 西３線北
071-0711 北海道 空知郡中富良野町 ベベルイ
071-0714 北海道 空知郡中富良野町 宮町
071-0726 北海道 空知郡中富良野町 東町
071-0731 北海道 空知郡中富良野町 新田中農場
071-0732 北海道 空知郡中富良野町 田中農場
071-0733 北海道 空知郡中富良野町 伊藤農場
071-0734 北海道 空知郡中富良野町 鹿討農場
071-0735 北海道 空知郡中富良野町 日進
071-0736 北海道 空知郡中富良野町 吉井農場
071-0737 北海道 空知郡中富良野町 奈江
071-0742 北海道 空知郡中富良野町 福原農場
071-0751 北海道 空知郡中富良野町 北町
071-0752 北海道 空知郡中富良野町 本町
071-0753 北海道 空知郡中富良野町 南町
071-0754 北海道 空知郡中富良野町 新町
071-0755 北海道 空知郡中富良野町 旭町
071-0761 北海道 空知郡中富良野町 西町
071-0762 北海道 空知郡中富良野町 丘町
071-0770 北海道 空知郡中富良野町 暁町
071-0771 北海道 空知郡中富良野町 東１線北
071-0772 北海道 空知郡中富良野町 東２線北
071-0773 北海道 空知郡中富良野町 東３線北
071-0774 北海道 空知郡中富良野町 東４線北
071-0775 北海道 空知郡中富良野町 東５線北
071-0776 北海道 空知郡中富良野町 東６線北
071-0777 北海道 空知郡中富良野町 東７線北
071-0778 北海道 空知郡中富良野町 東８線北
071-0779 北海道 空知郡中富良野町 東９線北
071-0780 北海道 空知郡中富良野町 東１０線北
071-0781 北海道 空知郡中富良野町 東１１線北
071-0795 北海道 空知郡中富良野町 本町
071-0798 北海道 空知郡中富良野町 東１線北
071-1171 北海道 旭川市 江丹別町清水
071-1172 北海道 旭川市 江丹別町拓北
071-1173 北海道 旭川市 江丹別町中央
071-1174 北海道 旭川市 江丹別町富原
071-1175 北海道 旭川市 江丹別町中園
071-1176 北海道 旭川市 江丹別町西里
071-1177 北海道 旭川市 江丹別町芳野
071-1200 北海道 上川郡鷹栖町 
071-1201 北海道 上川郡鷹栖町 南一条
071-1202 北海道 上川郡鷹栖町 南二条
071-1211 北海道 上川郡鷹栖町 北一条
071-1221 北海道 上川郡鷹栖町 北野東一条
071-1222 北海道 上川郡鷹栖町 北野東二条
071-1223 北海道 上川郡鷹栖町 北野東三条
071-1224 北海道 上川郡鷹栖町 北野東四条
071-1225 北海道 上川郡鷹栖町 北野東五条
071-1231 北海道 上川郡鷹栖町 北野西一条
071-1232 北海道 上川郡鷹栖町 北野西二条
071-1233 北海道 上川郡鷹栖町 北野西三条
071-1234 北海道 上川郡鷹栖町 北野西四条
071-1235 北海道 上川郡鷹栖町 北野西五条
071-1247 北海道 上川郡鷹栖町 ７線
071-1248 北海道 上川郡鷹栖町 ８線
071-1249 北海道 上川郡鷹栖町 ９線
071-1250 北海道 上川郡鷹栖町 １０線
071-1251 北海道 上川郡鷹栖町 １１線
071-1252 北海道 上川郡鷹栖町 １２線
071-1253 北海道 上川郡鷹栖町 １３線
071-1254 北海道 上川郡鷹栖町 １４線
071-1255 北海道 上川郡鷹栖町 １５線
071-1256 北海道 上川郡鷹栖町 １６線
071-1257 北海道 上川郡鷹栖町 １７線
071-1258 北海道 上川郡鷹栖町 １８線
071-1259 北海道 上川郡鷹栖町 １９線
071-1260 北海道 上川郡鷹栖町 ２０線
071-1261 北海道 上川郡鷹栖町 ２１線
071-1262 北海道 上川郡鷹栖町 ２２線
071-1263 北海道 上川郡鷹栖町 ２３線
071-1264 北海道 上川郡鷹栖町 ２４線
071-1265 北海道 上川郡鷹栖町 ２５線
071-1266 北海道 上川郡鷹栖町 ２６線
071-1267 北海道 上川郡鷹栖町 ２７線
071-1292 北海道 上川郡鷹栖町 南一条
071-1293 北海道 上川郡鷹栖町 北一条
071-1295 北海道 上川郡鷹栖町 ８線
071-1298 北海道 上川郡鷹栖町 
071-1400 北海道 上川郡東川町 
071-1402 北海道 上川郡東川町 西２号北
071-1403 北海道 上川郡東川町 西３号北
071-1404 北海道 上川郡東川町 西４号北
071-1405 北海道 上川郡東川町 西５号北
071-1406 北海道 上川郡東川町 西６号北
071-1407 北海道 上川郡東川町 西７号北
071-1408 北海道 上川郡東川町 西８号北
071-1409 北海道 上川郡東川町 西９号北
071-1410 北海道 上川郡東川町 西１０号北
071-1411 北海道 上川郡東川町 西１１号北
071-1412 北海道 上川郡東川町 西１２号北
071-1422 北海道 上川郡東川町 西２号南
071-1423 北海道 上川郡東川町 東町
071-1424 北海道 上川郡東川町 南町
071-1425 北海道 上川郡東川町 西町
071-1426 北海道 上川郡東川町 北町
071-1431 北海道 上川郡東川町 １号北
071-1432 北海道 上川郡東川町 東２号北
071-1433 北海道 上川郡東川町 東３号北
071-1434 北海道 上川郡東川町 東４号北
071-1435 北海道 上川郡東川町 東５号北
071-1436 北海道 上川郡東川町 東６号北
071-1437 北海道 上川郡東川町 東７号北
071-1438 北海道 上川郡東川町 東８号北
071-1439 北海道 上川郡東川町 東９号北
071-1440 北海道 上川郡東川町 東１０号北
071-1441 北海道 上川郡東川町 東１１号北
071-1442 北海道 上川郡東川町 東１２号北
071-1451 北海道 上川郡東川町 １号南
071-1452 北海道 上川郡東川町 東２号南
071-1453 北海道 上川郡東川町 東３号南
071-1454 北海道 上川郡東川町 東４号南
071-1455 北海道 上川郡東川町 東５号南
071-1456 北海道 上川郡東川町 東６号南
071-1457 北海道 上川郡東川町 東７号南
071-1458 北海道 上川郡東川町 東８号南
071-1459 北海道 上川郡東川町 東９号南
071-1460 北海道 上川郡東川町 東１０号南
071-1461 北海道 上川郡東川町 東１１号南
071-1462 北海道 上川郡東川町 北２線東
071-1463 北海道 上川郡東川町 北３線東
071-1464 北海道 上川郡東川町 進化台
071-1465 北海道 上川郡東川町 北５線
071-1466 北海道 上川郡東川町 北７線
071-1467 北海道 上川郡東川町 北７線東
071-1471 北海道 上川郡東川町 ノカナン
071-1472 北海道 上川郡東川町 勇駒別
071-1473 北海道 上川郡東川町 松山温泉
071-1474 北海道 上川郡美瑛町 忠別
071-1492 北海道 上川郡東川町 東町
071-1493 北海道 上川郡東川町 東町
071-1494 北海道 上川郡東川町 松山温泉
071-1495 北海道 上川郡東川町 西町
071-1496 北海道 上川郡東川町 進化台
071-1497 北海道 上川郡東川町 進化台
071-1500 北海道 上川郡東神楽町 
071-1501 北海道 上川郡東神楽町 南一条西
071-1502 北海道 上川郡東神楽町 南一条東
071-1503 北海道 上川郡東神楽町 南二条西
071-1504 北海道 上川郡東神楽町 南二条東
071-1505 北海道 上川郡東神楽町 南三条東
071-1511 北海道 上川郡東神楽町 北一条西
071-1512 北海道 上川郡東神楽町 北一条東
071-1513 北海道 上川郡東神楽町 北二条西
071-1514 北海道 上川郡東神楽町 北二条東
071-1515 北海道 上川郡東神楽町 北三条東
071-1521 北海道 上川郡東神楽町 ひじり野北一条
071-1522 北海道 上川郡東神楽町 ひじり野北二条
071-1523 北海道 上川郡東神楽町 ひじり野南一条
071-1524 北海道 上川郡東神楽町 ひじり野南二条
071-1525 北海道 上川郡東神楽町 ひじり野南三条
071-1533 北海道 上川郡東神楽町 ３号
071-1534 北海道 上川郡東神楽町 ４号
071-1535 北海道 上川郡東神楽町 ５号
071-1536 北海道 上川郡東神楽町 ６号
071-1537 北海道 上川郡東神楽町 ７号
071-1538 北海道 上川郡東神楽町 ８号
071-1539 北海道 上川郡東神楽町 ９号
071-1540 北海道 上川郡東神楽町 １０号
071-1541 北海道 上川郡東神楽町 １１号
071-1542 北海道 上川郡東神楽町 １２号
071-1543 北海道 上川郡東神楽町 １３号
071-1544 北海道 上川郡東神楽町 １４号
071-1545 北海道 上川郡東神楽町 １５号
071-1546 北海道 上川郡東神楽町 １６号
071-1547 北海道 上川郡東神楽町 １７号
071-1548 北海道 上川郡東神楽町 １８号
071-1549 北海道 上川郡東神楽町 １９号
071-1550 北海道 上川郡東神楽町 ２０号
071-1551 北海道 上川郡東神楽町 ２１号
071-1552 北海道 上川郡東神楽町 ２２号
071-1553 北海道 上川郡東神楽町 ２３号
071-1554 北海道 上川郡東神楽町 ２４号
071-1555 北海道 上川郡東神楽町 ２５号
071-1556 北海道 上川郡東神楽町 ２６号
071-1557 北海道 上川郡東神楽町 ２７号
071-1560 北海道 上川郡東神楽町 基線
071-1561 北海道 上川郡東神楽町 東一線
071-1562 北海道 上川郡東神楽町 東二線
