310-0000 茨城県 水戸市 
310-8525 茨城県 水戸市 千波町
310-8528 茨城県 水戸市 元吉田町
310-8533 茨城県 水戸市 泉町
310-8536 茨城県 水戸市 宮町
310-8540 茨城県 水戸市 北見町
310-8550 茨城県 水戸市 笠原町
310-8551 茨城県 水戸市 三の丸
310-8555 茨城県 水戸市 笠原町
310-8558 茨城県 水戸市 北見町
310-8567 茨城県 水戸市 大町
310-8570 茨城県 水戸市 大町
310-8577 茨城県 水戸市 白梅
310-8581 茨城県 水戸市 笠原町
310-8585 茨城県 水戸市 見和
310-8588 茨城県 水戸市 笠原町
310-8601 茨城県 水戸市 泉町
310-8602 茨城県 水戸市 泉町
310-8604 茨城県 水戸市 南町
310-8610 茨城県 水戸市 中央
310-8611 茨城県 水戸市 南町
310-8616 茨城県 水戸市 梅香
310-8622 茨城県 水戸市 大町
310-8641 茨城県 水戸市 笠原町
310-8666 茨城県 水戸市 北見町
310-8668 茨城県 水戸市 梅香
310-8671 茨城県 水戸市 北見町
310-8677 茨城県 水戸市 南町
310-8686 茨城県 水戸市 北見町
310-8753 茨城県 水戸市 三の丸
311-0100 茨城県 那珂市 
311-0101 茨城県 那珂市 本米崎
311-0102 茨城県 那珂市 向山
311-0103 茨城県 那珂市 横堀
311-0104 茨城県 那珂市 堤
311-0105 茨城県 那珂市 菅谷
311-0106 茨城県 那珂市 杉
311-0107 茨城県 那珂市 額田南郷
311-0108 茨城県 那珂市 額田北郷
311-0109 茨城県 那珂市 額田東郷
311-0110 茨城県 那珂市 竹ノ内
311-0111 茨城県 那珂市 後台
311-0112 茨城県 那珂市 津田
311-0113 茨城県 那珂市 中台
311-0114 茨城県 那珂市 東木倉
311-0115 茨城県 那珂市 西木倉
311-0116 茨城県 那珂市 上河内
311-0117 茨城県 那珂市 豊喰
311-0118 茨城県 那珂市 福田
311-0121 茨城県 那珂市 戸崎
311-0122 茨城県 那珂市 戸
311-0123 茨城県 那珂市 上国井
311-0124 茨城県 那珂市 田崎
311-0125 茨城県 那珂市 大内
311-0126 茨城県 那珂市 下江戸
311-0131 茨城県 那珂市 北酒出
311-0132 茨城県 那珂市 南酒出
311-0133 茨城県 那珂市 鴻巣
311-0134 茨城県 那珂市 飯田
311-0135 茨城県 那珂市 鹿島
311-0136 茨城県 那珂市 門部
311-0192 茨城県 那珂市 福田
311-0193 茨城県 那珂市 向山
311-0194 茨城県 那珂市 菅谷
311-0301 茨城県 常陸太田市 河内西町
311-0311 茨城県 常陸太田市 町屋町
311-0312 茨城県 常陸太田市 西河内下町
311-0313 茨城県 常陸太田市 西河内中町
311-0314 茨城県 常陸太田市 西河内上町
311-0321 茨城県 常陸太田市 春友町
311-0322 茨城県 常陸太田市 常福地町
311-0323 茨城県 常陸太田市 茅根町
311-0324 茨城県 常陸太田市 白羽町
311-0325 茨城県 常陸太田市 里野宮町
311-0401 茨城県 日立市 中深荻町
311-0402 茨城県 日立市 入四間町
311-0403 茨城県 日立市 東河内町
311-0404 茨城県 日立市 下深荻町
311-0501 茨城県 常陸太田市 里川町
311-0502 茨城県 常陸太田市 徳田町
311-0503 茨城県 常陸太田市 小妻町
311-0504 茨城県 常陸太田市 小中町
311-0505 茨城県 常陸太田市 大中町
311-0506 茨城県 常陸太田市 折橋町
311-0507 茨城県 常陸太田市 小菅町
311-0508 茨城県 常陸太田市 大菅町
311-0509 茨城県 常陸太田市 上深荻町
311-1111 茨城県 水戸市 小泉町
311-1112 茨城県 水戸市 川又町
311-1113 茨城県 水戸市 平戸町
311-1114 茨城県 水戸市 塩崎町
311-1115 茨城県 水戸市 大串町
311-1121 茨城県 水戸市 島田町
311-1122 茨城県 水戸市 秋成町
311-1123 茨城県 水戸市 下入野町
311-1124 茨城県 水戸市 森戸町
311-1125 茨城県 水戸市 大場町
311-1131 茨城県 水戸市 下大野町
311-1132 茨城県 水戸市 東前町
311-1133 茨城県 水戸市 栗崎町
311-1134 茨城県 水戸市 百合が丘町
311-1135 茨城県 水戸市 六反田町
311-1136 茨城県 水戸市 東前
311-1201 茨城県 ひたちなか市 阿字ケ浦町
311-1202 茨城県 ひたちなか市 磯崎町
311-1203 茨城県 ひたちなか市 平磯町
311-1204 茨城県 ひたちなか市 平磯遠原町
311-1205 茨城県 ひたちなか市 十三奉行
311-1206 茨城県 ひたちなか市 西十三奉行
311-1207 茨城県 ひたちなか市 烏ケ台
311-1211 茨城県 ひたちなか市 沢メキ
311-1212 茨城県 ひたちなか市 殿山町
311-1213 茨城県 ひたちなか市 牛久保
311-1214 茨城県 ひたちなか市 和田町
311-1215 茨城県 ひたちなか市 東本町
311-1216 茨城県 ひたちなか市 湊泉町
311-1217 茨城県 ひたちなか市 富士ノ下
311-1218 茨城県 ひたちなか市 富士ノ上
311-1221 茨城県 ひたちなか市 湊本町
311-1222 茨城県 ひたちなか市 海門町
311-1223 茨城県 ひたちなか市 栄町
311-1224 茨城県 ひたちなか市 山ノ上町
311-1225 茨城県 ひたちなか市 釈迦町
311-1226 茨城県 ひたちなか市 幸町
311-1227 茨城県 ひたちなか市 洞下町
311-1228 茨城県 ひたちなか市 八幡町
311-1229 茨城県 ひたちなか市 湊中央
311-1231 茨城県 ひたちなか市 柳沢
311-1232 茨城県 ひたちなか市 柳が丘
311-1233 茨城県 ひたちなか市 堀川
311-1234 茨城県 ひたちなか市 峰後
311-1235 茨城県 ひたちなか市 田中後
311-1236 茨城県 ひたちなか市 国神前
311-1237 茨城県 ひたちなか市 関戸
311-1238 茨城県 ひたちなか市 美田多町
311-1241 茨城県 ひたちなか市 赤坂
311-1242 茨城県 ひたちなか市 西赤坂
311-1243 茨城県 ひたちなか市 北神敷台
311-1244 茨城県 ひたちなか市 南神敷台
311-1245 茨城県 ひたちなか市 館山
311-1246 茨城県 ひたちなか市 相金町
311-1247 茨城県 ひたちなか市 四十発句
311-1248 茨城県 ひたちなか市 田宮原
311-1251 茨城県 ひたちなか市 山崎
311-1252 茨城県 ひたちなか市 部田野
311-1253 茨城県 ひたちなか市 小谷金
311-1254 茨城県 ひたちなか市 新堤
311-1255 茨城県 ひたちなか市 雨沢谷津
311-1261 茨城県 ひたちなか市 鶴代
311-1262 茨城県 ひたちなか市 道メキ
311-1263 茨城県 ひたちなか市 和尚塚
311-1264 茨城県 ひたちなか市 浅井内
311-1265 茨城県 ひたちなか市 狢谷津
311-1266 茨城県 ひたちなか市 船窪
311-1267 茨城県 ひたちなか市 廻り目
311-1268 茨城県 ひたちなか市 湊中原
311-1300 茨城県 東茨城郡大洗町 
311-1301 茨城県 東茨城郡大洗町 磯浜町
311-1302 茨城県 東茨城郡大洗町 磯道
311-1303 茨城県 東茨城郡大洗町 東光台
311-1304 茨城県 東茨城郡大洗町 和銅
311-1305 茨城県 東茨城郡大洗町 港中央
311-1306 茨城県 東茨城郡大洗町 五反田
311-1307 茨城県 東茨城郡大洗町 桜道
311-1311 茨城県 東茨城郡大洗町 大貫町
311-1312 茨城県 東茨城郡大洗町 神山町
311-1313 茨城県 東茨城郡大洗町 成田町
311-1392 茨城県 東茨城郡大洗町 磯浜町
311-1393 茨城県 東茨城郡大洗町 成田町
311-1401 茨城県 鉾田市 箕輪
311-1402 茨城県 鉾田市 下太田
311-1403 茨城県 鉾田市 上釜
311-1404 茨城県 鉾田市 沢尻
311-1405 茨城県 鉾田市 上太田
311-1406 茨城県 鉾田市 田崎
311-1411 茨城県 鉾田市 荒地
311-1412 茨城県 鉾田市 玉田
311-1413 茨城県 鉾田市 冷水
311-1414 茨城県 鉾田市 子生
311-1415 茨城県 鉾田市 造谷
311-1416 茨城県 鉾田市 鹿田
311-1421 茨城県 鉾田市 勝下新田
311-1422 茨城県 鉾田市 勝下
311-1423 茨城県 鉾田市 滝浜
311-1424 茨城県 鉾田市 柏熊新田
311-1425 茨城県 鉾田市 湯坪
311-1426 茨城県 鉾田市 樅山
311-1427 茨城県 鉾田市 常磐
311-1492 茨城県 鉾田市 造谷
311-1493 茨城県 鉾田市 箕輪
311-1500 茨城県 鉾田市 
311-1501 茨城県 鉾田市 舟木
311-1502 茨城県 鉾田市 大戸
311-1503 茨城県 鉾田市 徳宿
311-1504 茨城県 鉾田市 安房
311-1505 茨城県 鉾田市 駒木根
311-1506 茨城県 鉾田市 秋山
311-1511 茨城県 鉾田市 柏熊
311-1512 茨城県 鉾田市 白塚
311-1513 茨城県 鉾田市 大竹
311-1514 茨城県 鉾田市 安塚
311-1515 茨城県 鉾田市 烟田
311-1516 茨城県 鉾田市 新鉾田
311-1517 茨城県 鉾田市 鉾田
311-1518 茨城県 鉾田市 新鉾田西
311-1521 茨城県 鉾田市 飯名
311-1522 茨城県 鉾田市 塔ケ崎
311-1523 茨城県 鉾田市 串挽
311-1524 茨城県 鉾田市 高田
311-1525 茨城県 鉾田市 野友
311-1526 茨城県 鉾田市 半原
311-1527 茨城県 鉾田市 借宿
311-1528 茨城県 鉾田市 当間
311-1531 茨城県 鉾田市 菅野谷
311-1532 茨城県 鉾田市 上冨田
311-1533 茨城県 鉾田市 下冨田
311-1534 茨城県 鉾田市 鳥栖
311-1535 茨城県 鉾田市 青柳
311-1536 茨城県 鉾田市 大和田
311-1537 茨城県 鉾田市 紅葉
311-1592 茨城県 鉾田市 鉾田
311-1593 茨城県 鉾田市 鉾田
311-1701 茨城県 行方市 長野江
311-1702 茨城県 行方市 三和
311-1703 茨城県 行方市 成田
311-1704 茨城県 行方市 山田
311-1705 茨城県 行方市 内宿
311-1711 茨城県 行方市 吉川
311-1712 茨城県 行方市 繁昌
311-1713 茨城県 行方市 中根
311-1714 茨城県 行方市 南高岡
311-1715 茨城県 行方市 小幡
311-1716 茨城県 行方市 北高岡
311-1721 茨城県 行方市 両宿
311-1722 茨城県 行方市 次木
311-1723 茨城県 行方市 行戸
311-1724 茨城県 行方市 小貫
311-1792 茨城県 行方市 山田
311-2101 茨城県 鉾田市 青山
311-2102 茨城県 鉾田市 台濁沢
311-2103 茨城県 鉾田市 汲上
311-2104 茨城県 鉾田市 梶山
311-2105 茨城県 鉾田市 二重作
311-2111 茨城県 鉾田市 上沢
311-2112 茨城県 鉾田市 飯島
311-2113 茨城県 鉾田市 上幡木
311-2114 茨城県 鉾田市 江川
311-2115 茨城県 鉾田市 中居
311-2116 茨城県 鉾田市 札
311-2117 茨城県 鉾田市 大蔵
311-2118 茨城県 鉾田市 阿玉
311-2201 茨城県 鹿嶋市 大小志崎
311-2202 茨城県 鹿嶋市 武井釜
311-2203 茨城県 鹿嶋市 浜津賀
311-2204 茨城県 鹿嶋市 荒井
311-2205 茨城県 鹿嶋市 津賀
311-2206 茨城県 鹿嶋市 武井
311-2207 茨城県 鹿嶋市 志崎
311-2211 茨城県 鹿嶋市 青塚
311-2212 茨城県 鹿嶋市 角折
311-2213 茨城県 鹿嶋市 中
311-2214 茨城県 鹿嶋市 棚木
311-2215 茨城県 鹿嶋市 和
311-2221 茨城県 鹿嶋市 荒野
311-2222 茨城県 鹿嶋市 小山
311-2223 茨城県 鹿嶋市 林
311-2224 茨城県 鹿嶋市 奈良毛
311-2400 茨城県 潮来市 
311-2401 茨城県 潮来市 大賀
311-2402 茨城県 潮来市 大生
311-2403 茨城県 潮来市 釜谷
311-2404 茨城県 潮来市 水原
311-2405 茨城県 潮来市 築地
311-2406 茨城県 潮来市 新宮
311-2407 茨城県 潮来市 下田
311-2408 茨城県 潮来市 洲崎
311-2409 茨城県 潮来市 延方東
311-2410 茨城県 潮来市 延方西
311-2412 茨城県 潮来市 宮前
311-2415 茨城県 潮来市 延方
311-2416 茨城県 潮来市 前川
311-2417 茨城県 潮来市 米島
311-2418 茨城県 潮来市 徳島
311-2419 茨城県 潮来市 福島
311-2421 茨城県 潮来市 辻
311-2422 茨城県 潮来市 大洲
311-2423 茨城県 潮来市 日の出
311-2424 茨城県 潮来市 潮来
311-2425 茨城県 潮来市 あやめ
311-2426 茨城県 潮来市 大塚野
311-2431 茨城県 潮来市 清水
311-2432 茨城県 潮来市 茂木
311-2433 茨城県 潮来市 堀之内
311-2434 茨城県 潮来市 島須
311-2435 茨城県 潮来市 上戸
311-2436 茨城県 潮来市 牛堀
311-2437 茨城県 潮来市 永山
311-2440 茨城県 潮来市 川尾
311-2441 茨城県 潮来市 大山
311-2442 茨城県 潮来市 小泉
311-2443 茨城県 潮来市 新宮南
311-2444 茨城県 潮来市 小泉南
311-2445 茨城県 潮来市 曲松南
311-2446 茨城県 潮来市 須賀南
311-2447 茨城県 潮来市 曲松
311-2448 茨城県 潮来市 須賀
311-2449 茨城県 潮来市 古高
311-2492 茨城県 潮来市 小泉南
311-2493 茨城県 潮来市 辻
311-2495 茨城県 潮来市 牛堀
311-3100 茨城県 東茨城郡茨城町 
311-3101 茨城県 東茨城郡茨城町 南川又
311-3102 茨城県 東茨城郡茨城町 南栗崎
311-3103 茨城県 東茨城郡茨城町 野曽
311-3104 茨城県 東茨城郡茨城町 駒渡
311-3105 茨城県 東茨城郡茨城町 蕎麦原
311-3106 茨城県 東茨城郡茨城町 越安
311-3107 茨城県 東茨城郡茨城町 小鶴
311-3108 茨城県 東茨城郡茨城町 中央工業団地
311-3111 茨城県 東茨城郡茨城町 馬渡
311-3112 茨城県 東茨城郡茨城町 常井
311-3113 茨城県 東茨城郡茨城町 近藤
311-3114 茨城県 東茨城郡茨城町 大戸
311-3115 茨城県 東茨城郡茨城町 前田
311-3116 茨城県 東茨城郡茨城町 長岡
311-3117 茨城県 東茨城郡茨城町 桜の郷
311-3121 茨城県 東茨城郡茨城町 谷田部
311-3122 茨城県 東茨城郡茨城町 上石崎
311-3123 茨城県 東茨城郡茨城町 若宮
311-3124 茨城県 東茨城郡茨城町 中石崎
311-3125 茨城県 東茨城郡茨城町 下石崎
311-3131 茨城県 東茨城郡茨城町 小堤
311-3132 茨城県 東茨城郡茨城町 駒場
311-3133 茨城県 東茨城郡茨城町 南島田
311-3134 茨城県 東茨城郡茨城町 神宿
311-3135 茨城県 東茨城郡茨城町 海老沢
311-3136 茨城県 東茨城郡茨城町 宮ケ崎
311-3137 茨城県 東茨城郡茨城町 網掛
311-3138 茨城県 東茨城郡茨城町 城之内
311-3141 茨城県 東茨城郡茨城町 神谷
311-3142 茨城県 東茨城郡茨城町 鳥羽田
311-3143 茨城県 東茨城郡茨城町 生井沢
311-3144 茨城県 東茨城郡茨城町 下雨ケ谷
311-3145 茨城県 東茨城郡茨城町 上雨ケ谷
311-3146 茨城県 東茨城郡茨城町 下座
311-3147 茨城県 東茨城郡茨城町 秋葉
311-3151 茨城県 東茨城郡茨城町 木部
311-3152 茨城県 東茨城郡茨城町 飯沼
311-3153 茨城県 東茨城郡茨城町 上飯沼
311-3154 茨城県 東茨城郡茨城町 下飯沼
311-3155 茨城県 東茨城郡茨城町 下土師
311-3156 茨城県 東茨城郡茨城町 奥谷
311-3157 茨城県 東茨城郡茨城町 小幡
311-3192 茨城県 東茨城郡茨城町 小堤
311-3193 茨城県 東茨城郡茨城町 桜の郷
311-3194 茨城県 東茨城郡茨城町 長岡
311-3195 茨城県 東茨城郡茨城町 長岡
311-3197 茨城県 東茨城郡茨城町 長岡
311-3401 茨城県 小美玉市 世楽
311-3402 茨城県 小美玉市 佐才
311-3403 茨城県 小美玉市 上吉影
311-3404 茨城県 小美玉市 飯前
311-3405 茨城県 小美玉市 上合
311-3406 茨城県 小美玉市 下吉影
311-3411 茨城県 小美玉市 野田
311-3412 茨城県 小美玉市 川戸
311-3413 茨城県 小美玉市 山野
311-3414 茨城県 小美玉市 外之内
311-3415 茨城県 小美玉市 百里
311-3416 茨城県 小美玉市 与沢
311-3417 茨城県 小美玉市 倉数
311-3421 茨城県 小美玉市 宮田
311-3422 茨城県 小美玉市 中延
311-3423 茨城県 小美玉市 小川
311-3424 茨城県 小美玉市 幡谷
311-3425 茨城県 小美玉市 小塙
311-3426 茨城県 小美玉市 下馬場
311-3431 茨城県 小美玉市 川中子
311-3432 茨城県 小美玉市 下玉里
311-3433 茨城県 小美玉市 高崎
311-3434 茨城県 小美玉市 栗又四ケ
311-3435 茨城県 小美玉市 田木谷
311-3436 茨城県 小美玉市 上玉里
311-3437 茨城県 小美玉市 東田中
311-3492 茨城県 小美玉市 小川
311-3493 茨城県 小美玉市 上玉里
311-3494 茨城県 小美玉市 百里
311-3497 茨城県 小美玉市 上玉里
311-3498 茨城県 小美玉市 上玉里
311-3501 茨城県 行方市 芹沢
311-3502 茨城県 行方市 若海
311-3503 茨城県 行方市 捻木
311-3504 茨城県 行方市 谷島
311-3505 茨城県 行方市 浜
311-3506 茨城県 行方市 八木蒔
311-3507 茨城県 行方市 羽生
311-3508 茨城県 行方市 沖洲
311-3511 茨城県 行方市 玉造乙
311-3512 茨城県 行方市 玉造甲
311-3513 茨城県 行方市 手賀
311-3514 茨城県 行方市 西蓮寺
311-3515 茨城県 行方市 井上
311-3516 茨城県 行方市 井上藤井
311-3517 茨城県 行方市 藤井
311-3518 茨城県 行方市 荒宿
311-3800 茨城県 行方市 
311-3801 茨城県 行方市 行方
311-3802 茨城県 行方市 於下
311-3803 茨城県 行方市 井貝
311-3804 茨城県 行方市 小高
311-3805 茨城県 行方市 橋門
311-3806 茨城県 行方市 船子
311-3807 茨城県 行方市 五町田
311-3811 茨城県 行方市 四鹿
311-3812 茨城県 行方市 杉平
311-3813 茨城県 行方市 籠田
311-3814 茨城県 行方市 天掛
311-3815 茨城県 行方市 新宮
311-3816 茨城県 行方市 小牧
311-3817 茨城県 行方市 板峰
311-3821 茨城県 行方市 蔵川
311-3822 茨城県 行方市 岡
311-3823 茨城県 行方市 白浜
311-3824 茨城県 行方市 宇崎
311-3825 茨城県 行方市 根小屋
311-3826 茨城県 行方市 矢幡
311-3827 茨城県 行方市 石神
311-3831 茨城県 行方市 青沼
311-3832 茨城県 行方市 麻生
311-3833 茨城県 行方市 富田
311-3834 茨城県 行方市 粗毛
311-3835 茨城県 行方市 島並
311-3836 茨城県 行方市 南
311-3892 茨城県 行方市 麻生
311-3893 茨城県 行方市 麻生
311-3894 茨城県 行方市 板峰
311-4141 茨城県 水戸市 赤塚
311-4142 茨城県 水戸市 東赤塚
311-4143 茨城県 水戸市 大塚町
311-4144 茨城県 水戸市 開江町
311-4145 茨城県 水戸市 双葉台
311-4146 茨城県 水戸市 中丸町
311-4151 茨城県 水戸市 姫子
311-4152 茨城県 水戸市 河和田
311-4153 茨城県 水戸市 河和田町
311-4154 茨城県 水戸市 萱場町
311-4155 茨城県 水戸市 飯島町
311-4161 茨城県 水戸市 全隈町
311-4162 茨城県 水戸市 金谷町
311-4163 茨城県 水戸市 加倉井町
311-4164 茨城県 水戸市 谷津町
311-4165 茨城県 水戸市 木葉下町
311-4193 茨城県 水戸市 赤塚
311-4194 茨城県 水戸市 木葉下町
311-4195 茨城県 水戸市 木葉下町
311-4196 茨城県 水戸市 谷津町
311-4198 茨城県 水戸市 双葉台
311-4201 茨城県 水戸市 藤井町
311-4202 茨城県 水戸市 岩根町
311-4203 茨城県 水戸市 上国井町
311-4204 茨城県 水戸市 田谷町
311-4205 茨城県 水戸市 下国井町
311-4206 茨城県 水戸市 飯富町
311-4207 茨城県 水戸市 成沢町
311-4208 茨城県 水戸市 藤が原
311-4300 茨城県 東茨城郡城里町 
311-4301 茨城県 東茨城郡城里町 上泉
311-4302 茨城県 東茨城郡城里町 那珂西
311-4303 茨城県 東茨城郡城里町 石塚
311-4304 茨城県 東茨城郡城里町 下青山
311-4305 茨城県 東茨城郡城里町 上青山
311-4306 茨城県 東茨城郡城里町 春園
311-4311 茨城県 東茨城郡城里町 増井
311-4312 茨城県 東茨城郡城里町 磯野
311-4313 茨城県 東茨城郡城里町 上入野
311-4314 茨城県 東茨城郡城里町 下古内
311-4315 茨城県 東茨城郡城里町 上古内
311-4316 茨城県 東茨城郡城里町 小坂
311-4317 茨城県 東茨城郡城里町 勝見沢
311-4321 茨城県 東茨城郡城里町 粟
311-4322 茨城県 東茨城郡城里町 下圷
311-4323 茨城県 東茨城郡城里町 上圷
311-4324 茨城県 東茨城郡城里町 高久
311-4325 茨城県 東茨城郡城里町 北方
311-4331 茨城県 東茨城郡城里町 岩船
311-4332 茨城県 東茨城郡城里町 高根台
311-4333 茨城県 東茨城郡城里町 高根
311-4334 茨城県 東茨城郡城里町 孫根
311-4335 茨城県 東茨城郡城里町 錫高野
311-4341 茨城県 東茨城郡城里町 御前山
311-4342 茨城県 東茨城郡城里町 上阿野沢
311-4343 茨城県 東茨城郡城里町 下阿野沢
311-4344 茨城県 東茨城郡城里町 阿波山
311-4391 茨城県 東茨城郡城里町 石塚
311-4392 茨城県 東茨城郡城里町 春園
311-4393 茨城県 東茨城郡城里町 那珂西
311-4401 茨城県 東茨城郡城里町 塩子
311-4402 茨城県 東茨城郡城里町 小勝
311-4403 茨城県 東茨城郡城里町 大網
311-4404 茨城県 東茨城郡城里町 真端
311-4405 茨城県 東茨城郡城里町 上赤沢
311-4406 茨城県 東茨城郡城里町 下赤沢
311-4407 茨城県 東茨城郡城里町 徳蔵
311-4411 栃木県 芳賀郡茂木町 桧山
311-4501 茨城県 常陸大宮市 門井
311-4502 茨城県 常陸大宮市 野口平
311-4503 茨城県 常陸大宮市 野口
311-4592 茨城県 常陸大宮市 野口
311-4595 茨城県 東茨城郡城里町 阿波山
311-4611 茨城県 常陸大宮市 秋田
311-4612 茨城県 常陸大宮市 中居
311-4613 茨城県 常陸大宮市 長倉
311-4614 茨城県 常陸大宮市 金井
311-4615 茨城県 常陸大宮市 下伊勢畑
311-4616 茨城県 常陸大宮市 桧山
311-4617 茨城県 常陸大宮市 上伊勢畑
311-4618 茨城県 常陸大宮市 野田
312-0000 茨城県 ひたちなか市 
312-0001 茨城県 ひたちなか市 佐和
312-0002 茨城県 ひたちなか市 高野
312-0003 茨城県 ひたちなか市 足崎
312-0004 茨城県 ひたちなか市 長砂
312-0005 茨城県 ひたちなか市 新光町
312-0006 茨城県 ひたちなか市 前浜
312-0007 茨城県 ひたちなか市 小貫山
312-0011 茨城県 ひたちなか市 中根
312-0012 茨城県 ひたちなか市 馬渡
312-0013 茨城県 ひたちなか市 上野
312-0014 茨城県 ひたちなか市 後野
312-0015 茨城県 ひたちなか市 小砂町
312-0016 茨城県 ひたちなか市 松戸町
312-0017 茨城県 ひたちなか市 長堀町
312-0018 茨城県 ひたちなか市 笹野町
312-0021 茨城県 ひたちなか市 三反田
312-0022 茨城県 ひたちなか市 金上
312-0023 茨城県 ひたちなか市 大平
312-0024 茨城県 ひたちなか市 勝倉
312-0025 茨城県 ひたちなか市 武田
312-0026 茨城県 ひたちなか市 勝田本町
312-0027 茨城県 ひたちなか市 勝田中原町
312-0031 茨城県 ひたちなか市 後台
312-0032 茨城県 ひたちなか市 津田
312-0033 茨城県 ひたちなか市 市毛
312-0034 茨城県 ひたちなか市 堀口
312-0035 茨城県 ひたちなか市 枝川
312-0036 茨城県 ひたちなか市 津田東
312-0041 茨城県 ひたちなか市 西大島
312-0042 茨城県 ひたちなか市 東大島
312-0043 茨城県 ひたちなか市 共栄町
312-0044 茨城県 ひたちなか市 元町
312-0045 茨城県 ひたちなか市 勝田中央
312-0046 茨城県 ひたちなか市 勝田泉町
312-0047 茨城県 ひたちなか市 表町
312-0048 茨城県 ひたちなか市 春日町
312-0051 茨城県 ひたちなか市 堂端
312-0052 茨城県 ひたちなか市 東石川
312-0053 茨城県 ひたちなか市 外野
312-0054 茨城県 ひたちなか市 はしかべ
312-0055 茨城県 ひたちなか市 大成町
312-0056 茨城県 ひたちなか市 青葉町
312-0057 茨城県 ひたちなか市 石川町
312-0061 茨城県 ひたちなか市 稲田
312-0062 茨城県 ひたちなか市 高場
312-0063 茨城県 ひたちなか市 田彦
312-8501 茨城県 ひたちなか市 東石川
312-8502 茨城県 ひたちなか市 武田
312-8503 茨城県 ひたちなか市 高場
312-8504 茨城県 ひたちなか市 市毛
