120-0000 東京都 足立区 
123-0852 東京都 足立区 関原
123-0853 東京都 足立区 本木
123-0854 東京都 足立区 本木東町
123-0855 東京都 足立区 本木南町
123-0856 東京都 足立区 本木西町
123-0857 東京都 足立区 本木北町
123-0861 東京都 足立区 加賀
123-0862 東京都 足立区 皿沼
123-0863 東京都 足立区 谷在家
123-0864 東京都 足立区 鹿浜
123-0865 東京都 足立区 新田
123-0871 東京都 足立区 椿
123-0872 東京都 足立区 江北
123-0873 東京都 足立区 扇
123-0874 東京都 足立区 堀之内
123-8501 東京都 足立区 栗原
123-8503 東京都 足立区 西新井本町
123-8505 東京都 足立区 堀之内
123-8506 東京都 足立区 堀之内
123-8508 東京都 足立区 谷在家
123-8509 東京都 足立区 鹿浜
123-8511 東京都 足立区 新田
123-8514 東京都 足立区 江北
123-8517 東京都 足立区 江北
123-8540 東京都 足立区 西新井栄町
123-8585 東京都 足立区 西新井栄町
123-8588 東京都 足立区 堀之内
124-0000 東京都 葛飾区 
124-0001 東京都 葛飾区 小菅
124-0002 東京都 葛飾区 西亀有
124-0002 東京都 葛飾区 西亀有
124-0003 東京都 葛飾区 お花茶屋
124-0004 東京都 葛飾区 東堀切
124-0005 東京都 葛飾区 宝町
124-0006 東京都 葛飾区 堀切
124-0011 東京都 葛飾区 四つ木
124-0012 東京都 葛飾区 立石
124-0013 東京都 葛飾区 東立石
124-0014 東京都 葛飾区 東四つ木
124-0021 東京都 葛飾区 細田
124-0022 東京都 葛飾区 奥戸
124-0023 東京都 葛飾区 東新小岩
124-0024 東京都 葛飾区 新小岩
124-0025 東京都 葛飾区 西新小岩
124-8070 東京都 葛飾区 新小岩
124-8501 東京都 葛飾区 新小岩
124-8502 東京都 葛飾区 小菅
124-8503 東京都 葛飾区 四つ木
124-8509 東京都 葛飾区 西新小岩
124-8510 東京都 葛飾区 堀切
124-8511 東京都 葛飾区 立石
124-8518 東京都 葛飾区 新小岩
124-8520 東京都 葛飾区 立石
124-8522 東京都 葛飾区 お花茶屋
124-8524 東京都 葛飾区 立石
124-8533 東京都 葛飾区 立石
124-8535 東京都 葛飾区 西新小岩
124-8538 東京都 葛飾区 西新小岩
124-8539 東京都 葛飾区 立石
124-8550 東京都 葛飾区 四つ木
124-8555 東京都 葛飾区 立石
124-8560 東京都 葛飾区 立石
124-8566 東京都 葛飾区 堀切
124-8577 東京都 葛飾区 奥戸
124-8585 東京都 葛飾区 東四つ木
124-8588 東京都 葛飾区 立石
125-0002 東京都 葛飾区 西亀有
125-0002 東京都 葛飾区 西亀有
125-0031 東京都 葛飾区 西水元
125-0032 東京都 葛飾区 水元
125-0033 東京都 葛飾区 東水元
125-0034 東京都 葛飾区 水元公園
125-0035 東京都 葛飾区 南水元
125-0041 東京都 葛飾区 東金町
125-0042 東京都 葛飾区 金町
125-0043 東京都 葛飾区 金町浄水場
125-0051 東京都 葛飾区 新宿
125-0052 東京都 葛飾区 柴又
125-0053 東京都 葛飾区 鎌倉
125-0054 東京都 葛飾区 高砂
125-0061 東京都 葛飾区 亀有
125-0062 東京都 葛飾区 青戸
125-0063 東京都 葛飾区 白鳥
125-8503 東京都 葛飾区 青戸
125-8504 東京都 葛飾区 青戸
125-8505 東京都 葛飾区 青戸
125-8506 東京都 葛飾区 青戸
125-8507 東京都 葛飾区 青戸
125-8508 東京都 葛飾区 亀有
125-8511 東京都 葛飾区 亀有
125-8512 東京都 葛飾区 亀有
125-8513 東京都 葛飾区 高砂
125-8514 東京都 葛飾区 高砂
125-8515 東京都 葛飾区 白鳥
125-8517 東京都 葛飾区 青戸
125-8520 東京都 葛飾区 亀有
125-8522 東京都 葛飾区 金町
125-8526 東京都 葛飾区 南水元
125-8555 東京都 葛飾区 青戸
125-8588 東京都 葛飾区 金町
125-8601 東京都 葛飾区 新宿
