290-0000 千葉県 市原市 
290-0212 千葉県 市原市 新巻
290-0213 千葉県 市原市 川在
290-0214 千葉県 市原市 櫃挾
290-0215 千葉県 市原市 土宇
290-0216 千葉県 市原市 二日市場
290-0217 千葉県 市原市 松崎
290-0221 千葉県 市原市 馬立
290-0222 千葉県 市原市 上原
290-0223 千葉県 市原市 妙香
290-0224 千葉県 市原市 奉免
290-0225 千葉県 市原市 牛久
290-0226 千葉県 市原市 中
290-0227 千葉県 市原市 藪
290-0228 千葉県 市原市 岩
290-0229 千葉県 市原市 佐是
290-0231 千葉県 市原市 西国吉
290-0232 千葉県 市原市 皆吉
290-0233 千葉県 市原市 金沢
290-0234 千葉県 市原市 大蔵
290-0235 千葉県 市原市 栢橋
290-0236 千葉県 市原市 寺谷
290-0241 千葉県 市原市 風戸
290-0242 千葉県 市原市 中高根
290-0243 千葉県 市原市 上高根
290-0244 千葉県 市原市 南岩崎
290-0251 千葉県 市原市 浅井小向
290-0252 千葉県 市原市 相川
290-0253 千葉県 市原市 安須
290-0254 千葉県 市原市 高坂
290-0255 千葉県 市原市 光風台
290-0256 千葉県 市原市 引田
290-0257 千葉県 市原市 新生
290-0258 千葉県 市原市 神代
290-0259 千葉県 市原市 分目
290-0261 千葉県 市原市 西野
290-0262 千葉県 市原市 糸久
290-0263 千葉県 市原市 十五沢
290-0264 千葉県 市原市 宮原
290-0265 千葉県 市原市 今富
290-0266 千葉県 市原市 海保
290-0267 千葉県 市原市 町田
290-0268 千葉県 市原市 柳原
290-0269 千葉県 市原市 小折
290-0501 千葉県 市原市 米沢
290-0502 千葉県 市原市 真ケ谷
290-0503 千葉県 市原市 宿
290-0504 千葉県 市原市 堀越
290-0505 千葉県 市原市 市場
290-0506 千葉県 市原市 島田
290-0507 千葉県 市原市 原田
290-0508 千葉県 市原市 江子田
290-0509 千葉県 市原市 安久谷
290-0511 千葉県 市原市 石川
290-0512 千葉県 市原市 鶴舞
290-0513 千葉県 市原市 奥野
290-0514 千葉県 市原市 水沢
290-0515 千葉県 市原市 田尾
290-0516 千葉県 市原市 池和田
290-0517 千葉県 市原市 矢田
290-0518 千葉県 市原市 下矢田
290-0521 千葉県 市原市 山小川
290-0522 千葉県 市原市 新井
290-0523 千葉県 市原市 吉沢
290-0524 千葉県 市原市 平蔵
290-0525 千葉県 市原市 米原
290-0526 千葉県 市原市 小草畑
290-0527 千葉県 市原市 月出
290-0528 千葉県 市原市 古敷谷
290-0529 千葉県 市原市 小谷田
290-0531 千葉県 市原市 国本
290-0532 千葉県 市原市 大久保
290-0533 千葉県 市原市 折津
290-0534 千葉県 市原市 石神
290-0535 千葉県 市原市 朝生原
290-0536 千葉県 市原市 戸面
290-0537 千葉県 市原市 石塚
290-0538 千葉県 市原市 柳川
290-0539 千葉県 市原市 菅野
290-0541 千葉県 市原市 平野
290-0542 千葉県 市原市 大戸
290-0543 千葉県 市原市 飯給
290-0544 千葉県 市原市 徳氏
290-0545 千葉県 市原市 田淵旧日竹
290-0546 千葉県 市原市 田淵
290-0547 千葉県 市原市 月崎
290-0548 千葉県 市原市 柿木台
290-0549 千葉県 市原市 万田野
290-0551 千葉県 市原市 外部田
290-0552 千葉県 市原市 久保
290-0553 千葉県 市原市 大和田
290-0554 千葉県 市原市 不入
290-0555 千葉県 市原市 高滝
290-0556 千葉県 市原市 本郷
290-0557 千葉県 市原市 養老
290-0558 千葉県 市原市 山口
290-0559 千葉県 市原市 駒込
290-8501 千葉県 市原市 国分寺台中央
290-8503 千葉県 市原市 五井南海岸
290-8510 千葉県 市原市 八幡海岸通
290-8511 千葉県 市原市 八幡海岸通
290-8530 千葉県 市原市 五井南海岸
290-8531 千葉県 市原市 八幡海岸通
290-8550 千葉県 市原市 五井南海岸
290-8551 千葉県 市原市 五井海岸
290-8555 千葉県 市原市 八幡海岸通
290-8558 千葉県 市原市 五井海岸
290-8560 千葉県 市原市 五井南海岸
290-8566 千葉県 市原市 五井海岸
290-8577 千葉県 市原市 五井中央西
290-8585 千葉県 市原市 八幡海岸通
290-8588 千葉県 市原市 五井南海岸
290-8610 千葉県 市原市 八幡海岸通
292-0000 千葉県 木更津市 
292-0001 千葉県 木更津市 牛込
292-0002 千葉県 木更津市 中野
292-0003 千葉県 木更津市 万石
292-0004 千葉県 木更津市 久津間
292-0005 千葉県 木更津市 畔戸
292-0006 千葉県 木更津市 北浜町
292-0007 千葉県 木更津市 瓜倉
292-0008 千葉県 木更津市 中島
292-0011 千葉県 木更津市 牛袋野
292-0012 千葉県 木更津市 牛袋
292-0013 千葉県 木更津市 若葉町
292-0014 千葉県 木更津市 高柳
292-0015 千葉県 木更津市 本郷
292-0016 千葉県 木更津市 高砂
292-0021 千葉県 木更津市 有吉
292-0022 千葉県 木更津市 上望陀
292-0023 千葉県 木更津市 下望陀
292-0024 千葉県 木更津市 大寺
292-0025 千葉県 木更津市 十日市場
292-0026 千葉県 木更津市 井尻
292-0027 千葉県 木更津市 曽根
292-0031 千葉県 木更津市 椿
292-0032 千葉県 木更津市 笹子
292-0033 千葉県 木更津市 犬成
292-0034 千葉県 木更津市 伊豆島
292-0035 千葉県 木更津市 中尾
292-0036 千葉県 木更津市 菅生
292-0037 千葉県 木更津市 日の出町
292-0038 千葉県 木更津市 ほたる野
292-0041 千葉県 木更津市 清見台東
292-0042 千葉県 木更津市 清見台南
292-0043 千葉県 木更津市 東太田
292-0044 千葉県 木更津市 太田
292-0045 千葉県 木更津市 清見台
292-0051 千葉県 木更津市 清川
292-0052 千葉県 木更津市 祇園
292-0053 千葉県 木更津市 永井作
292-0054 千葉県 木更津市 長須賀
292-0055 千葉県 木更津市 朝日
292-0056 千葉県 木更津市 木更津
292-0057 千葉県 木更津市 東中央
292-0061 千葉県 木更津市 岩根
292-0062 千葉県 木更津市 西岩根
292-0063 千葉県 木更津市 江川
292-0064 千葉県 木更津市 中里
292-0065 千葉県 木更津市 吾妻
292-0066 千葉県 木更津市 新宿
292-0067 千葉県 木更津市 中央
292-0071 千葉県 木更津市 中島地先海ほたる
292-0201 千葉県 木更津市 真里谷
292-0202 千葉県 木更津市 茅野七曲
292-0203 千葉県 木更津市 山本七曲
292-0204 千葉県 木更津市 茅野
292-0205 千葉県 木更津市 下郡
292-0206 千葉県 木更津市 佐野
292-0207 千葉県 木更津市 田川
292-0211 千葉県 木更津市 大稲
292-0212 千葉県 木更津市 真里
292-0213 千葉県 木更津市 下内橋
292-0214 千葉県 木更津市 戸国
292-0215 千葉県 木更津市 上根岸
292-0216 千葉県 木更津市 根岸
292-0217 千葉県 木更津市 下宮田
292-0401 千葉県 君津市 山本
292-0402 千葉県 君津市 西原
292-0403 千葉県 君津市 三田
292-0404 千葉県 君津市 賀恵渕
292-0411 千葉県 君津市 長谷川
292-0412 千葉県 君津市 小櫃台
292-0413 千葉県 君津市 吉野
292-0414 千葉県 君津市 久留里大谷
292-0415 千葉県 君津市 川谷
292-0416 千葉県 君津市 小市部
292-0421 千葉県 君津市 久留里市場
292-0422 千葉県 君津市 久留里
292-0423 千葉県 君津市 久留里大和田
292-0431 千葉県 君津市 怒田
292-0432 千葉県 君津市 浦田
292-0433 千葉県 君津市 芋窪
292-0434 千葉県 君津市 向郷
292-0435 千葉県 君津市 栗坪
292-0441 千葉県 君津市 戸崎
292-0442 千葉県 君津市 岩出
292-0443 千葉県 君津市 寺沢
292-0444 千葉県 君津市 富田
292-0445 千葉県 君津市 愛宕
292-0451 千葉県 君津市 末吉
292-0452 千葉県 君津市 上新田
292-0453 千葉県 君津市 箕輪
292-0454 千葉県 君津市 青柳
292-0455 千葉県 君津市 俵田
292-0501 千葉県 君津市 山滝野
292-0502 千葉県 君津市 平山
292-0503 千葉県 君津市 広岡
292-0511 千葉県 君津市 大坂
292-0512 千葉県 君津市 大戸見
292-0513 千葉県 君津市 加名盛
292-0514 千葉県 君津市 大戸見旧名殿
292-0515 千葉県 君津市 柳城
292-0516 千葉県 君津市 高水
292-0521 千葉県 君津市 利根
292-0522 千葉県 君津市 大中
292-0523 千葉県 君津市 豊田
292-0524 千葉県 君津市 川俣
292-0525 千葉県 君津市 草川原
292-0526 千葉県 君津市 笹
292-0527 千葉県 君津市 香木原
292-0531 千葉県 君津市 藤林
292-0532 千葉県 君津市 坂畑
292-0533 千葉県 君津市 折木沢
292-0534 千葉県 君津市 滝原
292-0535 千葉県 君津市 釜生
292-0536 千葉県 君津市 蔵玉
292-0537 千葉県 君津市 黄和田畑
292-0801 千葉県 木更津市 請西
292-0802 千葉県 木更津市 真舟
292-0803 千葉県 木更津市 幸町
292-0804 千葉県 木更津市 文京
292-0805 千葉県 木更津市 大和
292-0806 千葉県 木更津市 請西東
292-0807 千葉県 木更津市 請西南
292-0811 千葉県 木更津市 草敷
292-0812 千葉県 木更津市 矢那
292-0813 千葉県 木更津市 上烏田
292-0814 千葉県 木更津市 八幡台
292-0815 千葉県 木更津市 大久保
292-0816 千葉県 木更津市 下烏田
292-0817 千葉県 木更津市 中烏田
292-0818 千葉県 木更津市 かずさ鎌足
292-0819 千葉県 木更津市 羽鳥野
292-0821 千葉県 木更津市 桜町
292-0822 千葉県 木更津市 桜井
292-0823 千葉県 木更津市 桜井新町
292-0824 千葉県 木更津市 小浜
292-0825 千葉県 木更津市 畑沢
292-0826 千葉県 木更津市 畑沢南
292-0827 千葉県 木更津市 港南台
292-0831 千葉県 木更津市 富士見
292-0832 千葉県 木更津市 新田
292-0833 千葉県 木更津市 貝渕
292-0834 千葉県 木更津市 潮見
292-0835 千葉県 木更津市 築地
292-0836 千葉県 木更津市 新港
292-0837 千葉県 木更津市 木材港
292-0838 千葉県 木更津市 潮浜
292-0839 千葉県 木更津市 中の島
292-1140 千葉県 君津市 糠田飛地
292-1141 千葉県 君津市 根本
292-1142 千葉県 君津市 小糸大谷
292-1143 千葉県 君津市 長石
292-1144 千葉県 君津市 法木
292-1145 千葉県 君津市 糸川
292-1146 千葉県 君津市 大井戸
292-1147 千葉県 君津市 塚原
292-1148 千葉県 君津市 行馬
292-1149 千葉県 君津市 かずさ小糸
292-1151 千葉県 君津市 大野台
292-1152 千葉県 君津市 日渡根
292-1153 千葉県 君津市 市宿
292-1154 千葉県 君津市 清和市場
292-1155 千葉県 君津市 鹿野山
292-1156 千葉県 君津市 荻作
292-1157 千葉県 君津市 福岡
292-1158 千葉県 君津市 鎌滝
292-1161 千葉県 君津市 東猪原
292-1162 千葉県 君津市 西猪原
292-1163 千葉県 君津市 東粟倉
292-1164 千葉県 君津市 東日笠
292-1165 千葉県 君津市 西日笠
292-1166 千葉県 君津市 植畑
292-1167 千葉県 君津市 平田
292-1168 千葉県 君津市 西粟倉
292-1171 千葉県 君津市 二入
292-1172 千葉県 君津市 辻森
292-1173 千葉県 君津市 大岩
292-1174 千葉県 君津市 正木
292-1175 千葉県 君津市 奥米
292-1176 千葉県 君津市 宿原
292-1177 千葉県 君津市 怒田沢
292-1178 千葉県 君津市 旅名
292-1179 千葉県 君津市 豊英
292-8501 千葉県 木更津市 潮見
292-8510 千葉県 木更津市 吾妻
292-8511 千葉県 木更津市 東太田
292-8520 千葉県 木更津市 貝渕
292-8522 千葉県 木更津市 貝渕
292-8525 千葉県 木更津市 貝渕
292-8530 千葉県 木更津市 新田
292-8533 千葉県 木更津市 潮見
292-8535 千葉県 木更津市 桜井
292-8539 千葉県 木更津市 畑沢
292-8550 千葉県 木更津市 富士見
292-8555 千葉県 木更津市 東太田
292-8565 千葉県 木更津市 矢那
292-8568 千葉県 木更津市 真舟
292-8611 千葉県 木更津市 大和
292-8686 千葉県 木更津市 江川
293-0000 千葉県 富津市 
293-0001 千葉県 富津市 大堀
293-0002 千葉県 富津市 二間塚
293-0003 千葉県 富津市 本郷
293-0004 千葉県 富津市 前久保
293-0005 千葉県 富津市 上飯野
293-0006 千葉県 富津市 下飯野
293-0011 千葉県 富津市 新富
293-0012 千葉県 富津市 青木
293-0013 千葉県 富津市 西川
293-0021 千葉県 富津市 富津
293-0022 千葉県 富津市 新井
293-0023 千葉県 富津市 川名
293-0024 千葉県 富津市 篠部
293-0031 千葉県 富津市 相野谷
293-0032 千葉県 富津市 障子谷
293-0033 千葉県 富津市 一色
293-0034 千葉県 富津市 絹
293-0035 千葉県 富津市 西大和田
293-0036 千葉県 富津市 千種新田
293-0041 千葉県 富津市 上
293-0042 千葉県 富津市 小久保
293-0043 千葉県 富津市 岩瀬
293-0044 千葉県 富津市 中
293-0045 千葉県 富津市 八田沼
293-0046 千葉県 富津市 近藤
293-0051 千葉県 富津市 亀沢
293-0052 千葉県 富津市 宝竜寺
293-0053 千葉県 富津市 花香谷
293-0054 千葉県 富津市 鶴岡
293-0055 千葉県 富津市 笹毛
293-0056 千葉県 富津市 八幡
293-0057 千葉県 富津市 亀田
293-0058 千葉県 富津市 佐貫
293-8506 千葉県 富津市 下飯野
293-8511 千葉県 富津市 新富
294-0000 千葉県 館山市 
294-0001 千葉県 館山市 竹原
294-0002 千葉県 館山市 大井
294-0003 千葉県 館山市 水玉
294-0004 千葉県 館山市 水岡
294-0005 千葉県 館山市 安東
294-0006 千葉県 館山市 薗
294-0007 千葉県 館山市 腰越
294-0008 千葉県 館山市 広瀬
294-0009 千葉県 館山市 江田
294-0011 千葉県 館山市 二子
294-0012 千葉県 館山市 稲
294-0013 千葉県 館山市 宝貝
294-0014 千葉県 館山市 山本
294-0015 千葉県 館山市 古茂口
294-0016 千葉県 館山市 飯沼
294-0017 千葉県 館山市 南条
294-0018 千葉県 館山市 国分
294-0021 千葉県 館山市 山荻
294-0022 千葉県 館山市 畑
294-0023 千葉県 館山市 神余
294-0024 千葉県 館山市 岡田
294-0025 千葉県 館山市 大戸
294-0026 千葉県 館山市 出野尾
294-0027 千葉県 館山市 西長田
294-0028 千葉県 館山市 東長田
294-0029 千葉県 館山市 作名
294-0031 千葉県 館山市 大賀
294-0032 千葉県 館山市 笠名
294-0033 千葉県 館山市 宮城
294-0034 千葉県 館山市 沼
294-0035 千葉県 館山市 富士見
294-0036 千葉県 館山市 館山
294-0037 千葉県 館山市 長須賀
294-0038 千葉県 館山市 上真倉
294-0041 千葉県 館山市 高井
294-0042 千葉県 館山市 上野原
294-0043 千葉県 館山市 安布里
294-0044 千葉県 館山市 大網
294-0045 千葉県 館山市 北条
294-0046 千葉県 館山市 新宿
294-0047 千葉県 館山市 八幡
294-0048 千葉県 館山市 下真倉
294-0051 千葉県 館山市 正木
294-0052 千葉県 館山市 亀ケ原
294-0053 千葉県 館山市 北条正木
294-0054 千葉県 館山市 湊
294-0055 千葉県 館山市 那古
294-0056 千葉県 館山市 船形
294-0057 千葉県 館山市 川名
294-0058 千葉県 館山市 小原
294-0221 千葉県 館山市 布沼
294-0222 千葉県 館山市 茂名
294-0223 千葉県 館山市 洲宮
294-0224 千葉県 館山市 藤原
294-0225 千葉県 館山市 佐野
294-0226 千葉県 館山市 犬石
294-0231 千葉県 館山市 中里
294-0232 千葉県 館山市 竜岡
294-0233 千葉県 館山市 大神宮
294-0234 千葉県 館山市 布良
294-0235 千葉県 館山市 相浜
294-0301 千葉県 館山市 香
294-0302 千葉県 館山市 塩見
294-0303 千葉県 館山市 浜田
294-0304 千葉県 館山市 早物
294-0305 千葉県 館山市 見物
294-0306 千葉県 館山市 加賀名
294-0307 千葉県 館山市 波左間
294-0308 千葉県 館山市 坂田
294-0311 千葉県 館山市 坂井
294-0312 千葉県 館山市 小沼
294-0313 千葉県 館山市 坂足
294-0314 千葉県 館山市 伊戸
294-0315 千葉県 館山市 西川名
294-0316 千葉県 館山市 洲崎
294-0801 千葉県 南房総市 増間
294-0802 千葉県 南房総市 山名
294-0803 千葉県 南房総市 御庄
294-0804 千葉県 南房総市 海老敷
294-0805 千葉県 南房総市 下滝田
294-0806 千葉県 南房総市 上滝田
294-0811 千葉県 南房総市 中
294-0812 千葉県 南房総市 池之内
294-0813 千葉県 南房総市 谷向
294-0814 千葉県 南房総市 川田
294-0815 千葉県 南房総市 千代
294-0816 千葉県 南房総市 山下
294-0817 千葉県 南房総市 大学口
294-0821 千葉県 南房総市 明石
294-0822 千葉県 南房総市 本織
294-0823 千葉県 南房総市 府中
294-0824 千葉県 南房総市 下堀
294-0825 千葉県 南房総市 上堀
294-0826 千葉県 南房総市 三坂
294-8501 千葉県 館山市 宮城
294-8502 千葉県 館山市 山本
294-8503 千葉県 館山市 北条
294-8601 千葉県 館山市 北条
294-8701 千葉県 南房総市 谷向
295-0001 千葉県 南房総市 千倉町久保
295-0002 千葉県 南房総市 千倉町川合
295-0003 千葉県 南房総市 千倉町白子
295-0004 千葉県 南房総市 千倉町瀬戸
295-0005 千葉県 南房総市 千倉町牧田
295-0006 千葉県 南房総市 千倉町宇田
295-0011 千葉県 南房総市 千倉町北朝夷
295-0012 千葉県 南房総市 千倉町南朝夷
295-0013 千葉県 南房総市 千倉町大貫
295-0014 千葉県 南房総市 千倉町川戸
295-0021 千葉県 南房総市 千倉町平舘
295-0022 千葉県 南房総市 千倉町忽戸
295-0023 千葉県 南房総市 千倉町川口
295-0024 千葉県 南房総市 千倉町平磯
295-0025 千葉県 南房総市 千倉町千田
295-0026 千葉県 南房総市 千倉町大川
295-0027 千葉県 南房総市 千倉町白間津
295-0101 千葉県 南房総市 白浜町乙浜
295-0102 千葉県 南房総市 白浜町白浜
295-0103 千葉県 南房総市 白浜町滝口
295-0104 千葉県 南房総市 白浜町根本
295-0192 千葉県 南房総市 白浜町白浜
295-8601 千葉県 南房総市 千倉町瀬戸
296-0000 千葉県 鴨川市 
296-0001 千葉県 鴨川市 横渚
296-0002 千葉県 鴨川市 前原
296-0003 千葉県 鴨川市 磯村
296-0004 千葉県 鴨川市 貝渚
296-0011 千葉県 鴨川市 大里
296-0012 千葉県 鴨川市 来秀
296-0013 千葉県 鴨川市 田原西
296-0014 千葉県 鴨川市 太尾
296-0015 千葉県 鴨川市 川代
296-0016 千葉県 鴨川市 坂東
296-0021 千葉県 鴨川市 竹平
296-0022 千葉県 鴨川市 京田
296-0023 千葉県 鴨川市 押切
296-0024 千葉県 鴨川市 池田
296-0025 千葉県 鴨川市 太田学
296-0031 千葉県 鴨川市 粟斗
296-0032 千葉県 鴨川市 花房
296-0033 千葉県 鴨川市 八色
296-0034 千葉県 鴨川市 滑谷
296-0035 千葉県 鴨川市 打墨
296-0041 千葉県 鴨川市 東町
296-0042 千葉県 鴨川市 東元浜荻飛地
296-0043 千葉県 鴨川市 西町
296-0044 千葉県 鴨川市 広場
296-0045 千葉県 鴨川市 和泉
296-0101 千葉県 鴨川市 北小町
296-0102 千葉県 鴨川市 下小原
296-0103 千葉県 鴨川市 上小原
296-0104 千葉県 鴨川市 南小町
296-0105 千葉県 鴨川市 成川
296-0106 千葉県 鴨川市 主基西
296-0111 千葉県 鴨川市 仲
296-0112 千葉県 鴨川市 宮山
296-0113 千葉県 鴨川市 吉尾平塚
296-0114 千葉県 鴨川市 細野
296-0115 千葉県 鴨川市 松尾寺
296-0121 千葉県 鴨川市 大川面
296-0122 千葉県 鴨川市 寺門
296-0123 千葉県 鴨川市 北風原
296-0124 千葉県 鴨川市 大幡
296-0125 千葉県 鴨川市 横尾
296-0126 千葉県 鴨川市 吉尾西
296-0197 千葉県 鴨川市 北風原
296-0231 千葉県 鴨川市 釜沼
296-0232 千葉県 鴨川市 平塚
296-0233 千葉県 鴨川市 金束
296-0234 千葉県 鴨川市 古畑
296-0235 千葉県 鴨川市 奈良林
296-0236 千葉県 鴨川市 佐野
296-0237 千葉県 鴨川市 大山平塚
296-8601 千葉県 鴨川市 横渚
296-8602 千葉県 鴨川市 東町
297-0000 千葉県 茂原市 
297-0001 千葉県 茂原市 七渡
297-0002 千葉県 茂原市 千町
297-0003 千葉県 茂原市 北高根飛地
297-0004 千葉県 茂原市 小轡
297-0005 千葉県 茂原市 本小轡
297-0006 千葉県 茂原市 新小轡
297-0007 千葉県 茂原市 腰当
297-0008 千葉県 茂原市 渋谷
297-0009 千葉県 茂原市 北塚
297-0011 千葉県 茂原市 谷本
297-0012 千葉県 茂原市 六ツ野
297-0013 千葉県 茂原市 中之郷飛地
297-0014 千葉県 茂原市 川島飛地
297-0015 千葉県 茂原市 東部台
297-0016 千葉県 茂原市 木崎
297-0017 千葉県 茂原市 東郷
297-0018 千葉県 茂原市 萩原町
297-0019 千葉県 茂原市 上林
297-0021 千葉県 茂原市 高師町
297-0022 千葉県 茂原市 町保
297-0023 千葉県 茂原市 千代田町
297-0024 千葉県 茂原市 八千代
297-0025 千葉県 茂原市 緑町
297-0026 千葉県 茂原市 茂原
297-0027 千葉県 茂原市 中部
297-0028 千葉県 茂原市 道表
297-0029 千葉県 茂原市 高師
297-0031 千葉県 茂原市 早野新田
297-0032 千葉県 茂原市 東茂原
297-0033 千葉県 茂原市 大芝
297-0034 千葉県 茂原市 中の島町
297-0035 千葉県 茂原市 下永吉
297-0036 千葉県 茂原市 上永吉
297-0037 千葉県 茂原市 早野
297-0038 千葉県 茂原市 長清水
297-0039 千葉県 茂原市 茂原西
297-0041 千葉県 茂原市 猿袋
297-0042 千葉県 茂原市 三ケ谷
297-0043 千葉県 茂原市 立木
297-0044 千葉県 茂原市 台田
297-0045 千葉県 茂原市 野牛
297-0051 千葉県 茂原市 鷲巣
297-0052 千葉県 茂原市 上茂原
297-0053 千葉県 茂原市 墨田
297-0054 千葉県 茂原市 八幡原
297-0055 千葉県 茂原市 綱島
297-0056 千葉県 茂原市 六田台
297-0057 千葉県 茂原市 中善寺
297-0058 千葉県 茂原市 石神
297-0061 千葉県 茂原市 山崎
297-0062 千葉県 茂原市 内長谷
297-0063 千葉県 茂原市 長谷
297-0064 千葉県 茂原市 箕輪
297-0065 千葉県 茂原市 緑ケ丘
297-0066 千葉県 茂原市 芦網
297-0067 千葉県 茂原市 国府関
297-0071 千葉県 茂原市 黒戸
297-0072 千葉県 茂原市 大登
297-0073 千葉県 茂原市 長尾
297-0074 千葉県 茂原市 小林
297-0075 千葉県 茂原市 押日
297-0076 千葉県 茂原市 庄吉
297-0077 千葉県 茂原市 真名
297-0078 千葉県 茂原市 高師台
297-0100 千葉県 長生郡長南町 
297-0101 千葉県 長生郡長南町 岩川
297-0102 千葉県 長生郡長南町 本台
297-0103 千葉県 長生郡長南町 今泉
297-0104 千葉県 長生郡長南町 又富
297-0105 千葉県 長生郡長南町 棚毛
297-0111 千葉県 長生郡長南町 須田
297-0112 千葉県 長生郡長南町 米満
297-0113 千葉県 長生郡長南町 関原
297-0114 千葉県 長生郡長南町 千手堂
297-0115 千葉県 長生郡長南町 千田
297-0121 千葉県 長生郡長南町 長南
297-0122 千葉県 長生郡長南町 坂本
297-0123 千葉県 長生郡長南町 蔵持
297-0124 千葉県 長生郡長南町 深沢
297-0125 千葉県 長生郡長南町 笠森
297-0131 千葉県 長生郡長南町 中原
297-0132 千葉県 長生郡長南町 給田
297-0133 千葉県 長生郡長南町 豊原
297-0134 千葉県 長生郡長南町 芝原
297-0135 千葉県 長生郡長南町 地引
297-0136 千葉県 長生郡長南町 小生田
297-0137 千葉県 長生郡長南町 上小野田
297-0138 千葉県 長生郡長南町 下小野田
297-0141 千葉県 長生郡長南町 報恩寺
297-0142 千葉県 長生郡長南町 小沢
297-0143 千葉県 長生郡長南町 美原台
297-0144 千葉県 長生郡長南町 市野々
297-0145 千葉県 長生郡長南町 佐坪
297-0151 千葉県 長生郡長南町 茗荷沢
297-0152 千葉県 長生郡長南町 水沼
297-0153 千葉県 長生郡長南町 山内
297-0154 千葉県 長生郡長南町 岩撫
297-0155 千葉県 長生郡長南町 竹林
297-0192 千葉県 長生郡長南町 長南
297-0193 千葉県 長生郡長南町 又富
297-0194 千葉県 長生郡長南町 市野々
297-0195 千葉県 長生郡長南町 市野々
297-0196 千葉県 長生郡長南町 地引
297-0197 千葉県 長生郡長南町 竹林
297-0198 千葉県 長生郡長南町 佐坪
297-0200 千葉県 長生郡長柄町 
297-0201 千葉県 長生郡長柄町 上野
