050-0000 北海道 室蘭市 
057-0006 北海道 浦河郡浦河町 東町かしわ
057-0007 北海道 浦河郡浦河町 東町ちのみ
057-0011 北海道 浦河郡浦河町 旭町
057-0012 北海道 浦河郡浦河町 常盤町
057-0013 北海道 浦河郡浦河町 大通
057-0014 北海道 浦河郡浦河町 入船町
057-0015 北海道 浦河郡浦河町 浜町
057-0021 北海道 浦河郡浦河町 潮見町
057-0022 北海道 浦河郡浦河町 昌平町
057-0023 北海道 浦河郡浦河町 栄丘
057-0024 北海道 浦河郡浦河町 築地
057-0025 北海道 浦河郡浦河町 緑町
057-0026 北海道 浦河郡浦河町 向別
057-0027 北海道 浦河郡浦河町 上向別
057-0031 北海道 浦河郡浦河町 向が丘東
057-0032 北海道 浦河郡浦河町 向が丘西
057-0033 北海道 浦河郡浦河町 堺町東
057-0034 北海道 浦河郡浦河町 堺町西
057-0035 北海道 浦河郡浦河町 井寒台
057-0036 北海道 浦河郡浦河町 絵笛
057-0171 北海道 浦河郡浦河町 西舎
057-0172 北海道 浦河郡浦河町 杵臼
057-0173 北海道 浦河郡浦河町 上杵臼
057-0174 北海道 浦河郡浦河町 上西舎
057-8511 北海道 浦河郡浦河町 築地
057-8558 北海道 浦河郡浦河町 栄丘
058-0000 北海道 様似郡様似町 
058-0001 北海道 様似郡様似町 旭
058-0002 北海道 様似郡様似町 幌満
058-0003 北海道 様似郡様似町 冬島
058-0004 北海道 様似郡様似町 平宇
058-0011 北海道 様似郡様似町 田代
058-0012 北海道 様似郡様似町 朝日丘
058-0013 北海道 様似郡様似町 緑町
058-0014 北海道 様似郡様似町 大通
058-0015 北海道 様似郡様似町 錦町
058-0021 北海道 様似郡様似町 新富
058-0022 北海道 様似郡様似町 岡田
058-0023 北海道 様似郡様似町 栄町
058-0024 北海道 様似郡様似町 会所町
058-0025 北海道 様似郡様似町 港町
058-0026 北海道 様似郡様似町 本町
058-0027 北海道 様似郡様似町 潮見台
058-0031 北海道 様似郡様似町 西様似
058-0032 北海道 様似郡様似町 西町
058-0033 北海道 様似郡様似町 鵜苫
058-0041 北海道 浦河郡浦河町 東幌別
058-0200 北海道 幌泉郡えりも町 
058-0201 北海道 幌泉郡えりも町 東洋
058-0201 北海道 幌泉郡えりも町 東洋
058-0201 北海道 幌泉郡えりも町 東洋
058-0201 北海道 幌泉郡えりも町 東洋
058-0202 北海道 幌泉郡えりも町 歌別
058-0203 北海道 幌泉郡えりも町 新浜
058-0204 北海道 幌泉郡えりも町 本町
058-0205 北海道 幌泉郡えりも町 大和
058-0206 北海道 幌泉郡えりも町 笛舞
058-0207 北海道 幌泉郡えりも町 近浦
058-0292 北海道 幌泉郡えりも町 本町
058-0341 北海道 幌泉郡えりも町 苫別
058-0342 北海道 幌泉郡えりも町 えりも岬
058-0343 北海道 幌泉郡えりも町 東洋
058-0343 北海道 幌泉郡えりも町 東洋
058-0343 北海道 幌泉郡えりも町 東洋
058-0421 北海道 幌泉郡えりも町 庶野
058-0422 北海道 幌泉郡えりも町 目黒
058-8501 北海道 様似郡様似町 大通
059-0000 北海道 登別市 
059-0001 北海道 登別市 新栄町
059-0002 北海道 登別市 幸町
059-0003 北海道 登別市 千歳町
059-0004 北海道 登別市 来馬町
059-0005 北海道 登別市 札内町
059-0011 北海道 登別市 常盤町
059-0012 北海道 登別市 中央町
059-0013 北海道 登別市 幌別町
059-0014 北海道 登別市 富士町
059-0015 北海道 登別市 新川町
059-0016 北海道 登別市 片倉町
059-0017 北海道 登別市 柏木町
059-0021 北海道 登別市 鉱山町
059-0022 北海道 登別市 川上町
059-0023 北海道 登別市 桜木町
059-0024 北海道 登別市 緑町
059-0025 北海道 登別市 大和町
059-0026 北海道 登別市 若山町
059-0027 北海道 登別市 青葉町
059-0028 北海道 登別市 富岸町
059-0031 北海道 登別市 上鷲別町
059-0032 北海道 登別市 新生町
059-0033 北海道 登別市 栄町
059-0034 北海道 登別市 鷲別町
059-0035 北海道 登別市 若草町
059-0036 北海道 登別市 美園町
059-0151 北海道 伊達市 有珠町
059-0152 北海道 伊達市 北有珠町
059-0153 北海道 伊達市 大平町
059-0154 北海道 伊達市 東有珠町
059-0155 北海道 伊達市 若生町
059-0156 北海道 伊達市 南有珠町
059-0157 北海道 伊達市 向有珠町
059-0271 北海道 伊達市 南黄金町
059-0272 北海道 伊達市 北黄金町
059-0273 北海道 伊達市 南稀府町
059-0274 北海道 伊達市 中稀府町
059-0275 北海道 伊達市 北稀府町
059-0461 北海道 登別市 札内町
059-0462 北海道 登別市 富浦町
059-0463 北海道 登別市 中登別町
059-0464 北海道 登別市 登別東町
059-0465 北海道 登別市 登別本町
059-0466 北海道 登別市 登別港町
059-0492 北海道 登別市 登別東町
059-0493 北海道 登別市 中登別町
059-0496 北海道 登別市 富浦町
059-0551 北海道 登別市 登別温泉町
059-0552 北海道 登別市 上登別町
059-0553 北海道 登別市 カルルス町
059-0592 北海道 登別市 登別温泉町
059-0595 北海道 登別市 登別温泉町
059-0596 北海道 登別市 登別温泉町
059-0598 北海道 登別市 登別温泉町
059-0641 北海道 白老郡白老町 虎杖浜
059-0642 北海道 白老郡白老町 竹浦
059-0900 北海道 白老郡白老町 
059-0901 北海道 白老郡白老町 社台
059-0902 北海道 白老郡白老町 若草町
059-0903 北海道 白老郡白老町 日の出町
059-0904 北海道 白老郡白老町 東町
059-0905 北海道 白老郡白老町 大町
059-0906 北海道 白老郡白老町 本町
059-0907 北海道 白老郡白老町 末広町
059-0908 北海道 白老郡白老町 緑丘
059-0911 北海道 白老郡白老町 森野
059-0912 北海道 白老郡白老町 陣屋町
059-0913 北海道 白老郡白老町 緑町
059-0914 北海道 白老郡白老町 栄町
059-0915 北海道 白老郡白老町 川沿
059-0916 北海道 白老郡白老町 高砂町
059-0921 北海道 白老郡白老町 石山
059-0922 北海道 白老郡白老町 萩野
059-0923 北海道 白老郡白老町 北吉原
059-0993 北海道 白老郡白老町 北吉原
059-0995 北海道 白老郡白老町 大町
059-0997 北海道 白老郡白老町 石山
059-0998 北海道 白老郡白老町 緑丘
059-1261 北海道 苫小牧市 ときわ町
059-1262 北海道 苫小牧市 美原町
059-1263 北海道 苫小牧市 青雲町
059-1264 北海道 苫小牧市 宮前町
059-1265 北海道 苫小牧市 樽前
059-1271 北海道 苫小牧市 澄川町
059-1272 北海道 苫小牧市 のぞみ町
059-1273 北海道 苫小牧市 明徳町
059-1274 北海道 苫小牧市 もえぎ町
059-1275 北海道 苫小牧市 錦岡
059-1276 北海道 苫小牧市 はまなす町
059-1292 北海道 苫小牧市 錦岡
059-1301 北海道 苫小牧市 東開町
059-1302 北海道 苫小牧市 拓勇西町
059-1303 北海道 苫小牧市 拓勇東町
059-1304 北海道 苫小牧市 北栄町
059-1305 北海道 苫小牧市 沼ノ端中央
059-1361 北海道 苫小牧市 美沢
059-1362 北海道 苫小牧市 柏原
059-1363 北海道 苫小牧市 静川
059-1364 北海道 苫小牧市 沼ノ端
059-1365 北海道 苫小牧市 植苗
059-1366 北海道 苫小牧市 あけぼの町
059-1366 北海道 苫小牧市 あけぼの町
059-1371 北海道 苫小牧市 弁天
059-1372 北海道 苫小牧市 勇払
059-1373 北海道 苫小牧市 真砂町
059-1374 北海道 苫小牧市 晴海町
059-1375 北海道 苫小牧市 一本松町
059-1392 北海道 苫小牧市 真砂町
059-1393 北海道 苫小牧市 勇払
059-1394 北海道 苫小牧市 晴海町
059-1395 北海道 苫小牧市 勇払
059-1396 北海道 苫小牧市 勇払
059-1431 北海道 勇払郡安平町 早来新栄
059-1432 北海道 勇払郡安平町 早来源武
059-1433 北海道 勇払郡安平町 遠浅
059-1434 北海道 勇払郡安平町 早来富岡
059-1500 北海道 勇払郡安平町 
059-1501 北海道 勇払郡安平町 早来大町
059-1502 北海道 勇払郡安平町 早来北進
059-1503 北海道 勇払郡安平町 東早来
059-1504 北海道 勇払郡安平町 早来守田
059-1505 北海道 勇払郡安平町 早来栄町
059-1506 北海道 勇払郡安平町 早来北町
059-1511 北海道 勇払郡安平町 安平
059-1512 北海道 勇払郡安平町 早来瑞穂
059-1513 北海道 勇払郡安平町 早来緑丘
059-1592 北海道 勇払郡安平町 早来大町
059-1593 北海道 勇払郡安平町 早来栄町
059-1594 北海道 勇払郡安平町 早来大町
059-1595 北海道 勇払郡安平町 早来大町
059-1596 北海道 勇払郡安平町 早来大町
059-1600 北海道 勇払郡厚真町 
059-1601 北海道 勇払郡厚真町 京町
059-1602 北海道 勇払郡厚真町 表町
059-1603 北海道 勇払郡厚真町 本町
059-1604 北海道 勇払郡厚真町 錦町
059-1605 北海道 勇払郡厚真町 本郷
059-1606 北海道 勇払郡厚真町 朝日
059-1611 北海道 勇払郡厚真町 幌里
059-1612 北海道 勇払郡厚真町 桜丘
059-1613 北海道 勇払郡厚真町 吉野
059-1614 北海道 勇払郡厚真町 富里
059-1615 北海道 勇払郡厚真町 高丘
059-1616 北海道 勇払郡厚真町 幌内
059-1621 北海道 勇払郡厚真町 東和
059-1622 北海道 勇払郡厚真町 宇隆
059-1623 北海道 勇払郡厚真町 新町
059-1624 北海道 勇払郡厚真町 豊沢
059-1625 北海道 勇払郡厚真町 美里
059-1692 北海道 勇払郡厚真町 京町
059-1693 北海道 勇払郡厚真町 錦町
059-1741 北海道 勇払郡厚真町 上厚真
059-1742 北海道 勇払郡厚真町 浜厚真
059-1743 北海道 勇払郡厚真町 共和
059-1744 北海道 勇払郡厚真町 共栄
059-1745 北海道 勇払郡厚真町 豊川
059-1746 北海道 勇払郡厚真町 上野
059-1747 北海道 勇払郡厚真町 富野
059-1748 北海道 勇払郡厚真町 厚和
059-1749 北海道 勇払郡厚真町 清住
059-1751 北海道 勇払郡厚真町 鯉沼
059-1752 北海道 勇払郡厚真町 軽舞
059-1753 北海道 勇払郡厚真町 豊丘
059-1754 北海道 勇払郡厚真町 鹿沼
059-1911 北海道 勇払郡安平町 追分本町
059-1921 北海道 勇払郡安平町 追分柏が丘
059-1931 北海道 勇払郡安平町 追分中央
059-1941 北海道 勇払郡安平町 追分青葉
059-1942 北海道 勇払郡安平町 追分白樺
059-1951 北海道 勇払郡安平町 追分若草
059-1961 北海道 勇払郡安平町 追分花園
059-1971 北海道 勇払郡安平町 追分緑が丘
059-1982 北海道 勇払郡安平町 追分美園
059-1983 北海道 勇払郡安平町 追分旭
059-1984 北海道 勇払郡安平町 追分向陽
059-1985 北海道 勇払郡安平町 追分春日
059-1986 北海道 勇払郡安平町 追分弥生
059-1987 北海道 勇払郡安平町 追分豊栄
059-2121 北海道 沙流郡日高町 門別本町
059-2122 北海道 沙流郡日高町 緑町
059-2123 北海道 沙流郡日高町 幾千世
059-2124 北海道 沙流郡日高町 庫富
059-2125 北海道 沙流郡日高町 広富
059-2126 北海道 沙流郡日高町 豊郷
059-2127 北海道 沙流郡日高町 旭町
059-2192 北海道 沙流郡日高町 門別本町
059-2241 北海道 沙流郡日高町 豊田
059-2242 北海道 沙流郡日高町 美原
059-2243 北海道 沙流郡日高町 厚賀町
059-2244 北海道 沙流郡日高町 賀張
059-2245 北海道 沙流郡日高町 清畠
059-2251 北海道 新冠郡新冠町 共栄
059-2252 北海道 新冠郡新冠町 東川
059-2253 北海道 新冠郡新冠町 大狩部
059-2331 北海道 沙流郡日高町 正和
059-2332 北海道 沙流郡日高町 三和
059-2341 北海道 新冠郡新冠町 新和
059-2342 北海道 新冠郡新冠町 里平
059-2343 北海道 新冠郡新冠町 太陽
059-2344 北海道 新冠郡新冠町 美宇
059-2400 北海道 新冠郡新冠町 
059-2401 北海道 新冠郡新冠町 本町
059-2402 北海道 新冠郡新冠町 中央町
059-2403 北海道 新冠郡新冠町 北星町
059-2404 北海道 新冠郡新冠町 東町
059-2411 北海道 新冠郡新冠町 大狩部
059-2412 北海道 新冠郡新冠町 節婦町
059-2413 北海道 新冠郡新冠町 高江
059-2414 北海道 新冠郡新冠町 朝日
059-2415 北海道 新冠郡新冠町 緑丘
059-2416 北海道 新冠郡新冠町 古岸
059-2417 北海道 新冠郡新冠町 東泊津
059-2418 北海道 新冠郡新冠町 西泊津
059-2421 北海道 新冠郡新冠町 若園
059-2422 北海道 新冠郡新冠町 岩清水
059-2423 北海道 新冠郡新冠町 泉
059-2424 北海道 新冠郡新冠町 新栄
059-2425 北海道 新冠郡新冠町 明和
059-2426 北海道 新冠郡新冠町 万世
059-2427 北海道 新冠郡新冠町 大富
059-2492 北海道 新冠郡新冠町 北星町
059-2561 北海道 日高郡新ひだか町 東静内
059-2562 北海道 日高郡新ひだか町 静内浦和
059-2563 北海道 日高郡新ひだか町 静内川合
059-2564 北海道 日高郡新ひだか町 静内西川
059-2565 北海道 日高郡新ひだか町 静内春立
059-2566 北海道 日高郡新ひだか町 静内東別
059-2571 北海道 日高郡新ひだか町 三石西端
