090-0000 北海道 北見市 
091-0554 北海道 常呂郡佐呂間町 武士
091-0555 北海道 常呂郡佐呂間町 中園
091-0556 北海道 常呂郡佐呂間町 啓生
091-0557 北海道 常呂郡佐呂間町 川西
091-0558 北海道 常呂郡佐呂間町 栃木
091-8666 北海道 北見市 留辺蘂町上町
092-0000 北海道 網走郡美幌町 
092-0001 北海道 網走郡美幌町 高野
092-0002 北海道 網走郡美幌町 美禽
092-0003 北海道 網走郡美幌町 鳥里
092-0004 北海道 網走郡美幌町 仲町
092-0005 北海道 網走郡美幌町 野崎
092-0006 北海道 網走郡美幌町 昭野
092-0007 北海道 網走郡美幌町 豊岡
092-0011 北海道 網走郡美幌町 東町
092-0012 北海道 網走郡美幌町 栄町
092-0013 北海道 網走郡美幌町 美芳
092-0014 北海道 網走郡美幌町 美里
092-0015 北海道 網走郡美幌町 新町
092-0016 北海道 網走郡美幌町 瑞治
092-0017 北海道 網走郡美幌町 報徳
092-0018 北海道 網走郡美幌町 田中
092-0021 北海道 網走郡美幌町 日並
092-0022 北海道 網走郡美幌町 古梅
092-0023 北海道 網走郡美幌町 豊富
092-0024 北海道 網走郡美幌町 福住
092-0025 北海道 網走郡美幌町 駒生
092-0026 北海道 網走郡美幌町 都橋
092-0027 北海道 網走郡美幌町 稲美
092-0030 北海道 網走郡美幌町 美富
092-0031 北海道 網走郡美幌町 大通南
092-0032 北海道 網走郡美幌町 西一条南
092-0033 北海道 網走郡美幌町 西二条南
092-0041 北海道 網走郡美幌町 東一条南
092-0042 北海道 網走郡美幌町 東二条南
092-0043 北海道 網走郡美幌町 東三条南
092-0044 北海道 網走郡美幌町 東四条南
092-0050 北海道 網走郡美幌町 大通北
092-0051 北海道 網走郡美幌町 東一条北
092-0052 北海道 網走郡美幌町 東二条北
092-0053 北海道 網走郡美幌町 東三条北
092-0061 北海道 網走郡美幌町 西一条北
092-0062 北海道 網走郡美幌町 西二条北
092-0063 北海道 網走郡美幌町 元町
092-0064 北海道 網走郡美幌町 青葉
092-0065 北海道 網走郡美幌町 青山南
092-0066 北海道 網走郡美幌町 青山北
092-0067 北海道 網走郡美幌町 三橋南
092-0068 北海道 網走郡美幌町 三橋町
092-0069 北海道 網走郡美幌町 日の出
092-0171 北海道 網走郡美幌町 美富
092-0173 北海道 網走郡美幌町 美和
092-0174 北海道 網走郡美幌町 栄森
092-0175 北海道 網走郡美幌町 駒生
092-0176 北海道 網走郡美幌町 野崎
092-0181 北海道 網走郡美幌町 上町
092-0183 北海道 網走郡美幌町 豊幌
092-0184 北海道 網走郡美幌町 登栄
092-0200 北海道 網走郡津別町 
092-0201 北海道 網走郡津別町 最上
092-0203 北海道 網走郡津別町 達美
092-0205 北海道 網走郡津別町 岩富
092-0206 北海道 網走郡津別町 活汲
092-0207 北海道 網走郡津別町 東岡
092-0211 北海道 網走郡津別町 西三条
092-0212 北海道 網走郡津別町 緑町
092-0213 北海道 網走郡津別町 西四条
092-0214 北海道 網走郡津別町 西二条
092-0215 北海道 網走郡津別町 一条通
092-0216 北海道 網走郡津別町 東二条
092-0217 北海道 網走郡津別町 東三条
092-0218 北海道 網走郡津別町 東四条
092-0221 北海道 網走郡津別町 高台
092-0222 北海道 網走郡津別町 上里
092-0223 北海道 網走郡津別町 美都
092-0224 北海道 網走郡津別町 豊永
092-0225 北海道 網走郡津別町 共和
092-0231 北海道 網走郡津別町 大通
092-0232 北海道 網走郡津別町 新町
092-0233 北海道 網走郡津別町 柏町
092-0234 北海道 網走郡津別町 旭町
092-0235 北海道 網走郡津別町 幸町
092-0236 北海道 網走郡津別町 本町
092-0292 北海道 網走郡津別町 幸町
092-0351 北海道 網走郡津別町 本岐
092-0352 北海道 網走郡津別町 木樋
092-0353 北海道 網走郡津別町 二又
092-0354 北海道 網走郡津別町 双葉
092-0355 北海道 網走郡津別町 恩根
092-0356 北海道 網走郡津別町 栄
092-0357 北海道 網走郡津別町 大昭
092-0358 北海道 網走郡津別町 沼沢
092-0361 北海道 網走郡津別町 相生
092-0362 北海道 網走郡津別町 布川
092-8501 北海道 網走郡美幌町 田中
092-8650 北海道 網走郡美幌町 東二条北
092-8651 北海道 網走郡美幌町 青山南
093-0000 北海道 網走市 
093-0001 北海道 網走市 南一条東
093-0002 北海道 網走市 南二条東
093-0003 北海道 網走市 南三条東
093-0004 北海道 網走市 南四条東
093-0005 北海道 網走市 南五条東
093-0006 北海道 網走市 南六条東
093-0007 北海道 網走市 南七条東
093-0008 北海道 網走市 南八条東
093-0009 北海道 網走市 南九条東
093-0010 北海道 網走市 南十条東
093-0011 北海道 網走市 南一条西
093-0012 北海道 網走市 南二条西
093-0013 北海道 網走市 南三条西
093-0014 北海道 網走市 南四条西
093-0015 北海道 網走市 南五条西
093-0016 北海道 網走市 南六条西
093-0017 北海道 網走市 南七条西
093-0018 北海道 網走市 南八条西
093-0019 北海道 網走市 南九条西
093-0020 北海道 網走市 南十条西
093-0021 北海道 網走市 南十一条西
093-0022 北海道 網走市 南十二条西
093-0023 北海道 網走市 南十三条西
093-0024 北海道 網走市 南十四条西
093-0031 北海道 網走市 台町
093-0032 北海道 網走市 港町
093-0033 北海道 網走市 駒場北
093-0034 北海道 網走市 つくしケ丘
093-0035 北海道 網走市 駒場南
093-0041 北海道 網走市 桂町
093-0042 北海道 網走市 潮見
093-0043 北海道 網走市 錦町
093-0044 北海道 網走市 天都山
093-0045 北海道 網走市 大曲
093-0046 北海道 網走市 新町
093-0051 北海道 網走市 北一条東
093-0052 北海道 網走市 北二条東
093-0053 北海道 網走市 北三条東
093-0054 北海道 網走市 北四条東
093-0055 北海道 網走市 北五条東
093-0056 北海道 網走市 北六条東
093-0057 北海道 網走市 北七条東
093-0058 北海道 網走市 北八条東
093-0059 北海道 網走市 北九条東
093-0060 北海道 網走市 北十条東
093-0061 北海道 網走市 北十一条東
093-0062 北海道 網走市 北十二条東
093-0071 北海道 網走市 北一条西
093-0072 北海道 網走市 北二条西
093-0073 北海道 網走市 北三条西
093-0074 北海道 網走市 北四条西
093-0075 北海道 網走市 北五条西
093-0076 北海道 網走市 北六条西
093-0077 北海道 網走市 北七条西
093-0078 北海道 網走市 北八条西
093-0079 北海道 網走市 北九条西
093-0080 北海道 網走市 北十条西
093-0081 北海道 網走市 北十一条西
093-0082 北海道 網走市 北十二条西
093-0083 北海道 網走市 海岸町
093-0084 北海道 網走市 向陽ケ丘
093-0085 北海道 網走市 明治
093-0086 北海道 網走市 二ツ岩
093-0087 北海道 網走市 美岬
093-0088 北海道 網走市 三眺
093-0089 北海道 網走市 緑町
093-0090 北海道 網走市 文化
093-0131 北海道 網走市 能取港町
093-0132 北海道 網走市 二見ケ岡
093-0133 北海道 網走市 嘉多山
093-0134 北海道 網走市 越歳
093-0135 北海道 網走市 卯原内
093-0136 北海道 網走市 平和
093-0202 北海道 北見市 常呂町東浜
093-0210 北海道 北見市 常呂町常呂
093-0213 北海道 北見市 常呂町土佐
093-0214 北海道 北見市 常呂町共立
093-0215 北海道 北見市 常呂町岐阜
093-0216 北海道 北見市 常呂町栄浦
093-0241 北海道 網走市 能取
093-0292 北海道 北見市 
093-0331 北海道 北見市 常呂町豊川
093-0332 北海道 北見市 常呂町富丘
093-0333 北海道 北見市 常呂町福山
093-0334 北海道 北見市 常呂町日吉
093-0335 北海道 北見市 常呂町吉野
093-0336 北海道 北見市 常呂町登
093-0421 北海道 常呂郡佐呂間町 浪速
093-0422 北海道 常呂郡佐呂間町 幌岩
093-0423 北海道 常呂郡佐呂間町 浜佐呂間
093-0424 北海道 常呂郡佐呂間町 仁倉
093-0500 北海道 常呂郡佐呂間町 
093-0501 北海道 常呂郡佐呂間町 宮前町
093-0502 北海道 常呂郡佐呂間町 永代町
093-0503 北海道 常呂郡佐呂間町 幸町
093-0504 北海道 常呂郡佐呂間町 西富
093-0505 北海道 常呂郡佐呂間町 北
093-0506 北海道 常呂郡佐呂間町 富武士
093-0507 北海道 常呂郡佐呂間町 東
093-0508 北海道 常呂郡佐呂間町 知来
093-0532 北海道 常呂郡佐呂間町 若里
093-0592 北海道 常呂郡佐呂間町 永代町
093-0593 北海道 常呂郡佐呂間町 永代町
093-0594 北海道 常呂郡佐呂間町 富武士
093-0651 北海道 紋別郡湧別町 計呂地
093-0652 北海道 紋別郡湧別町 志撫子
093-0731 北海道 紋別郡湧別町 芭露
093-0732 北海道 紋別郡湧別町 上芭露
093-0733 北海道 紋別郡湧別町 西芭露
093-0734 北海道 紋別郡湧別町 東芭露
093-0735 北海道 紋別郡湧別町 福島
093-8544 北海道 網走市 新町
093-8555 北海道 網走市 南六条東
093-8585 北海道 網走市 北七条西
093-8609 北海道 網走市 大曲
093-8619 北海道 網走市 北七条西
093-8650 北海道 網走市 南四条西
093-8670 北海道 網走市 北七条西
093-8680 北海道 網走市 南四条東
093-8686 北海道 網走市 南五条東
093-8710 北海道 網走市 南六条東
093-8711 北海道 網走市 駒場南
093-8728 北海道 網走市 南四条東
094-0000 北海道 紋別市 
094-0001 北海道 紋別市 北浜町
094-0002 北海道 紋別市 真砂町
094-0003 北海道 紋別市 弁天町
094-0004 北海道 紋別市 本町
094-0005 北海道 紋別市 幸町
094-0006 北海道 紋別市 潮見町
094-0007 北海道 紋別市 落石町
094-0011 北海道 紋別市 港町
094-0012 北海道 紋別市 新港町
094-0013 北海道 紋別市 南が丘町
094-0014 北海道 紋別市 緑町
094-0015 北海道 紋別市 花園町
094-0021 北海道 紋別市 大山町
094-0022 北海道 紋別市 新生
094-0023 北海道 紋別市 元紋別
094-0024 北海道 紋別市 藻別
094-0025 北海道 紋別市 上藻別
094-0026 北海道 紋別市 鴻之舞
094-0027 北海道 紋別市 上鴻之舞
094-0031 北海道 紋別市 海洋公園
094-8551 北海道 紋別市 幸町
094-8552 北海道 紋別市 幸町
094-8553 北海道 紋別市 元紋別
094-8554 北海道 紋別市 幸町
094-8581 北海道 紋別市 落石町
094-8601 北海道 紋別市 港町
094-8602 北海道 紋別市 港町
094-8603 北海道 紋別市 港町
094-8604 北海道 紋別市 港町
094-8605 北海道 紋別市 港町
094-8609 北海道 紋別市 南が丘町
094-8641 北海道 紋別市 南が丘町
094-8642 北海道 紋別市 南が丘町
094-8643 北海道 紋別市 南が丘町
094-8644 北海道 紋別市 南が丘町
094-8645 北海道 紋別市 花園町
094-8646 北海道 紋別市 緑町
094-8701 北海道 紋別市 本町
094-8702 北海道 紋別市 港町
094-8703 北海道 紋別市 本町
094-8704 北海道 紋別市 本町
094-8705 北海道 紋別市 北浜町
094-8706 北海道 紋別市 幸町
094-8707 北海道 紋別市 幸町
094-8708 北海道 紋別市 港町
094-8709 北海道 紋別市 緑町
094-8710 北海道 紋別市 本町
094-8712 北海道 紋別市 幸町
094-8713 北海道 紋別市 本町
094-8714 北海道 紋別市 幸町
094-8715 北海道 紋別市 港町
094-8716 北海道 紋別市 花園町
094-8717 北海道 紋別市 北浜町
095-0000 北海道 士別市 
095-0001 北海道 士別市 東一条北
095-0002 北海道 士別市 東二条北
095-0003 北海道 士別市 東三条北
095-0004 北海道 士別市 東四条北
095-0005 北海道 士別市 東五条北
095-0006 北海道 士別市 東六条北
095-0007 北海道 士別市 東七条北
095-0008 北海道 士別市 東八条北
095-0011 北海道 士別市 東一条
095-0012 北海道 士別市 東二条
095-0013 北海道 士別市 東三条
095-0014 北海道 士別市 東四条
095-0015 北海道 士別市 東五条
095-0016 北海道 士別市 東六条
095-0017 北海道 士別市 東七条
095-0018 北海道 士別市 東八条
095-0019 北海道 士別市 大通東
095-0021 北海道 士別市 西一条
095-0022 北海道 士別市 西二条
095-0023 北海道 士別市 西三条
095-0024 北海道 士別市 西四条
095-0025 北海道 士別市 西五条
095-0029 北海道 士別市 大通西
095-0031 北海道 士別市 西一条北
095-0032 北海道 士別市 西二条北
095-0033 北海道 士別市 西三条北
095-0034 北海道 士別市 西四条北
095-0035 北海道 士別市 西五条北
095-0039 北海道 士別市 大通北
095-0041 北海道 士別市 東九条
095-0042 北海道 士別市 東十条
095-0043 北海道 士別市 九十九町
095-0044 北海道 士別市 東山町
095-0045 北海道 士別市 東丘
095-0046 北海道 士別市 南町東
095-0047 北海道 士別市 南町西
095-0048 北海道 士別市 東十一条
095-0051 北海道 士別市 北町
095-0052 北海道 士別市 学田
095-0053 北海道 士別市 新学田
095-0054 北海道 士別市 不動町
095-0055 北海道 士別市 南士別町
095-0056 北海道 士別市 西士別町
095-0061 北海道 士別市 下士別町
095-0062 北海道 士別市 武徳町
095-0063 北海道 士別市 中士別町
095-0064 北海道 士別市 川西町
095-0181 北海道 士別市 温根別町
095-0182 北海道 士別市 温根別町伊文
095-0183 北海道 士別市 温根別町北静川
095-0371 北海道 士別市 上士別町
095-0401 北海道 士別市 朝日町中央
095-0402 北海道 士別市 朝日町登和里
095-0403 北海道 士別市 朝日町岩尾内
095-0404 北海道 士別市 朝日町茂志利
095-0405 北海道 士別市 朝日町三栄
095-0406 北海道 士別市 朝日町南朝日
095-0492 北海道 士別市 朝日町中央
095-8609 北海道 士別市 東四条
095-8686 北海道 士別市 東六条
096-0000 北海道 名寄市 
096-0001 北海道 名寄市 東一条南
096-0002 北海道 名寄市 東二条南
096-0003 北海道 名寄市 東三条南
096-0004 北海道 名寄市 東四条南
096-0005 北海道 名寄市 東五条南
096-0006 北海道 名寄市 東六条南
096-0007 北海道 名寄市 東七条南
096-0008 北海道 名寄市 東八条南
096-0009 北海道 名寄市 東九条南
096-0010 北海道 名寄市 大通南
096-0011 北海道 名寄市 西一条南
096-0012 北海道 名寄市 西二条南
096-0013 北海道 名寄市 西三条南
096-0014 北海道 名寄市 西四条南
096-0015 北海道 名寄市 西五条南
096-0016 北海道 名寄市 西六条南
096-0017 北海道 名寄市 西七条南
096-0018 北海道 名寄市 西八条南
096-0019 北海道 名寄市 西九条南
096-0020 北海道 名寄市 西十条南
096-0021 北海道 名寄市 西十一条南
096-0022 北海道 名寄市 西十二条南
096-0023 北海道 名寄市 西十三条南
096-0024 北海道 名寄市 西十四条南
096-0025 北海道 名寄市 西十五条南
096-0030 北海道 名寄市 大通北
096-0031 北海道 名寄市 西一条北
096-0032 北海道 名寄市 西二条北
096-0033 北海道 名寄市 西三条北
096-0034 北海道 名寄市 西四条北
096-0035 北海道 名寄市 西五条北
096-0036 北海道 名寄市 西六条北
096-0037 北海道 名寄市 西七条北
096-0038 北海道 名寄市 西八条北
096-0039 北海道 名寄市 西九条北
096-0040 北海道 名寄市 西十条北
096-0041 北海道 名寄市 西十一条北
096-0042 北海道 名寄市 西十二条北
096-0043 北海道 名寄市 西十三条北
096-0051 北海道 名寄市 東一条北
096-0052 北海道 名寄市 東二条北
096-0053 北海道 名寄市 東三条北
096-0054 北海道 名寄市 東四条北
096-0055 北海道 名寄市 東五条北
096-0056 北海道 名寄市 東六条北
096-0061 北海道 名寄市 朝日
096-0062 北海道 名寄市 日彰
096-0063 北海道 名寄市 緑丘
096-0064 北海道 名寄市 旭東
096-0065 北海道 名寄市 大橋
096-0066 北海道 名寄市 日進
096-0071 北海道 名寄市 徳田
096-0072 北海道 名寄市 豊栄
096-0073 北海道 名寄市 共和
096-0074 北海道 名寄市 弥生
096-0075 北海道 名寄市 曙
096-0076 北海道 名寄市 砺波
096-0077 北海道 名寄市 瑞穂
096-0078 北海道 名寄市 内淵
096-8501 北海道 名寄市 西四条南
096-8508 北海道 名寄市 西三条南
096-8511 北海道 名寄市 西七条南
096-8555 北海道 名寄市 徳田
096-8558 北海道 名寄市 西三条南
096-8584 北海道 名寄市 内淵
096-8585 北海道 名寄市 西三条南
096-8609 北海道 名寄市 西五条南
096-8641 北海道 名寄市 西二条北
096-8666 北海道 名寄市 西二条南
096-8686 北海道 名寄市 大通南
097-0000 北海道 稚内市 
097-0001 北海道 稚内市 末広
097-0002 北海道 稚内市 潮見
097-0003 北海道 稚内市 こまどり
097-0004 北海道 稚内市 緑
097-0005 北海道 稚内市 大黒
097-0006 北海道 稚内市 新港町
097-0007 北海道 稚内市 新末広
097-0011 北海道 稚内市 はまなす
097-0012 北海道 稚内市 富岡
097-0013 北海道 稚内市 若葉台
097-0014 北海道 稚内市 新光町
097-0015 北海道 稚内市 朝日
097-0016 北海道 稚内市 萩見
097-0017 北海道 稚内市 栄
097-0021 北海道 稚内市 港
097-0022 北海道 稚内市 中央
097-0023 北海道 稚内市 開運
097-0024 北海道 稚内市 宝来
097-0025 北海道 稚内市 恵比須
097-0026 北海道 稚内市 ノシャップ
097-0027 北海道 稚内市 富士見
097-0035 北海道 稚内市 抜海村
097-0036 北海道 稚内市 抜海村
097-0037 北海道 稚内市 西浜
097-0100 北海道 利尻郡利尻富士町 
097-0101 北海道 利尻郡利尻富士町 鴛泊
097-0211 北海道 利尻郡利尻富士町 鬼脇
097-0311 北海道 利尻郡利尻町 仙法志
097-0400 北海道 利尻郡利尻町 
097-0401 北海道 利尻郡利尻町 沓形
097-1111 北海道 礼文郡礼文町 船泊村
097-1200 北海道 礼文郡礼文町 
097-1201 北海道 礼文郡礼文町 香深村
097-1202 北海道 礼文郡礼文町 船泊村
097-8510 北海道 稚内市 末広
097-8525 北海道 稚内市 末広
097-8527 北海道 稚内市 末広
097-8555 北海道 稚内市 中央
097-8558 北海道 稚内市 末広
097-8585 北海道 稚内市 末広
097-8609 北海道 稚内市 末広
097-8639 北海道 稚内市 末広
097-8666 北海道 稚内市 中央
097-8686 北海道 稚内市 中央
098-0100 北海道 上川郡和寒町 
098-0101 北海道 上川郡和寒町 日ノ出
098-0102 北海道 上川郡和寒町 大成
098-0103 北海道 上川郡和寒町 北原
098-0104 北海道 上川郡和寒町 松岡
098-0111 北海道 上川郡和寒町 三笠
098-0112 北海道 上川郡和寒町 三和
098-0113 北海道 上川郡和寒町 菊野
098-0114 北海道 上川郡和寒町 西和
098-0115 北海道 上川郡和寒町 福原
098-0121 北海道 上川郡和寒町 川西
098-0122 北海道 上川郡和寒町 中和
098-0123 北海道 上川郡和寒町 東丘
098-0124 北海道 上川郡和寒町 南丘
098-0125 北海道 上川郡和寒町 塩狩
098-0126 北海道 上川郡和寒町 朝日
098-0131 北海道 上川郡和寒町 南町
098-0132 北海道 上川郡和寒町 西町
098-0133 北海道 上川郡和寒町 北町
098-0134 北海道 上川郡和寒町 東町
098-0135 北海道 上川郡和寒町 東和
098-0192 北海道 上川郡和寒町 西町
098-0300 北海道 上川郡剣淵町 
098-0331 北海道 上川郡剣淵町 西町
098-0332 北海道 上川郡剣淵町 緑町
098-0333 北海道 上川郡剣淵町 元町
098-0334 北海道 上川郡剣淵町 屯田町
098-0335 北海道 上川郡剣淵町 南桜町
098-0336 北海道 上川郡剣淵町 旭町
098-0337 北海道 上川郡剣淵町 西岡町
098-0338 北海道 上川郡剣淵町 仲町
098-0339 北海道 上川郡剣淵町 西原町
098-0341 北海道 上川郡剣淵町 東町
098-0342 北海道 上川郡剣淵町 藤本町
098-0392 北海道 上川郡剣淵町 仲町
098-0475 北海道 士別市 多寄町
098-0501 北海道 名寄市 風連町豊里
098-0502 北海道 名寄市 風連町北栄町
098-0503 北海道 名寄市 風連町大町
098-0504 北海道 名寄市 風連町本町
098-0505 北海道 名寄市 風連町南町
098-0506 北海道 名寄市 風連町仲町
098-0507 北海道 名寄市 風連町西町
098-0508 北海道 名寄市 風連町瑞生
098-0509 北海道 名寄市 風連町西風連
098-0511 北海道 名寄市 風連町新生町
098-0512 北海道 名寄市 風連町東風連
098-0513 北海道 名寄市 風連町池の上
098-0514 北海道 名寄市 風連町旭
098-0515 北海道 名寄市 風連町中央
098-0516 北海道 名寄市 風連町緑町
098-0631 北海道 名寄市 風連町日進
098-0632 北海道 名寄市 風連町東生
098-1200 北海道 上川郡下川町 
098-1201 北海道 上川郡下川町 旭町
098-1202 北海道 上川郡下川町 緑町
098-1203 北海道 上川郡下川町 共栄町
098-1204 北海道 上川郡下川町 南町
098-1205 北海道 上川郡下川町 西町
098-1206 北海道 上川郡下川町 幸町
098-1207 北海道 上川郡下川町 錦町
098-1211 北海道 上川郡下川町 珊瑠
098-1212 北海道 上川郡下川町 北町
098-1213 北海道 上川郡下川町 三の橋
098-1214 北海道 上川郡下川町 渓和
098-1215 北海道 上川郡下川町 班渓
098-1216 北海道 上川郡下川町 上名寄
098-1331 北海道 上川郡下川町 一の橋
098-1332 北海道 上川郡下川町 二の橋
098-1421 北海道 紋別郡西興部村 上興部
098-1422 北海道 紋別郡西興部村 東興
098-1423 北海道 紋別郡西興部村 札滑
098-1424 北海道 紋別郡西興部村 奥興部
098-1500 北海道 紋別郡西興部村 
098-1501 北海道 紋別郡西興部村 西興部
098-1502 北海道 紋別郡西興部村 六興
098-1503 北海道 紋別郡西興部村 中興部
098-1504 北海道 紋別郡西興部村 忍路子
098-1505 北海道 紋別郡西興部村 上藻
098-1506 北海道 紋別郡西興部村 中藻
098-1600 北海道 紋別郡興部町 
098-1601 北海道 紋別郡興部町 興部
098-1602 北海道 紋別郡興部町 興部
098-1603 北海道 紋別郡興部町 興部
098-1604 北海道 紋別郡興部町 興部
098-1605 北海道 紋別郡興部町 興部
098-1606 北海道 紋別郡興部町 興部
098-1607 北海道 紋別郡興部町 興部
098-1611 北海道 紋別郡興部町 興部
098-1612 北海道 紋別郡興部町 興部
098-1613 北海道 紋別郡興部町 興部
098-1614 北海道 紋別郡興部町 興部
098-1615 北海道 紋別郡興部町 興部
