080-0000 北海道 帯広市 
080-0138 北海道 河東郡音更町 宝来南二条
080-0139 北海道 河東郡音更町 宝来西町北
080-0141 北海道 河東郡音更町 宝来北一条
080-0142 北海道 河東郡音更町 宝来北二条
080-0143 北海道 河東郡音更町 宝来北三条
080-0144 北海道 河東郡音更町 宝来北四条
080-0145 北海道 河東郡音更町 宝来北五条
080-0146 北海道 河東郡音更町 宝来北六条
080-0151 北海道 河東郡音更町 東和
080-0161 北海道 河東郡音更町 ひびき野東町
080-0162 北海道 河東郡音更町 ひびき野仲町
080-0163 北海道 河東郡音更町 ひびき野西町
080-0196 北海道 河東郡音更町 下音更
080-0197 北海道 河東郡音更町 十勝川温泉南
080-0198 北海道 河東郡音更町 元町
080-0261 北海道 河東郡音更町 十勝川温泉
080-0262 北海道 河東郡音更町 十勝川温泉北
080-0263 北海道 河東郡音更町 十勝川温泉南
080-0271 北海道 河東郡音更町 長流枝
080-0271 北海道 河東郡音更町 長流枝幹線
080-0272 北海道 河東郡音更町 下士幌
080-0272 北海道 河東郡音更町 下士幌幹線
080-0301 北海道 河東郡音更町 木野大通西
080-0302 北海道 河東郡音更町 木野西通
080-0303 北海道 河東郡音更町 木野公園下町
080-0304 北海道 河東郡音更町 木野新町
080-0305 北海道 河東郡音更町 北鈴蘭北
080-0306 北海道 河東郡音更町 北鈴蘭南
080-0307 北海道 河東郡音更町 中鈴蘭北
080-0308 北海道 河東郡音更町 中鈴蘭南
080-0309 北海道 河東郡音更町 中鈴蘭元町
080-0311 北海道 河東郡音更町 南鈴蘭北
080-0312 北海道 河東郡音更町 南鈴蘭南
080-0313 北海道 河東郡音更町 鈴蘭公園
080-0314 北海道 河東郡音更町 共栄台西
080-0315 北海道 河東郡音更町 共栄台東
080-0316 北海道 河東郡音更町 緑陽台北区
080-0317 北海道 河東郡音更町 緑陽台仲区
080-0318 北海道 河東郡音更町 緑陽台南区
080-0321 北海道 河東郡音更町 桜が丘
080-0322 北海道 河東郡音更町 桜が丘西
080-0323 北海道 河東郡音更町 住吉台
080-0324 北海道 河東郡音更町 南住吉台
080-0325 北海道 河東郡音更町 柏寿台
080-0326 北海道 河東郡音更町 北明台
080-0327 北海道 河東郡音更町 北陽台
080-0330 北海道 河東郡音更町 雄飛が丘
080-0331 北海道 河東郡音更町 雄飛が丘北区
080-0332 北海道 河東郡音更町 雄飛が丘仲区
080-0333 北海道 河東郡音更町 雄飛が丘南区
080-0334 北海道 河東郡音更町 緑が丘
080-0335 北海道 河東郡音更町 希望が丘
080-0341 北海道 河東郡音更町 音更
080-0342 北海道 河東郡音更町 下音更
080-0343 北海道 河東郡音更町 東士狩
080-0344 北海道 河東郡音更町 万年
080-0345 北海道 河東郡音更町 高倉
080-0351 北海道 河東郡音更町 然別
080-0361 北海道 河東郡音更町 すずらん台北町
080-0362 北海道 河東郡音更町 すずらん台仲町
080-0363 北海道 河東郡音更町 すずらん台南町
080-0561 北海道 河東郡音更町 豊田
080-0562 北海道 河東郡音更町 東音更
080-0563 北海道 河東郡音更町 駒場平和台
080-0564 北海道 河東郡音更町 駒場北１条通
080-0564 北海道 河東郡音更町 駒場北２条通
080-0564 北海道 河東郡音更町 駒場北町
080-0565 北海道 河東郡音更町 駒場本通
080-0566 北海道 河東郡音更町 駒場南１条通
080-0566 北海道 河東郡音更町 駒場南２条通
080-0567 北海道 河東郡音更町 駒場南３条通
080-0567 北海道 河東郡音更町 駒場南４条通
080-0568 北海道 河東郡音更町 駒場東
080-0571 北海道 河東郡音更町 駒場
080-0572 北海道 河東郡音更町 駒場並木
080-0573 北海道 河東郡音更町 駒場南
080-0574 北海道 河東郡音更町 駒場西
080-0575 北海道 河東郡音更町 上然別
080-0576 北海道 河東郡音更町 南中音更
080-0577 北海道 河東郡音更町 西中音更
080-0578 北海道 河東郡音更町 中音更
080-0801 北海道 帯広市 東一条南
080-0802 北海道 帯広市 東二条南
080-0803 北海道 帯広市 東三条南
080-0804 北海道 帯広市 東四条南
080-0805 北海道 帯広市 東五条南
080-0806 北海道 帯広市 東六条南
080-0807 北海道 帯広市 東七条南
080-0808 北海道 帯広市 東八条南
080-0809 北海道 帯広市 東九条南
080-0810 北海道 帯広市 東十条南
080-0811 北海道 帯広市 東十一条南
080-0812 北海道 帯広市 東十二条南
080-0813 北海道 帯広市 東十三条南
080-0814 北海道 帯広市 東十四条南
080-0815 北海道 帯広市 東十五条南
080-0816 北海道 帯広市 大川町
080-0817 北海道 帯広市 依田町
080-0821 北海道 帯広市 東一条北
080-0822 北海道 帯広市 東二条北
080-0823 北海道 帯広市 東三条北
080-0824 北海道 帯広市 東四条北
080-0831 北海道 帯広市 稲田町南
080-0832 北海道 帯広市 稲田町東
080-0833 北海道 帯広市 稲田町基線
080-0834 北海道 帯広市 稲田町西
080-0835 北海道 帯広市 稲田町
080-0836 北海道 帯広市 空港南町
080-0837 北海道 帯広市 空港南町南
080-0838 北海道 帯広市 大空町
080-0841 北海道 帯広市 緑ケ丘一条通
080-0842 北海道 帯広市 緑ケ丘二条通
080-0843 北海道 帯広市 緑ケ丘三条通
080-0844 北海道 帯広市 緑ケ丘東通東
080-0845 北海道 帯広市 緑ケ丘東通西
080-0846 北海道 帯広市 緑ケ丘
080-0847 北海道 帯広市 公園東町
080-0848 北海道 帯広市 自由が丘
080-0848 北海道 帯広市 自由が丘
080-0851 北海道 帯広市 南町東一条
080-0852 北海道 帯広市 南町東二条
080-0853 北海道 帯広市 南町東三条
080-0854 北海道 帯広市 南町東四条
080-0855 北海道 帯広市 南町東五条
080-0856 北海道 帯広市 南町南
080-0857 北海道 帯広市 南町
080-0861 北海道 帯広市 南の森東
080-0862 北海道 帯広市 南の森西
080-1189 北海道 河東郡士幌町 共豊
080-1189 北海道 河東郡士幌町 士幌
080-1189 北海道 河東郡士幌町 東台
080-1189 北海道 河東郡士幌町 富秋
080-1189 北海道 河東郡士幌町 中士幌
080-1189 北海道 河東郡士幌町 中士幌勝和
080-1189 北海道 河東郡士幌町 中士幌北
080-1189 北海道 河東郡士幌町 中士幌北団地
080-1189 北海道 河東郡士幌町 中士幌共進
080-1189 北海道 河東郡士幌町 中士幌新東団地
080-1189 北海道 河東郡士幌町 中士幌新南
080-1189 北海道 河東郡士幌町 中士幌西
080-1189 北海道 河東郡士幌町 中士幌東団地
080-1189 北海道 河東郡士幌町 中士幌文化
080-1189 北海道 河東郡士幌町 中士幌豊進
080-1189 北海道 河東郡士幌町 中士幌南
080-1189 北海道 河東郡士幌町 中士幌明生
080-1200 北海道 河東郡士幌町 
080-1201 北海道 河東郡士幌町 平原第一
080-1202 北海道 河東郡士幌町 平原
080-1203 北海道 河東郡士幌町 いこい
080-1204 北海道 河東郡士幌町 松並
080-1211 北海道 河東郡士幌町 若葉第一
080-1212 北海道 河東郡士幌町 若葉東
080-1213 北海道 河東郡士幌町 新生
080-1214 北海道 河東郡士幌町 本通
080-1215 北海道 河東郡士幌町 仲通
080-1216 北海道 河東郡士幌町 高徳
080-1217 北海道 河東郡士幌町 若葉
080-1221 北海道 河東郡士幌町 互譲
080-1222 北海道 河東郡士幌町 神苑
080-1223 北海道 河東郡士幌町 大通
080-1224 北海道 河東郡士幌町 柏葉
080-1225 北海道 河東郡士幌町 みどり
080-1226 北海道 河東郡士幌町 大通西
080-1227 北海道 河東郡士幌町 中央
080-1231 北海道 河東郡士幌町 睦
080-1232 北海道 河東郡士幌町 睦西
080-1233 北海道 河東郡士幌町 睦南
080-1234 北海道 河東郡士幌町 南団地
080-1235 北海道 河東郡士幌町 緑光
080-1236 北海道 河東郡士幌町 美園
080-1241 北海道 河東郡士幌町 西居辺北
080-1242 北海道 河東郡士幌町 松室
080-1243 北海道 河東郡士幌町 西居辺
080-1244 北海道 河東郡士幌町 柏
080-1245 北海道 河東郡士幌町 共成
080-1246 北海道 河東郡士幌町 士幌
080-1247 北海道 河東郡士幌町 平和
080-1248 北海道 河東郡士幌町 柏野
080-1251 北海道 河東郡士幌町 新盛
080-1252 北海道 河東郡士幌町 豊年
080-1253 北海道 河東郡士幌町 士幌
080-1254 北海道 河東郡士幌町 士幌
080-1255 北海道 河東郡士幌町 新光
080-1256 北海道 河東郡士幌町 佐倉
080-1257 北海道 河東郡士幌町 双葉
080-1261 北海道 河東郡士幌町 西士幌
080-1262 北海道 河東郡士幌町 常盤
080-1263 北海道 河東郡士幌町 吉野
080-1264 北海道 河東郡士幌町 西吉野
080-1265 北海道 河東郡士幌町 新栄
080-1266 北海道 河東郡士幌町 新田
080-1267 北海道 河東郡士幌町 共立
080-1271 北海道 河東郡士幌町 西上
080-1272 北海道 河東郡士幌町 百戸
080-1273 北海道 河東郡士幌町 中音更
080-1274 北海道 河東郡士幌町 共益
080-1275 北海道 河東郡士幌町 コマクサ
080-1276 北海道 河東郡士幌町 新田第一
080-1277 北海道 河東郡士幌町 新田第二
080-1278 北海道 河東郡士幌町 栄進
080-1281 北海道 河東郡士幌町 朝陽
080-1282 北海道 河東郡士幌町 友愛
080-1283 北海道 河東郡士幌町 高砂
080-1284 北海道 河東郡士幌町 清澄
080-1285 北海道 河東郡士幌町 下居辺
080-1286 北海道 河東郡士幌町 開運
080-1287 北海道 河東郡士幌町 北開
080-1288 北海道 河東郡士幌町 北上居辺
080-1400 北海道 河東郡上士幌町 
080-1401 北海道 河東郡上士幌町 三股
080-1402 北海道 河東郡上士幌町 幌加
080-1403 北海道 河東郡上士幌町 ぬかびら源泉郷
080-1404 北海道 河東郡上士幌町 黒石平
080-1405 北海道 河東郡上士幌町 清水谷
080-1406 北海道 河東郡上士幌町 居辺
080-1407 北海道 河東郡上士幌町 上音更
080-1408 北海道 河東郡上士幌町 上士幌
080-1492 北海道 河東郡上士幌町 
080-1493 北海道 河東郡上士幌町 
080-2101 北海道 帯広市 清川町
080-2102 北海道 帯広市 清川町基線
080-2103 北海道 帯広市 清川町西
080-2104 北海道 帯広市 清川町東
080-2105 北海道 帯広市 太平町
080-2106 北海道 帯広市 美栄町
080-2111 北海道 帯広市 上清川町
080-2112 北海道 帯広市 上清川町基線
080-2113 北海道 帯広市 上清川町西
080-2114 北海道 帯広市 上清川町東
080-2115 北海道 帯広市 清川町仲通
080-2116 北海道 帯広市 清川町本通
080-2117 北海道 帯広市 太平町西
080-2121 北海道 帯広市 岩内町
080-2122 北海道 帯広市 岩内町第１基線
080-2123 北海道 帯広市 岩内町西
080-2124 北海道 帯広市 岩内町東
080-2331 北海道 帯広市 基松町
080-2332 北海道 帯広市 富士町
080-2333 北海道 帯広市 美栄町
080-2334 北海道 帯広市 上帯広町
080-2335 北海道 帯広市 広野町
080-2336 北海道 帯広市 八千代町
080-2337 北海道 帯広市 拓成町
080-2459 北海道 帯広市 西十九条北
080-2460 北海道 帯広市 西二十条北
080-2461 北海道 帯広市 西二十一条北
080-2462 北海道 帯広市 西二十二条北
080-2463 北海道 帯広市 西二十三条北
080-2464 北海道 帯広市 西二十四条北
080-2465 北海道 帯広市 西二十五条北
080-2469 北海道 帯広市 西十九条南
080-2469 北海道 帯広市 西十九条南
080-2469 北海道 帯広市 西十九条南
080-2469 北海道 帯広市 西十九条南
080-2469 北海道 帯広市 西十九条南
080-2470 北海道 帯広市 西二十条南
080-2471 北海道 帯広市 西二十一条南
080-2472 北海道 帯広市 西二十二条南
080-2473 北海道 帯広市 西二十三条南
080-2474 北海道 帯広市 西二十四条南
080-2475 北海道 帯広市 西二十五条南
080-2476 北海道 帯広市 自由が丘
080-2476 北海道 帯広市 自由が丘
080-2476 北海道 帯広市 自由が丘
080-2476 北海道 帯広市 自由が丘
080-2476 北海道 帯広市 自由が丘
080-2492 北海道 帯広市 西二十一条北
080-2493 北海道 帯広市 西二十五条北
080-2495 北海道 帯広市 西十九条北
080-2496 北海道 帯広市 西二十四条北
080-2497 北海道 帯広市 西十九条北
080-2498 北海道 帯広市 西二十二条北
080-8501 北海道 帯広市 稲田町
080-8502 北海道 帯広市 西六条南
080-8503 北海道 帯広市 東五条南
080-8510 北海道 帯広市 東五条南
080-8511 北海道 帯広市 西七条南
080-8518 北海道 帯広市 西十八条北
080-8531 北海道 帯広市 西四条南
080-8538 北海道 帯広市 西四条南
080-8550 北海道 帯広市 西四条南
080-8555 北海道 帯広市 稲田町
080-8560 北海道 帯広市 西二条南
080-8570 北海道 帯広市 西十七条南
080-8585 北海道 帯広市 西四条南
080-8588 北海道 帯広市 東三条南
080-8601 北海道 帯広市 西四条南
080-8609 北海道 帯広市 西五条南
080-8623 北海道 帯広市 大通南
080-8639 北海道 帯広市 南町南
080-8642 北海道 帯広市 西十八条南
080-8655 北海道 帯広市 西四条南
080-8660 北海道 帯広市 西五条南
080-8666 北海道 帯広市 西一条南
080-8670 北海道 帯広市 西五条南
080-8677 北海道 帯広市 西二条南
080-8680 北海道 帯広市 西二条南
080-8686 北海道 帯広市 西二条南
080-8688 北海道 帯広市 東一条南
080-8701 北海道 帯広市 西三条南
080-8708 北海道 帯広市 西五条南
080-8711 北海道 帯広市 西三条南
080-8718 北海道 帯広市 西三条南
081-0000 北海道 上川郡新得町 
081-0001 北海道 上川郡新得町 一条北
081-0002 北海道 上川郡新得町 二条北
081-0003 北海道 上川郡新得町 三条北
081-0005 北海道 上川郡新得町 本通北
081-0006 北海道 上川郡新得町 栄町
081-0007 北海道 上川郡新得町 元町
081-0008 北海道 上川郡新得町 本通南
081-0011 北海道 上川郡新得町 一条南
081-0012 北海道 上川郡新得町 二条南
081-0013 北海道 上川郡新得町 三条南
081-0014 北海道 上川郡新得町 四条南
081-0015 北海道 上川郡新得町 五条南
081-0021 北海道 上川郡新得町 西一条北
081-0022 北海道 上川郡新得町 西二条北
081-0023 北海道 上川郡新得町 西三条北
081-0031 北海道 上川郡新得町 西一条南
081-0032 北海道 上川郡新得町 西二条南
081-0033 北海道 上川郡新得町 西三条南
081-0034 北海道 上川郡新得町 西四条南
081-0035 北海道 上川郡新得町 上佐幌
081-0036 北海道 上川郡新得町 下佐幌
081-0037 北海道 上川郡新得町 拓鉄
081-0038 北海道 上川郡新得町 新得
081-0039 北海道 上川郡新得町 新内
081-0151 北海道 上川郡新得町 屈足旭町
081-0152 北海道 上川郡新得町 屈足旭町東
081-0153 北海道 上川郡新得町 屈足南町
081-0154 北海道 上川郡新得町 屈足
081-0155 北海道 上川郡新得町 屈足幸町
081-0156 北海道 上川郡新得町 屈足幸町西
081-0161 北海道 上川郡新得町 屈足柏町
081-0162 北海道 上川郡新得町 屈足柏町東
081-0163 北海道 上川郡新得町 屈足緑町
081-0164 北海道 上川郡新得町 屈足緑町西
081-0200 北海道 河東郡鹿追町 
081-0201 北海道 河東郡鹿追町 新町
081-0202 北海道 河東郡鹿追町 北町
081-0203 北海道 河東郡鹿追町 緑町
081-0204 北海道 河東郡鹿追町 笹川北
081-0205 北海道 河東郡鹿追町 西笹川
081-0211 北海道 河東郡鹿追町 仲町
081-0212 北海道 河東郡鹿追町 泉町
081-0213 北海道 河東郡鹿追町 西町
081-0214 北海道 河東郡鹿追町 北鹿追北
081-0215 北海道 河東郡鹿追町 鹿追南
081-0216 北海道 河東郡鹿追町 鹿追北
081-0217 北海道 河東郡鹿追町 鹿追基線
081-0218 北海道 河東郡鹿追町 上然別西
081-0221 北海道 河東郡鹿追町 栄町
081-0222 北海道 河東郡鹿追町 東町
081-0223 北海道 河東郡鹿追町 南町
081-0224 北海道 河東郡鹿追町 元町
081-0225 北海道 河東郡鹿追町 柏ケ丘
081-0226 北海道 河東郡鹿追町 上幌内
081-0227 北海道 河東郡鹿追町 幌内西
081-0228 北海道 河東郡鹿追町 美蔓西
081-0292 北海道 河東郡鹿追町 東町
081-0293 北海道 河東郡鹿追町 新町
081-0294 北海道 河東郡鹿追町 笹川北
081-0295 北海道 河東郡鹿追町 東町
081-0341 北海道 河東郡鹿追町 瓜幕西
081-0342 北海道 河東郡鹿追町 瓜幕東
081-0343 北海道 河東郡鹿追町 瓜幕南
081-0344 北海道 河東郡鹿追町 北瓜幕
081-0345 北海道 河東郡鹿追町 中瓜幕西
081-0346 北海道 河東郡鹿追町 東瓜幕西
081-8501 北海道 上川郡新得町 三条南
082-0000 北海道 河西郡芽室町 
082-0001 北海道 河西郡芽室町 平和
082-0002 北海道 河西郡芽室町 北明
082-0003 北海道 河西郡芽室町 西士狩
082-0004 北海道 河西郡芽室町 東芽室北
082-0005 北海道 河西郡芽室町 東芽室基線
082-0006 北海道 河西郡芽室町 東芽室南
082-0007 北海道 河西郡芽室町 北芽室
082-0007 北海道 河西郡芽室町 北芽室
082-0008 北海道 河西郡芽室町 毛根
082-0009 北海道 河西郡芽室町 祥栄西
082-0010 北海道 河西郡芽室町 祥栄北
082-0011 北海道 河西郡芽室町 東一条
082-0012 北海道 河西郡芽室町 東二条
082-0013 北海道 河西郡芽室町 東三条
082-0014 北海道 河西郡芽室町 東四条
082-0015 北海道 河西郡芽室町 東五条
082-0016 北海道 河西郡芽室町 東六条
082-0017 北海道 河西郡芽室町 東七条
082-0018 北海道 河西郡芽室町 東八条
082-0019 北海道 河西郡芽室町 東九条
082-0020 北海道 河西郡芽室町 東十条
082-0021 北海道 河西郡芽室町 東十一条
082-0022 北海道 河西郡芽室町 東十二条
082-0030 北海道 河西郡芽室町 本通
082-0031 北海道 河西郡芽室町 西一条
082-0032 北海道 河西郡芽室町 西二条
082-0033 北海道 河西郡芽室町 西三条
082-0034 北海道 河西郡芽室町 西四条
082-0035 北海道 河西郡芽室町 西五条
082-0036 北海道 河西郡芽室町 西六条
082-0037 北海道 河西郡芽室町 西七条
082-0038 北海道 河西郡芽室町 西八条
082-0039 北海道 河西郡芽室町 西九条
082-0040 北海道 河西郡芽室町 西十条
082-0041 北海道 河西郡芽室町 西十一条
082-0042 北海道 河西郡芽室町 芽室北
082-0042 北海道 河西郡芽室町 芽室北
082-0043 北海道 河西郡芽室町 芽室基線
082-0044 北海道 河西郡芽室町 芽室南
082-0044 北海道 河西郡芽室町 芽室南
082-0051 北海道 河西郡芽室町 東一条南
082-0052 北海道 河西郡芽室町 東二条南
082-0053 北海道 河西郡芽室町 東三条南
082-0054 北海道 河西郡芽室町 東四条南
082-0056 北海道 河西郡芽室町 東六条南
082-0057 北海道 河西郡芽室町 東七条南
082-0060 北海道 河西郡芽室町 本通南
082-0061 北海道 河西郡芽室町 西一条南
082-0062 北海道 河西郡芽室町 西二条南
082-0063 北海道 河西郡芽室町 西三条南
082-0064 北海道 河西郡芽室町 西四条南
082-0071 北海道 河西郡芽室町 新生
082-0072 北海道 河西郡芽室町 北伏古南
082-0073 北海道 河西郡芽室町 中伏古
082-0074 北海道 河西郡芽室町 栄
082-0074 北海道 河西郡芽室町 栄
082-0074 北海道 河西郡芽室町 栄
082-0074 北海道 河西郡芽室町 栄
082-0074 北海道 河西郡芽室町 栄
082-0075 北海道 河西郡芽室町 坂の上
082-0076 北海道 河西郡芽室町 美生
082-0077 北海道 河西郡芽室町 上芽室南
082-0078 北海道 河西郡芽室町 渋山
082-0079 北海道 河西郡芽室町 新朝日
082-0081 北海道 河西郡芽室町 新生南
082-0082 北海道 河西郡芽室町 北伏古東
082-0083 北海道 河西郡芽室町 中伏古東
082-0084 北海道 河西郡芽室町 上芽室北
082-0085 北海道 河西郡芽室町 上芽室基線
082-0086 北海道 河西郡芽室町 中美生
082-0087 北海道 河西郡芽室町 上芽室東
082-0381 北海道 河西郡芽室町 上伏古
082-0382 北海道 河西郡芽室町 雄馬別
082-0383 北海道 河西郡芽室町 伏美
082-0384 北海道 河西郡芽室町 上美生
082-0385 北海道 河西郡芽室町 渋山
082-0801 北海道 河西郡芽室町 東めむろ一条北
082-0802 北海道 河西郡芽室町 東めむろ二条北
082-0803 北海道 河西郡芽室町 東めむろ三条北
082-0811 北海道 河西郡芽室町 東めむろ一条南
082-0812 北海道 河西郡芽室町 東めむろ二条南
082-0813 北海道 河西郡芽室町 東めむろ三条南
082-8650 北海道 河西郡芽室町 東一条
082-8651 北海道 河西郡芽室町 東二条
083-0000 北海道 中川郡池田町 
083-0001 北海道 中川郡池田町 旭町
083-0002 北海道 中川郡池田町 清見
083-0003 北海道 中川郡池田町 清見ケ丘
083-0004 北海道 中川郡池田町 様舞
083-0020 北海道 中川郡池田町 大通南
083-0021 北海道 中川郡池田町 西一条
083-0022 北海道 中川郡池田町 西二条
083-0023 北海道 中川郡池田町 西三条
083-0031 北海道 中川郡池田町 利別西町
083-0032 北海道 中川郡池田町 利別東町
083-0033 北海道 中川郡池田町 利別南町
083-0034 北海道 中川郡池田町 利別本町
083-0041 北海道 中川郡池田町 川合
083-0042 北海道 中川郡池田町 千代田
083-0043 北海道 中川郡池田町 豊田
083-0044 北海道 中川郡池田町 青山
083-0045 北海道 中川郡池田町 富岡
083-0046 北海道 中川郡池田町 東台
083-0047 北海道 中川郡池田町 昭栄
083-0090 北海道 中川郡池田町 大通
083-0091 北海道 中川郡池田町 東一条
083-0092 北海道 中川郡池田町 東二条
083-8585 北海道 中川郡池田町 昭栄
083-8650 北海道 中川郡池田町 西一条
084-0901 北海道 釧路市 昭和北
084-0902 北海道 釧路市 昭和
084-0903 北海道 釧路市 昭和町
084-0904 北海道 釧路市 新富士町
084-0905 北海道 釧路市 鳥取南
084-0906 北海道 釧路市 鳥取大通
084-0907 北海道 釧路市 鳥取北
084-0908 北海道 釧路市 北園
084-0909 北海道 釧路市 昭和南
084-0910 北海道 釧路市 昭和中央
084-0911 北海道 釧路市 星が浦北
084-0912 北海道 釧路市 星が浦大通
084-0913 北海道 釧路市 星が浦南
084-0914 北海道 釧路市 西港
084-0915 北海道 釧路市 大楽毛南
084-0916 北海道 釧路市 大楽毛西
084-0917 北海道 釧路市 大楽毛
084-0918 北海道 釧路市 大楽毛北
084-0921 北海道 釧路市 美濃
084-0922 北海道 釧路市 北斗
084-0923 北海道 釧路市 鶴野東
084-0924 北海道 釧路市 鶴野
084-0925 北海道 釧路市 新野
084-0926 北海道 釧路市 鶴丘
084-0927 北海道 釧路市 駒牧
084-0928 北海道 釧路市 山花
084-0929 北海道 釧路市 中鶴野
084-8501 北海道 釧路市 新富士町
084-8511 北海道 釧路市 大楽毛
084-8555 北海道 釧路市 新富士町
084-8567 北海道 釧路市 星が浦南
084-8601 北海道 釧路市 新富士町
084-8670 北海道 釧路市 星が浦大通
084-8686 北海道 釧路市 星が浦大通
085-0000 北海道 釧路市 
085-0001 北海道 釧路市 古川町
085-0002 北海道 釧路市 新釧路町
085-0003 北海道 釧路市 川北町
085-0004 北海道 釧路市 新富町
085-0005 北海道 釧路市 松浦町
085-0006 北海道 釧路市 双葉町
085-0007 北海道 釧路市 堀川町
085-0008 北海道 釧路市 入江町
085-0011 北海道 釧路市 旭町
085-0012 北海道 釧路市 川上町
085-0013 北海道 釧路市 栄町
085-0014 北海道 釧路市 末広町
085-0015 北海道 釧路市 北大通
085-0016 北海道 釧路市 錦町
085-0017 北海道 釧路市 幸町
085-0018 北海道 釧路市 黒金町
085-0021 北海道 釧路市 浪花町
085-0022 北海道 釧路市 南浜町
085-0023 北海道 釧路市 海運
085-0024 北海道 釧路市 浜町
085-0025 北海道 釧路市 宝町
085-0026 北海道 釧路市 寿
085-0027 北海道 釧路市 仲浜町
085-0031 北海道 釧路市 中島町
085-0032 北海道 釧路市 新栄町
085-0033 北海道 釧路市 若松町
085-0034 北海道 釧路市 白金町
085-0035 北海道 釧路市 共栄大通
085-0036 北海道 釧路市 若竹町
085-0037 北海道 釧路市 柳町
085-0038 北海道 釧路市 花園町
085-0041 北海道 釧路市 春日町
085-0042 北海道 釧路市 若草町
085-0043 北海道 釧路市 喜多町
085-0044 北海道 釧路市 川端町
085-0045 北海道 釧路市 住之江町
085-0046 北海道 釧路市 新橋大通
085-0047 北海道 釧路市 新川町
085-0048 北海道 釧路市 駒場町
085-0051 北海道 釧路市 光陽町
085-0052 北海道 釧路市 中園町
085-0053 北海道 釧路市 豊川町
085-0054 北海道 釧路市 暁町
085-0055 北海道 釧路市 治水町
085-0056 北海道 釧路市 東川町
085-0057 北海道 釧路市 愛国西
085-0058 北海道 釧路市 愛国東
085-0061 北海道 釧路市 芦野
085-0062 北海道 釧路市 愛国
085-0063 北海道 釧路市 文苑
085-0064 北海道 釧路市 広里
085-0065 北海道 釧路市 美原
085-0201 北海道 釧路市 阿寒町仁々志別
085-0202 北海道 釧路市 阿寒町上仁々志別
085-0203 北海道 釧路市 阿寒町中仁々志別
085-0204 北海道 釧路市 阿寒町下仁々志別
085-0205 北海道 釧路市 阿寒町東栄
085-0206 北海道 釧路市 阿寒町共和
085-0211 北海道 釧路市 阿寒町下舌辛
085-0212 北海道 釧路市 阿寒町旭町
085-0213 北海道 釧路市 阿寒町仲町
085-0214 北海道 釧路市 阿寒町富士見
085-0215 北海道 釧路市 阿寒町中央
085-0216 北海道 釧路市 阿寒町北新町
