300-0000 茨城県 土浦市 
300-0305 茨城県 稲敷郡阿見町 竹来
300-0306 茨城県 稲敷郡阿見町 曙
300-0311 茨城県 稲敷郡阿見町 島津
300-0312 茨城県 稲敷郡阿見町 南平台
300-0313 茨城県 稲敷郡阿見町 石川
300-0314 茨城県 稲敷郡阿見町 追原
300-0315 茨城県 稲敷郡阿見町 香澄の里
300-0321 茨城県 稲敷郡阿見町 塙
300-0322 茨城県 稲敷郡阿見町 君島
300-0323 茨城県 稲敷郡阿見町 大形
300-0324 茨城県 稲敷郡阿見町 飯倉
300-0325 茨城県 稲敷郡阿見町 上条
300-0326 茨城県 稲敷郡阿見町 星の里
300-0331 茨城県 稲敷郡阿見町 阿見
300-0332 茨城県 稲敷郡阿見町 中央
300-0333 茨城県 稲敷郡阿見町 若栗
300-0334 茨城県 稲敷郡阿見町 鈴木
300-0335 茨城県 稲敷郡阿見町 岡崎
300-0336 茨城県 稲敷郡阿見町 西郷
300-0337 茨城県 稲敷郡阿見町 中郷
300-0341 茨城県 稲敷郡阿見町 うずら野
300-0392 茨城県 稲敷郡阿見町 中央
300-0393 茨城県 稲敷郡阿見町 中央
300-0394 茨城県 稲敷郡阿見町 阿見
300-0395 茨城県 稲敷郡阿見町 中央
300-0396 茨城県 稲敷郡阿見町 香澄の里
300-0397 茨城県 稲敷郡阿見町 中央
300-0398 茨城県 稲敷郡阿見町 阿見
300-0400 茨城県 稲敷郡美浦村 
300-0401 茨城県 稲敷郡美浦村 馬掛
300-0402 茨城県 稲敷郡美浦村 大山
300-0403 茨城県 稲敷郡美浦村 馬見山
300-0404 茨城県 稲敷郡美浦村 土浦
300-0405 茨城県 稲敷郡美浦村 間野
300-0406 茨城県 稲敷郡美浦村 山内
300-0407 茨城県 稲敷郡美浦村 八井田
300-0408 茨城県 稲敷郡美浦村 根火
300-0409 茨城県 稲敷郡美浦村 牛込
300-0410 茨城県 稲敷郡美浦村 みどり台
300-0411 茨城県 稲敷郡美浦村 太田
300-0412 茨城県 稲敷郡美浦村 宮地
300-0413 茨城県 稲敷郡美浦村 大谷
300-0414 茨城県 稲敷郡美浦村 信太
300-0415 茨城県 稲敷郡美浦村 美駒
300-0416 茨城県 稲敷郡美浦村 大塚
300-0417 茨城県 稲敷郡美浦村 谷中
300-0418 茨城県 稲敷郡美浦村 花見塚
300-0419 茨城県 稲敷郡美浦村 山王
300-0420 茨城県 稲敷郡美浦村 郷中
300-0421 茨城県 稲敷郡美浦村 木原
300-0422 茨城県 稲敷郡美浦村 大須賀津
300-0423 茨城県 稲敷郡美浦村 茂呂
300-0424 茨城県 稲敷郡美浦村 受領
300-0425 茨城県 稲敷郡美浦村 興津
300-0426 茨城県 稲敷郡美浦村 土屋
300-0427 茨城県 稲敷郡美浦村 布佐
300-0428 茨城県 稲敷郡美浦村 舟子
300-0431 茨城県 稲敷郡美浦村 本橋
300-0432 茨城県 稲敷郡美浦村 定光
300-0433 茨城県 稲敷郡美浦村 木
300-0434 茨城県 稲敷郡美浦村 堀田
300-0435 茨城県 稲敷郡美浦村 中野内
300-0436 茨城県 稲敷郡美浦村 根本
300-0437 茨城県 稲敷郡美浦村 見晴
300-0492 茨城県 稲敷郡美浦村 受領
300-0496 茨城県 稲敷郡美浦村 木原
300-0500 茨城県 稲敷市 
300-0501 茨城県 稲敷市 鳩崎
300-0502 茨城県 稲敷市 信太古渡
300-0503 茨城県 稲敷市 稲波
300-0504 茨城県 稲敷市 江戸崎甲
300-0505 茨城県 稲敷市 村田
300-0506 茨城県 稲敷市 沼田
300-0507 茨城県 稲敷市 犬塚
300-0508 茨城県 稲敷市 佐倉
300-0509 茨城県 稲敷市 江戸崎乙
300-0511 茨城県 稲敷市 高田
300-0512 茨城県 稲敷市 椎塚
300-0513 茨城県 稲敷市 桑山
300-0514 茨城県 稲敷市 駒塚
300-0515 茨城県 稲敷市 南ケ丘
300-0521 茨城県 稲敷市 月出里
300-0522 茨城県 稲敷市 蒲ケ山
300-0523 茨城県 稲敷市 時崎
300-0524 茨城県 稲敷市 小羽賀
300-0525 茨城県 稲敷市 羽賀
300-0526 茨城県 稲敷市 松山
300-0527 茨城県 稲敷市 下君山
300-0528 茨城県 稲敷市 上君山
300-0529 茨城県 稲敷市 江戸崎みらい
300-0593 茨城県 稲敷市 江戸崎甲
300-0595 茨城県 稲敷市 江戸崎甲
300-0601 茨城県 稲敷市 下須田
300-0602 茨城県 稲敷市 阿波崎
300-0603 茨城県 稲敷市 伊佐部
300-0604 茨城県 稲敷市 釜井
300-0605 茨城県 稲敷市 幸田
300-0606 茨城県 稲敷市 脇川
300-0607 茨城県 稲敷市 光葉
300-0611 茨城県 稲敷市 中島
300-0612 茨城県 稲敷市 市崎
300-0613 茨城県 稲敷市 新橋
300-0614 茨城県 稲敷市 清水
300-0615 茨城県 稲敷市 町田
300-0616 茨城県 稲敷市 東大沼
300-0617 茨城県 稲敷市 福田
300-0621 茨城県 稲敷市 阿波
300-0622 茨城県 稲敷市 神宮寺
300-0623 茨城県 稲敷市 四箇
300-0624 茨城県 稲敷市 南山来
300-0625 茨城県 稲敷市 須賀津
300-0626 茨城県 稲敷市 甘田
300-0631 茨城県 稲敷市 三次
300-0632 茨城県 稲敷市 飯出
300-0633 茨城県 稲敷市 岡飯出
300-0634 茨城県 稲敷市 柏木
300-0635 茨城県 稲敷市 堀之内
300-0636 茨城県 稲敷市 羽生
300-0637 茨城県 稲敷市 柏木古渡
300-0638 茨城県 稲敷市 古渡
300-0641 茨城県 稲敷市 浮島
300-0642 茨城県 稲敷市 下馬渡
300-0643 茨城県 稲敷市 上馬渡
300-0692 茨城県 稲敷市 須賀津
300-0721 茨城県 稲敷市 大島
300-0722 茨城県 稲敷市 三島
300-0723 茨城県 稲敷市 境島
300-0724 茨城県 稲敷市 八筋川
300-0725 茨城県 稲敷市 佐原下手
300-0726 茨城県 稲敷市 西代
300-0727 茨城県 稲敷市 飯島
300-0731 茨城県 稲敷市 本新
300-0732 茨城県 稲敷市 上之島
300-0733 茨城県 稲敷市 石納
300-0734 茨城県 稲敷市 結佐
300-0735 茨城県 稲敷市 六角
300-0736 茨城県 稲敷市 八千石
300-0737 茨城県 稲敷市 上須田
300-0741 茨城県 稲敷市 手賀組新田
300-0742 茨城県 稲敷市 四ッ谷
300-0743 茨城県 稲敷市 曲渕
300-0744 茨城県 稲敷市 押砂
300-0745 茨城県 稲敷市 橋向
300-0746 茨城県 稲敷市 神崎本宿
300-0747 茨城県 稲敷市 余津谷
300-0748 茨城県 稲敷市 清久島
300-0749 茨城県 稲敷市 佐原組新田
300-0792 茨城県 稲敷市 結佐
300-0801 茨城県 土浦市 矢作
300-0802 茨城県 土浦市 飯田
300-0803 茨城県 土浦市 佐野子
300-0804 茨城県 土浦市 粕毛
300-0805 茨城県 土浦市 宍塚
300-0810 茨城県 土浦市 永国台
300-0811 茨城県 土浦市 上高津
300-0812 茨城県 土浦市 下高津
300-0813 茨城県 土浦市 富士崎
300-0814 茨城県 土浦市 国分町
300-0815 茨城県 土浦市 中高津
300-0816 茨城県 土浦市 永国東町
300-0817 茨城県 土浦市 永国
300-0818 茨城県 土浦市 天川
300-0819 茨城県 土浦市 上高津新町
300-0821 茨城県 土浦市 蓮河原新町
300-0822 茨城県 土浦市 蓮河原町
300-0823 茨城県 土浦市 小松
300-0824 茨城県 土浦市 千鳥ケ丘町
300-0825 茨城県 土浦市 霞ケ岡町
300-0826 茨城県 土浦市 小松ケ丘町
300-0831 茨城県 土浦市 小岩田
300-0832 茨城県 土浦市 桜ケ丘町
300-0833 茨城県 土浦市 小岩田西
300-0834 茨城県 土浦市 小岩田東
300-0835 茨城県 土浦市 大岩田
300-0836 茨城県 土浦市 烏山
300-0837 茨城県 土浦市 右籾
300-0838 茨城県 土浦市 摩利山新田
300-0839 茨城県 土浦市 滝田
300-0841 茨城県 土浦市 中
300-0842 茨城県 土浦市 西根南
300-0843 茨城県 土浦市 中村南
300-0844 茨城県 土浦市 乙戸
300-0845 茨城県 土浦市 乙戸南
300-0846 茨城県 土浦市 小山田
300-0847 茨城県 土浦市 卸町
300-0848 茨城県 土浦市 西根西
300-0849 茨城県 土浦市 中村西根
300-0850 茨城県 土浦市 中村東
300-0871 茨城県 土浦市 荒川沖東
300-0872 茨城県 土浦市 沖新田
300-0873 茨城県 土浦市 荒川沖
300-0874 茨城県 土浦市 荒川沖西
300-0875 茨城県 土浦市 中荒川沖町
300-0876 茨城県 土浦市 北荒川沖町
300-0877 茨城県 土浦市 荒川本郷
300-1151 茨城県 稲敷郡阿見町 荒川沖
300-1152 茨城県 稲敷郡阿見町 荒川本郷
300-1153 茨城県 稲敷郡阿見町 実穀
300-1154 茨城県 稲敷郡阿見町 上長
300-1155 茨城県 稲敷郡阿見町 吉原
300-1156 茨城県 稲敷郡阿見町 福田
300-1157 茨城県 稲敷郡阿見町 小池
300-1158 茨城県 稲敷郡阿見町 住吉
300-1159 茨城県 稲敷郡阿見町 本郷
300-1192 茨城県 稲敷郡阿見町 吉原
300-1193 茨城県 土浦市 荒川沖東
300-1195 茨城県 稲敷郡阿見町 吉原
300-1200 茨城県 牛久市 
300-1201 茨城県 牛久市 東猯穴町
300-1202 茨城県 牛久市 中根町
300-1203 茨城県 牛久市 下根町
300-1204 茨城県 牛久市 岡見町
300-1205 茨城県 牛久市 東大和田町
300-1206 茨城県 牛久市 ひたち野西
300-1207 茨城県 牛久市 ひたち野東
300-1211 茨城県 牛久市 柏田町
300-1212 茨城県 牛久市 結束町
300-1213 茨城県 牛久市 上太田町
300-1214 茨城県 牛久市 女化町
300-1215 茨城県 牛久市 遠山町
300-1216 茨城県 牛久市 神谷
300-1217 茨城県 牛久市 さくら台
300-1221 茨城県 牛久市 牛久町
300-1222 茨城県 牛久市 南
300-1223 茨城県 牛久市 城中町
300-1224 茨城県 牛久市 庄兵衛新田町
300-1225 茨城県 牛久市 新地町
300-1231 茨城県 牛久市 猪子町
300-1232 茨城県 牛久市 上柏田
300-1233 茨城県 牛久市 栄町
300-1234 茨城県 牛久市 中央
300-1235 茨城県 牛久市 刈谷町
300-1236 茨城県 牛久市 田宮町
300-1237 茨城県 牛久市 田宮
300-1240 茨城県 つくば市 池の台
300-1241 茨城県 つくば市 牧園
300-1242 茨城県 つくば市 樋の沢
300-1243 茨城県 つくば市 大井
300-1244 茨城県 つくば市 松の里
300-1245 茨城県 つくば市 高崎
300-1246 茨城県 つくば市 菅間
300-1247 茨城県 つくば市 西の沢
300-1248 茨城県 つくば市 若栗
300-1249 茨城県 つくば市 若葉
300-1251 茨城県 つくば市 城山
300-1252 茨城県 つくば市 高見原
300-1253 茨城県 つくば市 天宝喜
300-1254 茨城県 つくば市 宝陽台
300-1255 茨城県 つくば市 小茎
300-1256 茨城県 つくば市 森の里
300-1257 茨城県 つくば市 明神
300-1258 茨城県 つくば市 六斗
300-1259 茨城県 つくば市 稲荷原
300-1260 茨城県 つくば市 西大井
300-1261 茨城県 つくば市 あしび野
300-1262 茨城県 つくば市 九万坪
300-1263 茨城県 つくば市 富士見台
300-1264 茨城県 つくば市 泊崎
300-1265 茨城県 つくば市 細見
300-1266 茨城県 つくば市 自由ケ丘
300-1267 茨城県 つくば市 大舟戸
300-1268 茨城県 つくば市 中山
300-1269 茨城県 つくば市 池向
300-1271 茨城県 つくば市 桜が丘
300-1272 茨城県 つくば市 茎崎
300-1273 茨城県 つくば市 下岩崎
300-1274 茨城県 つくば市 上岩崎
300-1275 茨城県 つくば市 梅ケ丘
300-1276 茨城県 つくば市 小山
300-1277 茨城県 つくば市 駒込
300-1278 茨城県 つくば市 房内
300-1281 茨城県 牛久市 桂町
300-1282 茨城県 牛久市 井ノ岡町
300-1283 茨城県 牛久市 奥原町
300-1284 茨城県 牛久市 島田町
300-1285 茨城県 牛久市 正直町
300-1286 茨城県 牛久市 小坂町
300-1287 茨城県 牛久市 福田町
300-1288 茨城県 牛久市 久野町
300-1292 茨城県 牛久市 中央
300-1294 茨城県 つくば市 茎崎
300-1295 茨城県 牛久市 東猯穴町
300-1296 茨城県 牛久市 猪子町
300-1300 茨城県 稲敷郡河内町 
300-1311 茨城県 稲敷郡河内町 庄布川
300-1312 茨城県 稲敷郡河内町 長竿
300-1313 茨城県 稲敷郡河内町 田川
300-1314 茨城県 稲敷郡河内町 下町歩
300-1315 茨城県 稲敷郡河内町 十里
300-1316 茨城県 稲敷郡河内町 布鎌
300-1321 茨城県 稲敷郡河内町 羽子騎
300-1322 茨城県 稲敷郡河内町 古河林
300-1323 茨城県 稲敷郡河内町 手栗
300-1324 茨城県 稲敷郡河内町 源清田
300-1325 茨城県 稲敷郡河内町 平三郎
300-1326 茨城県 稲敷郡河内町 宮淵
300-1327 茨城県 稲敷郡河内町 猿島
300-1331 茨城県 稲敷郡河内町 生板
300-1332 茨城県 稲敷郡河内町 幸谷
300-1333 茨城県 稲敷郡河内町 角崎町歩
300-1334 茨城県 稲敷郡河内町 小林町歩
300-1335 茨城県 稲敷郡河内町 生板鍋子新田
300-1336 茨城県 稲敷郡河内町 大徳鍋子新田
300-1337 茨城県 稲敷郡河内町 竜ケ崎町歩
300-1392 茨城県 稲敷郡河内町 源清田
300-1401 茨城県 稲敷郡河内町 十三間戸
300-1402 茨城県 稲敷郡河内町 平川
300-1403 茨城県 稲敷郡河内町 金江津
300-1404 茨城県 稲敷郡河内町 片巻
300-1405 茨城県 稲敷郡河内町 田川
300-1406 茨城県 稲敷郡河内町 下加納
300-1411 茨城県 稲敷市 伊佐津
300-1412 茨城県 稲敷市 柴崎
300-1413 茨城県 稲敷市 伊崎
300-1414 茨城県 稲敷市 戌渡
300-1415 茨城県 稲敷市 中山
300-1416 茨城県 稲敷市 角崎
300-1417 茨城県 稲敷市 狸穴
300-1421 茨城県 稲敷市 堀川
300-1422 茨城県 稲敷市 南太田
300-1423 茨城県 稲敷市 太田
300-1424 茨城県 稲敷市 下太田
300-1425 茨城県 稲敷市 小野
300-1426 茨城県 稲敷市 寺内
300-1427 茨城県 稲敷市 羽賀浦
300-1492 茨城県 稲敷市 柴崎
300-1501 茨城県 取手市 双葉
300-1502 茨城県 取手市 新川
300-1503 茨城県 取手市 大曲
300-1504 茨城県 取手市 萱場
300-1505 茨城県 取手市 下萱場
300-1506 茨城県 取手市 上萱場
300-1507 茨城県 取手市 浜田
300-1508 茨城県 取手市 紫水
300-1511 茨城県 取手市 椚木
300-1512 茨城県 取手市 藤代
300-1513 茨城県 取手市 片町
300-1514 茨城県 取手市 宮和田
300-1515 茨城県 取手市 平野
300-1516 茨城県 取手市 藤代南
300-1521 茨城県 取手市 押切
300-1522 茨城県 取手市 高須
300-1523 茨城県 取手市 大留
300-1524 茨城県 取手市 神浦
300-1525 茨城県 取手市 桜が丘
300-1531 茨城県 取手市 小浮気
300-1532 茨城県 取手市 谷中
300-1533 茨城県 取手市 中田
300-1534 茨城県 取手市 渋沼
300-1535 茨城県 取手市 清水
300-1536 茨城県 取手市 光風台
300-1537 茨城県 取手市 毛有
300-1538 茨城県 取手市 米田
300-1539 茨城県 取手市 小泉
300-1541 茨城県 取手市 配松
300-1542 茨城県 取手市 神住
300-1543 茨城県 取手市 中内
300-1544 茨城県 取手市 山王
300-1545 茨城県 取手市 和田
300-1546 茨城県 取手市 岡
300-1600 茨城県 北相馬郡利根町 
300-1601 茨城県 北相馬郡利根町 大房
300-1602 茨城県 北相馬郡利根町 押戸
300-1603 茨城県 北相馬郡利根町 奥山
300-1604 茨城県 北相馬郡利根町 横須賀
300-1605 茨城県 北相馬郡利根町 大平
300-1606 茨城県 北相馬郡利根町 もえぎ野台
300-1611 茨城県 北相馬郡利根町 惣新田
300-1612 茨城県 北相馬郡利根町 加納新田
300-1613 茨城県 北相馬郡利根町 東奥山新田
300-1614 茨城県 北相馬郡利根町 立崎
300-1615 茨城県 北相馬郡利根町 中谷
300-1616 茨城県 北相馬郡利根町 立木
300-1621 茨城県 北相馬郡利根町 福木
300-1622 茨城県 北相馬郡利根町 布川
300-1623 茨城県 北相馬郡利根町 八幡台
300-1624 茨城県 北相馬郡利根町 中田切
300-1625 茨城県 北相馬郡利根町 羽中
300-1626 茨城県 北相馬郡利根町 四季の丘
300-1631 茨城県 北相馬郡利根町 早尾
300-1632 茨城県 北相馬郡利根町 下曽根
300-1633 茨城県 北相馬郡利根町 下井
300-1634 茨城県 北相馬郡利根町 押付新田
300-1635 茨城県 北相馬郡利根町 上曽根
300-1636 茨城県 北相馬郡利根町 羽根野
300-1696 茨城県 北相馬郡利根町 布川
300-2300 茨城県 つくばみらい市 
300-2301 茨城県 つくばみらい市 高岡
300-2302 茨城県 つくばみらい市 狸穴
300-2303 茨城県 つくばみらい市 大和田
300-2304 茨城県 つくばみらい市 武兵衛新田
300-2305 茨城県 つくばみらい市 重右衛門新田
300-2306 茨城県 つくばみらい市 南太田
300-2307 茨城県 つくばみらい市 板橋
300-2308 茨城県 つくばみらい市 伊奈東
300-2311 茨城県 つくばみらい市 野堀
300-2312 茨城県 つくばみらい市 神生
300-2313 茨城県 つくばみらい市 東栗山
300-2314 茨城県 つくばみらい市 城中
300-2315 茨城県 つくばみらい市 足高
300-2321 茨城県 つくばみらい市 戸茂
300-2322 茨城県 つくばみらい市 戸崎
300-2323 茨城県 つくばみらい市 伊丹
300-2324 茨城県 つくばみらい市 下島
300-2325 茨城県 つくばみらい市 中島
300-2326 茨城県 つくばみらい市 上島
300-2327 茨城県 つくばみらい市 福原
300-2331 茨城県 つくばみらい市 神住新田
300-2332 茨城県 つくばみらい市 山王新田
300-2333 茨城県 つくばみらい市 下平柳
300-2334 茨城県 つくばみらい市 中平柳
300-2335 茨城県 つくばみらい市 上平柳
300-2336 茨城県 つくばみらい市 山谷
300-2337 茨城県 つくばみらい市 谷井田
300-2341 茨城県 つくばみらい市 福田
300-2342 茨城県 つくばみらい市 弥柳
300-2343 茨城県 つくばみらい市 狸渕
300-2344 茨城県 つくばみらい市 長渡呂新田
300-2345 茨城県 つくばみらい市 長渡呂
300-2346 茨城県 つくばみらい市 青木
300-2347 茨城県 つくばみらい市 豊体
300-2348 茨城県 つくばみらい市 青古新田
300-2351 茨城県 つくばみらい市 善助新田
300-2352 茨城県 つくばみらい市 小島新田
300-2353 茨城県 つくばみらい市 小張
300-2354 茨城県 つくばみらい市 新戸
300-2355 茨城県 つくばみらい市 市野深
300-2356 茨城県 つくばみらい市 奉社
300-2357 茨城県 つくばみらい市 谷口
300-2358 茨城県 つくばみらい市 小張
300-2358 茨城県 つくばみらい市 東楢戸
300-2359 茨城県 つくばみらい市 小島新田
300-2359 茨城県 つくばみらい市 小張
300-2359 茨城県 つくばみらい市 田村
300-2359 茨城県 つくばみらい市 西楢戸
300-2359 茨城県 つくばみらい市 東楢戸
300-2395 茨城県 つくばみらい市 福田
300-2401 茨城県 つくばみらい市 台
300-2402 茨城県 つくばみらい市 坂野新田
300-2403 茨城県 つくばみらい市 中原
300-2404 茨城県 つくばみらい市 南
300-2405 茨城県 つくばみらい市 仁左衛門新田
300-2406 茨城県 つくばみらい市 福岡
300-2407 茨城県 つくばみらい市 北山
300-2411 茨城県 つくばみらい市 押砂
300-2412 茨城県 つくばみらい市 日川
300-2413 茨城県 つくばみらい市 田村
300-2414 茨城県 つくばみらい市 真木
300-2415 茨城県 つくばみらい市 西楢戸
300-2416 茨城県 つくばみらい市 東楢戸
300-2417 茨城県 つくばみらい市 田村
300-2417 茨城県 つくばみらい市 西楢戸
300-2417 茨城県 つくばみらい市 東楢戸
300-2417 茨城県 つくばみらい市 真木
300-2421 茨城県 つくばみらい市 西丸山
300-2422 茨城県 つくばみらい市 古川
300-2423 茨城県 つくばみらい市 成瀬
300-2424 茨城県 つくばみらい市 加藤
300-2425 茨城県 つくばみらい市 川崎
300-2426 茨城県 つくばみらい市 宮戸
300-2431 茨城県 つくばみらい市 上小目
300-2432 茨城県 つくばみらい市 鬼長
300-2433 茨城県 つくばみらい市 下小目
300-2434 茨城県 つくばみらい市 平沼
300-2435 茨城県 つくばみらい市 筒戸
300-2436 茨城県 つくばみらい市 絹の台
300-2441 茨城県 つくばみらい市 寺畑
300-2442 茨城県 つくばみらい市 西ノ台
300-2443 茨城県 つくばみらい市 西ノ台南
300-2444 茨城県 つくばみらい市 杉下
300-2445 茨城県 つくばみらい市 小絹
300-2446 茨城県 つくばみらい市 細代
300-2451 茨城県 つくばみらい市 箕輪
300-2452 茨城県 つくばみらい市 樛木
300-2453 茨城県 つくばみらい市 上長沼
300-2454 茨城県 つくばみらい市 下長沼
300-2455 茨城県 つくばみらい市 十和
300-2456 茨城県 つくばみらい市 北袋
300-2492 茨城県 つくばみらい市 加藤
300-2493 茨城県 つくばみらい市 絹の台
300-2494 茨城県 つくばみらい市 小絹
300-2495 茨城県 つくばみらい市 絹の台
300-2496 茨城県 つくばみらい市 絹の台
300-2497 茨城県 つくばみらい市 絹の台
300-2498 茨城県 つくばみらい市 筒戸
300-2501 茨城県 常総市 福二町
300-2502 茨城県 常総市 上蛇町
300-2503 茨城県 常総市 川崎町
300-2504 茨城県 常総市 沖新田町
300-2505 茨城県 常総市 中妻町
300-2506 茨城県 常総市 三坂町
300-2507 茨城県 常総市 三坂新田町
300-2511 茨城県 常総市 花島町
300-2512 茨城県 常総市 大輪町
300-2513 茨城県 常総市 羽生町
300-2521 茨城県 常総市 大生郷町
300-2522 茨城県 常総市 横曽根新田町
300-2523 茨城県 常総市 笹塚新田町
300-2524 茨城県 常総市 五郎兵衛新田町
300-2525 茨城県 常総市 伊左衛門新田町
300-2526 茨城県 常総市 大生郷新田町
300-2593 茨城県 常総市 大生郷町
300-2595 茨城県 常総市 大生郷町
300-2611 茨城県 つくば市 大久保
300-2612 茨城県 つくば市 大砂
300-2613 茨城県 つくば市 西高野
300-2614 茨城県 つくば市 上里
300-2615 茨城県 つくば市 田倉
300-2616 茨城県 つくば市 五人受
300-2617 茨城県 つくば市 吉沼
300-2621 茨城県 つくば市 南原
300-2622 茨城県 つくば市 要
300-2623 茨城県 つくば市 本沢
300-2624 茨城県 つくば市 西沢
300-2631 茨城県 つくば市 沼崎
300-2632 茨城県 つくば市 旭
300-2633 茨城県 つくば市 遠東
300-2634 茨城県 つくば市 中東原新田
300-2635 茨城県 つくば市 東光台
300-2636 茨城県 つくば市 土田
300-2637 茨城県 つくば市 酒丸
300-2638 茨城県 つくば市 百家
300-2641 茨城県 つくば市 今鹿島
300-2642 茨城県 つくば市 高野
300-2643 茨城県 つくば市 野畑
300-2644 茨城県 つくば市 木俣
300-2645 茨城県 つくば市 上郷
300-2646 茨城県 つくば市 緑ケ原
300-2647 茨城県 つくば市 手子生
300-2648 茨城県 つくば市 豊里の杜
300-2651 茨城県 つくば市 鬼ケ窪
300-2652 茨城県 つくば市 高田
300-2653 茨城県 つくば市 面野井
300-2654 茨城県 つくば市 水堀
300-2655 茨城県 つくば市 島名
300-2656 茨城県 つくば市 真瀬
300-2657 茨城県 つくば市 香取台
300-2658 茨城県 つくば市 諏訪
300-2659 茨城県 つくば市 万博公園西
300-2661 茨城県 つくば市 上河原崎
300-2662 茨城県 つくば市 下河原崎
300-2663 茨城県 つくば市 鍋沼新田
300-2664 茨城県 つくば市 高良田
300-2665 茨城県 つくば市 高須賀
300-2666 茨城県 つくば市 下別府
300-2667 茨城県 つくば市 中別府
300-2668 茨城県 つくば市 かみかわ
300-2669 茨城県 つくば市 高山
300-2686 茨城県 つくば市 
300-2695 茨城県 つくば市 東光台
300-2698 茨城県 つくば市 東光台
300-2701 茨城県 常総市 若宮戸
300-2702 茨城県 常総市 原宿
300-2703 茨城県 常総市 小保川
300-2704 茨城県 常総市 舘方
300-2705 茨城県 常総市 豊田
300-2706 茨城県 常総市 新石下
300-2707 茨城県 常総市 本石下
300-2711 茨城県 常総市 本豊田
300-2712 茨城県 常総市 曲田
300-2713 茨城県 常総市 収納谷
300-2714 茨城県 常総市 平内
300-2715 茨城県 常総市 山口
300-2716 茨城県 常総市 大房
300-2717 茨城県 常総市 東野原
300-2721 茨城県 常総市 篠山
300-2722 茨城県 常総市 蔵持
300-2723 茨城県 常総市 蔵持新田
300-2724 茨城県 常総市 古間木
300-2725 茨城県 常総市 古間木沼新田
300-2726 茨城県 常総市 中沼
300-2727 茨城県 常総市 大沢
