060-0000 北海道 札幌市中央区 
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0006 北海道 札幌市中央区 北六条西
060-0007 北海道 札幌市中央区 北七条西
060-0008 北海道 札幌市中央区 北八条西
060-0009 北海道 札幌市中央区 北九条西
060-0010 北海道 札幌市中央区 北十条西
060-0011 北海道 札幌市中央区 北十一条西
060-0012 北海道 札幌市中央区 北十二条西
060-0013 北海道 札幌市中央区 北十三条西
060-0014 北海道 札幌市中央区 北十四条西
060-0015 北海道 札幌市中央区 北十五条西
060-0016 北海道 札幌市中央区 北十六条西
060-0017 北海道 札幌市中央区 北十七条西
060-0018 北海道 札幌市中央区 北十八条西
060-0020 北海道 札幌市中央区 北二十条西
060-0021 北海道 札幌市中央区 北二十一条西
060-0022 北海道 札幌市中央区 北二十二条西
060-0031 北海道 札幌市中央区 北一条東
060-0032 北海道 札幌市中央区 北二条東
060-0033 北海道 札幌市中央区 北三条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0034 北海道 札幌市中央区 北四条東
060-0035 北海道 札幌市中央区 北五条東
060-0041 北海道 札幌市中央区 大通東
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0042 北海道 札幌市中央区 大通西
060-0051 北海道 札幌市中央区 南一条東
060-0052 北海道 札幌市中央区 南二条東
060-0053 北海道 札幌市中央区 南三条東
060-0054 北海道 札幌市中央区 南四条東
060-0055 北海道 札幌市中央区 南五条東
060-0056 北海道 札幌市中央区 南六条東
060-0057 北海道 札幌市中央区 南七条東
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0061 北海道 札幌市中央区 南一条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0062 北海道 札幌市中央区 南二条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0063 北海道 札幌市中央区 南三条西
060-0806 北海道 札幌市北区 北六条西
060-0807 北海道 札幌市北区 北七条西
060-0808 北海道 札幌市北区 北八条西
060-0809 北海道 札幌市北区 北九条西
060-0810 北海道 札幌市北区 北十条西
060-0810 北海道 札幌市北区 北十条西
060-0810 北海道 札幌市北区 北十条西
060-0810 北海道 札幌市北区 北十条西
060-0810 北海道 札幌市北区 北十条西
060-0810 北海道 札幌市北区 北十条西
060-0810 北海道 札幌市北区 北十条西
060-0811 北海道 札幌市北区 北十一条西
060-0811 北海道 札幌市北区 北十一条西
060-0811 北海道 札幌市北区 北十一条西
060-0811 北海道 札幌市北区 北十一条西
060-0811 北海道 札幌市北区 北十一条西
060-0811 北海道 札幌市北区 北十一条西
060-0811 北海道 札幌市北区 北十一条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0812 北海道 札幌市北区 北十二条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0813 北海道 札幌市北区 北十三条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0814 北海道 札幌市北区 北十四条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0815 北海道 札幌市北区 北十五条西
060-0816 北海道 札幌市北区 北十六条西
060-0816 北海道 札幌市北区 北十六条西
060-0816 北海道 札幌市北区 北十六条西
060-0816 北海道 札幌市北区 北十六条西
060-0816 北海道 札幌市北区 北十六条西
060-0816 北海道 札幌市北区 北十六条西
060-0816 北海道 札幌市北区 北十六条西
060-0817 北海道 札幌市北区 北十七条西
060-0817 北海道 札幌市北区 北十七条西
060-0817 北海道 札幌市北区 北十七条西
060-0817 北海道 札幌市北区 北十七条西
060-0817 北海道 札幌市北区 北十七条西
060-0817 北海道 札幌市北区 北十七条西
060-0817 北海道 札幌市北区 北十七条西
060-0818 北海道 札幌市北区 北十八条西
060-0818 北海道 札幌市北区 北十八条西
060-0818 北海道 札幌市北区 北十八条西
060-0818 北海道 札幌市北区 北十八条西
060-0818 北海道 札幌市北区 北十八条西
060-0818 北海道 札幌市北区 北十八条西
060-0819 北海道 札幌市北区 北十九条西
060-0819 北海道 札幌市北区 北十九条西
060-0819 北海道 札幌市北区 北十九条西
060-0819 北海道 札幌市北区 北十九条西
060-0819 北海道 札幌市北区 北十九条西
060-0819 北海道 札幌市北区 北十九条西
060-0820 北海道 札幌市北区 北二十条西
060-0820 北海道 札幌市北区 北二十条西
060-0820 北海道 札幌市北区 北二十条西
060-0905 北海道 札幌市東区 北五条東
060-0905 北海道 札幌市東区 北五条東
060-0905 北海道 札幌市東区 北五条東
060-0905 北海道 札幌市東区 北五条東
060-0906 北海道 札幌市東区 北六条東
060-0906 北海道 札幌市東区 北六条東
060-0906 北海道 札幌市東区 北六条東
060-0906 北海道 札幌市東区 北六条東
060-0906 北海道 札幌市東区 北六条東
060-0906 北海道 札幌市東区 北六条東
060-0906 北海道 札幌市東区 北六条東
060-0907 北海道 札幌市東区 北七条東
060-0907 北海道 札幌市東区 北七条東
060-0907 北海道 札幌市東区 北七条東
060-0907 北海道 札幌市東区 北七条東
060-0907 北海道 札幌市東区 北七条東
060-0907 北海道 札幌市東区 北七条東
060-0907 北海道 札幌市東区 北七条東
060-0908 北海道 札幌市東区 北八条東
060-0908 北海道 札幌市東区 北八条東
060-0908 北海道 札幌市東区 北八条東
060-0908 北海道 札幌市東区 北八条東
060-0908 北海道 札幌市東区 北八条東
060-0908 北海道 札幌市東区 北八条東
060-0908 北海道 札幌市東区 北八条東
060-0909 北海道 札幌市東区 北九条東
060-0909 北海道 札幌市東区 北九条東
060-0909 北海道 札幌市東区 北九条東
060-0909 北海道 札幌市東区 北九条東
060-0909 北海道 札幌市東区 北九条東
060-0909 北海道 札幌市東区 北九条東
060-0909 北海道 札幌市東区 北九条東
060-8501 北海道 札幌市中央区 北一条西
060-8502 北海道 札幌市中央区 南一条西
060-8503 北海道 札幌市中央区 北五条西
060-8505 北海道 札幌市中央区 北十二条西
060-8506 北海道 札幌市中央区 北二条西
060-8508 北海道 札幌市中央区 南二条西
060-8509 北海道 札幌市中央区 
060-8510 北海道 札幌市中央区 大通西
060-8511 北海道 札幌市北区 北八条西
060-8512 北海道 札幌市中央区 南一条西
060-8512 北海道 札幌市中央区 南一条西
060-8512 北海道 札幌市中央区 南一条西
060-8512 北海道 札幌市中央区 南一条西
060-8512 北海道 札幌市中央区 南一条西
060-8513 北海道 札幌市中央区 南二条西
060-8514 北海道 札幌市中央区 北三条西
060-8515 北海道 札幌市中央区 北一条西
060-8516 北海道 札幌市中央区 北一条西
060-8517 北海道 札幌市中央区 大通東
060-8518 北海道 札幌市中央区 北五条西
060-8519 北海道 札幌市中央区 北一条西
060-8520 北海道 札幌市中央区 北二条西
060-8521 北海道 札幌市中央区 北三条東
060-8522 北海道 札幌市中央区 北三条西
060-8523 北海道 札幌市中央区 大通西
060-8524 北海道 札幌市北区 北七条西
060-8525 北海道 札幌市中央区 北三条西
060-8526 北海道 札幌市中央区 北四条西
060-8527 北海道 札幌市中央区 北一条西
060-8528 北海道 札幌市中央区 南二条東
060-8529 北海道 札幌市中央区 北一条西
060-8530 北海道 札幌市中央区 大通西
060-8531 北海道 札幌市中央区 大通西
060-8532 北海道 札幌市中央区 北一条西
060-8533 北海道 札幌市東区 北六条東
060-8535 北海道 札幌市中央区 北三条東
060-8536 北海道 札幌市中央区 南二条西
060-8537 北海道 札幌市中央区 南一条西
060-8538 北海道 札幌市中央区 北三条西
060-8539 北海道 札幌市中央区 北一条東
060-8540 北海道 札幌市中央区 北一条東
060-8541 北海道 札幌市中央区 北二条西
060-8542 北海道 札幌市中央区 北二条東
060-8543 北海道 札幌市中央区 南一条西
060-8544 北海道 札幌市中央区 北三条西
060-8545 北海道 札幌市中央区 大通西
060-8546 北海道 札幌市中央区 北二条東
060-8547 北海道 札幌市中央区 北三条西
060-8548 北海道 札幌市中央区 北三条西
060-8549 北海道 札幌市中央区 北三条西
060-8550 北海道 札幌市北区 北七条西
060-8551 北海道 札幌市中央区 北七条西
060-8552 北海道 札幌市中央区 北一条西
060-8553 北海道 札幌市北区 北七条西
060-8554 北海道 札幌市中央区 北四条西
060-8555 北海道 札幌市中央区 北四条西
060-8556 北海道 札幌市中央区 南一条西
060-8557 北海道 札幌市北区 北七条西
060-8558 北海道 札幌市中央区 北三条西
060-8559 北海道 札幌市中央区 南二条西
060-8560 北海道 札幌市中央区 北一条西
060-8561 北海道 札幌市中央区 北四条東
060-8563 北海道 札幌市中央区 南一条西
060-8564 北海道 札幌市中央区 北一条西
060-8565 北海道 札幌市中央区 南二条西
060-8566 北海道 札幌市北区 北八条西
060-8567 北海道 札幌市中央区 南一条西
060-8568 北海道 札幌市中央区 南二条西
060-8569 北海道 札幌市東区 北六条東
060-8570 北海道 札幌市中央区 南一条西
060-8572 北海道 札幌市中央区 北二条東
060-8573 北海道 札幌市中央区 北一条東
060-8574 北海道 札幌市中央区 北三条西
060-8575 北海道 札幌市北区 北七条西
060-8576 北海道 札幌市東区 北六条東
060-8577 北海道 札幌市中央区 北一条西
060-8578 北海道 札幌市中央区 北四条西
060-8579 北海道 札幌市北区 北八条西
060-8580 北海道 札幌市中央区 北一条東
060-8581 北海道 札幌市中央区 大通西
060-8582 北海道 札幌市東区 北九条東
060-8583 北海道 札幌市中央区 北九条西
060-8584 北海道 札幌市中央区 北二条西
060-8585 北海道 札幌市中央区 北三条西
060-8586 北海道 札幌市北区 北十三条西
060-8587 北海道 札幌市北区 北八条西
060-8588 北海道 札幌市中央区 北三条西
060-8589 北海道 札幌市北区 北九条西
060-8601 北海道 札幌市中央区 大通西
060-8602 北海道 札幌市中央区 北二条西
060-8603 北海道 札幌市中央区 北五条西
060-8604 北海道 札幌市中央区 北十一条西
060-8605 北海道 札幌市中央区 北一条西
060-8606 北海道 札幌市中央区 北一条東
060-8606 北海道 札幌市中央区 北一条東
060-8607 北海道 札幌市中央区 北一条西
060-8608 北海道 札幌市中央区 南二条西
060-8609 北海道 札幌市中央区 北一条西
060-8610 北海道 札幌市中央区 北一条西
060-8611 北海道 札幌市中央区 北一条西
060-8612 北海道 札幌市中央区 南三条西
060-8613 北海道 札幌市中央区 北一条西
060-8614 北海道 札幌市中央区 大通西
060-8615 北海道 札幌市中央区 南二条西
060-8616 北海道 札幌市中央区 北四条西
060-8617 北海道 札幌市中央区 北一条西
060-8618 北海道 札幌市中央区 北一条東
060-8619 北海道 札幌市中央区 北四条西
060-8620 北海道 札幌市中央区 大通西
060-8621 北海道 札幌市中央区 北一条西
060-8622 北海道 札幌市中央区 大通西
060-8622 北海道 札幌市中央区 大通西
060-8623 北海道 札幌市中央区 南一条西
060-8624 北海道 札幌市中央区 大通西
060-8625 北海道 札幌市中央区 北三条西
060-8626 北海道 札幌市中央区 北一条西
060-8627 北海道 札幌市中央区 大通西
060-8628 北海道 札幌市北区 北十三条西
060-8629 北海道 札幌市中央区 北五条西
060-8630 北海道 札幌市中央区 北二条東
060-8631 北海道 札幌市中央区 北三条西
060-8633 北海道 札幌市北区 
060-8634 北海道 札幌市北区 北七条西
060-8635 北海道 札幌市中央区 南一条西
060-8636 北海道 札幌市中央区 南一条東
060-8637 北海道 札幌市中央区 南二条西
060-8638 北海道 札幌市北区 北十五条西
060-8639 北海道 札幌市中央区 大通東
060-8640 北海道 札幌市中央区 大通西
060-8641 北海道 札幌市中央区 北四条西
060-8642 北海道 札幌市中央区 北二条西
060-8643 北海道 札幌市中央区 北四条西
060-8644 北海道 札幌市中央区 北十一条西
060-8646 北海道 札幌市中央区 大通西
060-8647 北海道 札幌市中央区 南二条西
060-8648 北海道 札幌市北区 北十四条西
060-8649 北海道 札幌市中央区 北二条東
060-8651 北海道 札幌市中央区 北四条西
060-8654 北海道 札幌市中央区 北二条西
060-8655 北海道 札幌市北区 北七条西
060-8656 北海道 札幌市中央区 北四条西
060-8658 北海道 札幌市中央区 北四条西
060-8661 北海道 札幌市中央区 大通西
060-8666 北海道 札幌市中央区 南一条西
060-8667 北海道 札幌市中央区 南一条西
060-8668 北海道 札幌市中央区 南一条西
060-8670 北海道 札幌市中央区 大通西
060-8671 北海道 札幌市中央区 北十二条西
060-8676 北海道 札幌市中央区 大通西
060-8677 北海道 札幌市中央区 大通東
060-8678 北海道 札幌市中央区 北四条西
060-8686 北海道 札幌市中央区 北五条西
060-8687 北海道 札幌市中央区 北五条西
060-8688 北海道 札幌市中央区 北五条西
060-8703 北海道 札幌市中央区 大通西
060-8705 北海道 札幌市中央区 北一条西
060-8706 北海道 札幌市中央区 北一条西
060-8707 北海道 札幌市中央区 北一条西
060-8711 北海道 札幌市中央区 大通西
060-8720 北海道 札幌市中央区 北三条西
060-8721 北海道 札幌市中央区 北三条西
060-8725 北海道 札幌市中央区 北一条西
060-8767 北海道 札幌市中央区 南一条東
060-8792 北海道 札幌市中央区 大通東
060-8795 北海道 札幌市北区 北八条西
060-8796 北海道 札幌市中央区 北二条西
060-8797 北海道 札幌市中央区 北二条西
060-8797 北海道 札幌市中央区 北二条西
060-8797 北海道 札幌市中央区 北二条西
061-0200 北海道 石狩郡当別町 
061-0201 北海道 石狩郡当別町 青山
061-0202 北海道 石狩郡当別町 茂平沢
061-0203 北海道 石狩郡当別町 みどり野
061-0204 北海道 石狩郡当別町 若葉
061-0205 北海道 石狩郡当別町 下川町
061-0206 北海道 石狩郡当別町 川下
061-0207 北海道 石狩郡当別町 上当別
061-0208 北海道 石狩郡当別町 弁華別
061-0211 北海道 石狩郡当別町 中小屋
061-0212 北海道 石狩郡当別町 金沢
061-0213 北海道 石狩郡当別町 東裏
061-0214 北海道 石狩郡当別町 蕨岱
061-0215 北海道 石狩郡当別町 対雁
061-0216 北海道 石狩郡当別町 栄町
061-0217 北海道 石狩郡当別町 幸町
061-0218 北海道 石狩郡当別町 樺戸町
061-0221 北海道 石狩郡当別町 東町
061-0222 北海道 石狩郡当別町 元町
061-0223 北海道 石狩郡当別町 弥生
061-0224 北海道 石狩郡当別町 末広
061-0225 北海道 石狩郡当別町 美里
061-0226 北海道 石狩郡当別町 錦町
061-0227 北海道 石狩郡当別町 園生
061-0228 北海道 石狩郡当別町 緑町
061-0231 北海道 石狩郡当別町 六軒町
061-0232 北海道 石狩郡当別町 春日町
061-0233 北海道 石狩郡当別町 白樺町
061-0234 北海道 石狩郡当別町 西町
061-0235 北海道 石狩郡当別町 北栄町
061-0251 北海道 石狩郡当別町 青山奥四番川
061-0252 北海道 石狩郡当別町 青山奥三番川
061-0253 北海道 石狩郡当別町 青山奥二番川
061-0254 北海道 石狩郡当別町 青山中央
061-0292 北海道 石狩郡当別町 白樺町
061-0293 北海道 石狩郡当別町 金沢
061-0295 北海道 石狩郡当別町 錦町
061-0296 北海道 石狩郡当別町 春日町
061-0500 北海道 樺戸郡月形町 
061-0501 北海道 樺戸郡月形町 新生
061-0502 北海道 樺戸郡月形町 北農場
061-0503 北海道 樺戸郡月形町 豊ケ丘
061-0504 北海道 樺戸郡月形町 新富
061-0505 北海道 樺戸郡月形町 札比内
061-0506 北海道 樺戸郡月形町 新宮
061-0507 北海道 樺戸郡月形町 南札比内
061-0508 北海道 樺戸郡月形町 厚栄
061-0511 北海道 樺戸郡月形町 市北
061-0512 北海道 樺戸郡月形町 市南
061-0513 北海道 樺戸郡月形町 農事会
061-0514 北海道 樺戸郡月形町 麻生
061-0515 北海道 樺戸郡月形町 五耕地山
061-0516 北海道 樺戸郡月形町 知来乙
061-0517 北海道 樺戸郡月形町 北郷
061-0518 北海道 樺戸郡月形町 赤川
061-0521 北海道 樺戸郡月形町 南耕地
061-0522 北海道 樺戸郡月形町 月浜
061-0523 北海道 樺戸郡月形町 昭栄
061-0524 北海道 樺戸郡月形町 南新田
061-0525 北海道 樺戸郡月形町 新栄
061-0526 北海道 樺戸郡月形町 新田
061-0527 北海道 樺戸郡月形町 共和
061-0528 北海道 樺戸郡月形町 月ケ岡
061-0592 北海道 樺戸郡月形町 
061-0595 北海道 樺戸郡月形町 
061-0600 北海道 樺戸郡浦臼町 
061-0601 北海道 樺戸郡浦臼町 鶴沼第１
061-0602 北海道 樺戸郡浦臼町 鶴沼第２
061-0603 北海道 樺戸郡浦臼町 鶴沼第３
061-0611 北海道 樺戸郡浦臼町 浦臼第１
061-0612 北海道 樺戸郡浦臼町 浦臼第２
061-0613 北海道 樺戸郡浦臼町 浦臼第３
061-0614 北海道 樺戸郡浦臼町 浦臼第４
061-0615 北海道 樺戸郡浦臼町 浦臼第５
061-0616 北海道 樺戸郡浦臼町 浦臼第６
061-0617 北海道 樺戸郡浦臼町 浦臼第７
061-0618 北海道 樺戸郡浦臼町 浦臼第８
061-0621 北海道 樺戸郡浦臼町 晩生内第１
061-0622 北海道 樺戸郡浦臼町 晩生内第２
061-0623 北海道 樺戸郡浦臼町 晩生内第３
061-0692 北海道 樺戸郡浦臼町 
061-1100 北海道 北広島市 
061-1101 北海道 北広島市 中の沢
061-1102 北海道 北広島市 西の里
061-1103 北海道 北広島市 虹ケ丘
061-1104 北海道 北広島市 西の里北
061-1105 北海道 北広島市 西の里東
061-1106 北海道 北広島市 西の里南
061-1111 北海道 北広島市 北の里
061-1112 北海道 北広島市 共栄
061-1113 北海道 北広島市 共栄町
061-1114 北海道 北広島市 東共栄
061-1115 北海道 北広島市 美咲き野
061-1121 北海道 北広島市 中央
061-1122 北海道 北広島市 広島
061-1123 北海道 北広島市 朝日町
061-1124 北海道 北広島市 稲穂町西
061-1125 北海道 北広島市 稲穂町東
061-1126 北海道 北広島市 新富町東
061-1127 北海道 北広島市 新富町西
061-1131 北海道 北広島市 美沢
061-1132 北海道 北広島市 北進町
061-1133 北海道 北広島市 栄町
061-1134 北海道 北広島市 広葉町
061-1135 北海道 北広島市 輝美町
061-1136 北海道 北広島市 松葉町
061-1137 北海道 北広島市 緑陽町
061-1141 北海道 北広島市 青葉町
061-1142 北海道 北広島市 若葉町
061-1143 北海道 北広島市 南町
061-1144 北海道 北広島市 白樺町
061-1145 北海道 北広島市 泉町
061-1146 北海道 北広島市 高台町
061-1147 北海道 北広島市 里見町
061-1148 北海道 北広島市 山手町
061-1151 北海道 北広島市 東の里
061-1152 北海道 北広島市 中の沢
061-1153 北海道 北広島市 富ケ岡
061-1154 北海道 北広島市 南の里
061-1192 北海道 北広島市 中央
061-1193 北海道 北広島市 中の沢
061-1195 北海道 北広島市 西の里
061-1196 北海道 北広島市 中の沢
061-1261 北海道 北広島市 希望ケ丘
061-1264 北海道 北広島市 輪厚
061-1265 北海道 北広島市 島松
061-1266 北海道 北広島市 三島
061-1267 北海道 北広島市 仁別
061-1268 北海道 北広島市 輪厚中央
061-1269 北海道 北広島市 輪厚元町
061-1270 北海道 北広島市 大曲
061-1271 北海道 北広島市 大曲中央
061-1272 北海道 北広島市 大曲末広
